<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEO.US,5,20210922,153000,8.96,8.98,8.96,8.9793,2383,0
LEO.US,5,20210922,153500,8.98,8.98,8.96,8.98,1000,0
LEO.US,5,20210922,154000,9,9,9,9,200,0
LEO.US,5,20210922,154500,9.02,9.02,8.98,8.98,1530,0
LEO.US,5,20210922,155000,9.0091,9.02,8.985,8.985,1415,0
LEO.US,5,20210922,155500,8.99,8.99,8.985,8.985,800,0
LEO.US,5,20210922,160000,8.99,8.99,8.985,8.985,200,0
LEO.US,5,20210922,161000,8.99,8.99,8.99,8.99,200,0
LEO.US,5,20210922,162500,8.99,8.99,8.99,8.99,100,0
LEO.US,5,20210922,165000,9,9,8.99,8.99,5300,0
LEO.US,5,20210922,170500,8.9891,8.9891,8.9891,8.9891,100,0
LEO.US,5,20210922,171500,8.99,8.99,8.99,8.99,200,0
LEO.US,5,20210922,172000,9,9,9,9,200,0
LEO.US,5,20210922,172500,9,9,9,9,200,0
LEO.US,5,20210922,173000,9,9,9,9,200,0
LEO.US,5,20210922,173500,9,9,9,9,200,0
LEO.US,5,20210922,174000,9,9.01,8.98,9.01,7072,0
LEO.US,5,20210922,175000,8.9968,8.9968,8.9968,8.9968,2000,0
LEO.US,5,20210922,175500,9.01,9.01,9.0005,9.0005,5100,0
LEO.US,5,20210922,180000,9,9.02,9,9,1364,0
LEO.US,5,20210922,181000,9.02,9.02,9,9,6182,0
LEO.US,5,20210922,183000,9,9.0024,9,9.0024,300,0
LEO.US,5,20210922,185000,9.01,9.01,9.01,9.01,300,0
LEO.US,5,20210922,194500,9.01,9.01,9.01,9.01,100,0
LEO.US,5,20210922,200500,9.02,9.02,9.01,9.015,1500,0
LEO.US,5,20210922,203000,9.02,9.06,9.01,9.0483,16528,0
LEO.US,5,20210922,204000,9.04,9.05,9.01,9.01,4300,0
LEO.US,5,20210922,210500,9.05,9.0581,9.01,9.0569,13051,0
LEO.US,5,20210922,211500,9.0201,9.0201,9.0201,9.0201,301,0
LEO.US,5,20210922,212000,9.02,9.02,9.02,9.02,100,0
LEO.US,5,20210922,215500,9.05,9.05,9.05,9.05,375,0
LEO.US,5,20210923,153000,9.06,9.06,9.06,9.06,1890,0
LEO.US,5,20210923,153500,9.07,9.07,9.07,9.07,160,0
