<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFTRU.US,5,20210927,195000,10.06,10.06,10.06,10.06,100,0
LFTRU.US,5,20210929,210000,10.04,10.04,10.04,10.04,300,0
LFTRU.US,5,20210930,155500,10.05,10.05,10.05,10.05,125000,0
LFTRU.US,5,20210930,170500,10.05,10.05,10.05,10.05,125000,0
LFTRU.US,5,20211001,154000,10.05,10.05,10.05,10.05,250000,0
LFTRU.US,5,20211006,153000,10.01,10.01,10.01,10.01,100,0
LFTRU.US,5,20211006,211000,10.0962,10.0962,10.03,10.03,300,0
LFTRU.US,5,20211007,155000,10.18,10.18,10.18,10.18,100,0
LFTRU.US,5,20211008,172000,10.04,10.04,10.04,10.04,200,0
LFTRU.US,5,20211013,191000,10,10,10,10,149321,0
LFTRU.US,5,20211018,160000,10,10,10,10,210,0
LFTRU.US,5,20211022,153000,9.96,9.96,9.96,9.96,100,0
LFTRU.US,5,20211022,190500,10.03,10.03,10.03,10.03,300,0
LFTRU.US,5,20211025,215000,10.09,10.09,10.09,10.09,100,0
LFTRU.US,5,20211025,215500,10.1,10.1,10.1,10.1,210,0
LFTRU.US,5,20211026,154500,10.1,10.1,10.1,10.1,2191,0
LFTRU.US,5,20211101,150000,10.1,10.1,10.1,10.1,300,0
LFTRU.US,5,20211101,155000,10.15,10.15,10.15,10.15,246,0
LFTRU.US,5,20211101,161500,10.15,10.15,10.15,10.15,1099,0
LFTRU.US,5,20211101,194500,10.15,10.15,10.15,10.15,2892,0
LFTRU.US,5,20211102,143000,10.15,10.15,10.15,10.15,4800,0
LFTRU.US,5,20211103,150000,10.15,10.15,10.13,10.15,1400,0
LFTRU.US,5,20211104,143000,10.15,10.15,10.1,10.1,400,0
LFTRU.US,5,20211105,144000,10.12,10.12,10.12,10.12,275,0
LFTRU.US,5,20211108,170000,10.19,10.19,10.19,10.19,400,0
LFTRU.US,5,20211109,172000,10.19,10.19,10.19,10.19,192,0
