<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LNT.US,5,20210922,153000,57.72,57.72,57.34,57.55,16551,0
LNT.US,5,20210922,153500,57.6,57.61,57.54,57.59,711,0
LNT.US,5,20210922,154000,57.555,57.61,57.45,57.56,2433,0
LNT.US,5,20210922,154500,57.57,57.57,57.28,57.3,4259,0
LNT.US,5,20210922,155000,57.2224,57.25,57.195,57.2,3528,0
LNT.US,5,20210922,155500,57.13,57.32,57.13,57.32,2033,0
LNT.US,5,20210922,160000,57.31,57.58,57.31,57.58,1551,0
LNT.US,5,20210922,160500,57.56,57.59,57.54,57.55,3500,0
LNT.US,5,20210922,161000,57.56,57.67,57.53,57.62,2221,0
LNT.US,5,20210922,161500,57.58,57.65,57.58,57.65,700,0
LNT.US,5,20210922,162000,57.63,57.68,57.63,57.68,900,0
LNT.US,5,20210922,162500,57.63,57.71,57.6,57.71,1609,0
LNT.US,5,20210922,163000,57.75,57.81,57.75,57.77,4480,0
LNT.US,5,20210922,163500,57.78,57.81,57.73,57.76,2156,0
LNT.US,5,20210922,164000,57.7,57.7156,57.61,57.64,1700,0
LNT.US,5,20210922,164500,57.64,57.66,57.6,57.61,1570,0
LNT.US,5,20210922,165000,57.6,57.66,57.56,57.66,1914,0
LNT.US,5,20210922,165500,57.71,57.8,57.71,57.8,2050,0
LNT.US,5,20210922,170000,57.81,57.85,57.77,57.83,1900,0
LNT.US,5,20210922,170500,57.86,57.86,57.81,57.84,2705,0
LNT.US,5,20210922,171000,57.85,57.86,57.81,57.81,2100,0
LNT.US,5,20210922,171500,57.82,57.89,57.8,57.88,4601,0
LNT.US,5,20210922,172000,57.87,57.9,57.825,57.9,8008,0
LNT.US,5,20210922,172500,57.905,57.905,57.83,57.87,1706,0
LNT.US,5,20210922,173000,57.87,57.89,57.82,57.83,3655,0
LNT.US,5,20210922,173500,57.83,57.87,57.82,57.83,4226,0
LNT.US,5,20210922,174000,57.82,57.87,57.82,57.86,2827,0
LNT.US,5,20210922,174500,57.88,57.91,57.87,57.89,2002,0
LNT.US,5,20210922,175000,57.89,57.93,57.83,57.85,4700,0
LNT.US,5,20210922,175500,57.865,57.89,57.84,57.84,1114,0
LNT.US,5,20210922,180000,57.85,57.87,57.85,57.86,1631,0
LNT.US,5,20210922,180500,57.86,57.88,57.85,57.85,850,0
LNT.US,5,20210922,181000,57.85,57.86,57.81,57.82,1974,0
LNT.US,5,20210922,181500,57.81,57.83,57.795,57.82,2751,0
LNT.US,5,20210922,182000,57.83,57.83,57.81,57.815,1100,0
LNT.US,5,20210922,182500,57.805,57.805,57.74,57.74,1936,0
LNT.US,5,20210922,183000,57.75,57.79,57.75,57.79,1454,0
LNT.US,5,20210922,184000,57.8,57.8,57.76,57.79,1600,0
LNT.US,5,20210922,184500,57.78,57.79,57.78,57.79,2000,0
