<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUMN.US,5,20210922,153000,12.72,12.745,12.64,12.66,199373,0
LUMN.US,5,20210922,153500,12.66,12.69,12.64,12.68,46132,0
LUMN.US,5,20210922,154000,12.68,12.68,12.65,12.67,94086,0
LUMN.US,5,20210922,154500,12.665,12.71,12.655,12.66,157958,0
LUMN.US,5,20210922,155000,12.655,12.69,12.62,12.635,102993,0
LUMN.US,5,20210922,155500,12.64,12.67,12.6301,12.66,106638,0
LUMN.US,5,20210922,160000,12.655,12.675,12.621,12.665,96631,0
LUMN.US,5,20210922,160500,12.66,12.68,12.635,12.635,910088,0
LUMN.US,5,20210922,161000,12.64,12.67,12.61,12.665,95570,0
LUMN.US,5,20210922,161500,12.66,12.7,12.66,12.69,85076,0
LUMN.US,5,20210922,162000,12.685,12.69,12.67,12.68,70673,0
LUMN.US,5,20210922,162500,12.675,12.68,12.67,12.675,15362,0
LUMN.US,5,20210922,163000,12.68,12.69,12.67,12.685,72662,0
LUMN.US,5,20210922,163500,12.68,12.7,12.68,12.695,57017,0
LUMN.US,5,20210922,164000,12.69,12.7083,12.69,12.69,96167,0
LUMN.US,5,20210922,164500,12.699,12.699,12.67,12.675,49286,0
LUMN.US,5,20210922,165000,12.675,12.7,12.67,12.695,51542,0
LUMN.US,5,20210922,165500,12.7,12.7,12.69,12.695,65106,0
LUMN.US,5,20210922,170000,12.695,12.71,12.69,12.695,156951,0
LUMN.US,5,20210922,170500,12.69,12.7,12.68,12.685,41049,0
LUMN.US,5,20210922,171000,12.685,12.69,12.65,12.66,132133,0
LUMN.US,5,20210922,171500,12.665,12.67,12.66,12.665,50819,0
LUMN.US,5,20210922,172000,12.665,12.67,12.64,12.67,255657,0
LUMN.US,5,20210922,172500,12.67,12.67,12.6535,12.655,121098,0
LUMN.US,5,20210922,173000,12.655,12.67,12.65,12.6668,81615,0
LUMN.US,5,20210922,173500,12.66,12.68,12.66,12.661,146051,0
LUMN.US,5,20210922,174000,12.6633,12.665,12.66,12.66,12188,0
LUMN.US,5,20210922,174500,12.66,12.67,12.66,12.665,120706,0
LUMN.US,5,20210922,175000,12.665,12.675,12.65,12.655,167333,0
LUMN.US,5,20210922,175500,12.655,12.66,12.65,12.65,11036,0
LUMN.US,5,20210922,180000,12.65,12.66,12.645,12.65,68858,0
LUMN.US,5,20210922,180500,12.65,12.66,12.64,12.64,40323,0
LUMN.US,5,20210922,181000,12.6403,12.6499,12.635,12.64,47290,0
LUMN.US,5,20210922,181500,12.64,12.6461,12.63,12.6399,28351,0
LUMN.US,5,20210922,182000,12.6344,12.64,12.63,12.63,14503,0
LUMN.US,5,20210922,182500,12.635,12.639,12.63,12.63,21808,0
LUMN.US,5,20210922,183000,12.635,12.64,12.63,12.632,13270,0
LUMN.US,5,20210922,183500,12.63,12.64,12.63,12.63,47183,0
LUMN.US,5,20210922,184000,12.635,12.64,12.63,12.635,25306,0
LUMN.US,5,20210922,184500,12.63,12.64,12.625,12.6302,116673,0
LUMN.US,5,20210922,185000,12.6338,12.635,12.6,12.615,82806,0
LUMN.US,5,20210922,185500,12.61,12.62,12.61,12.6101,34349,0
LUMN.US,5,20210922,190000,12.61,12.615,12.59,12.59,115524,0
LUMN.US,5,20210922,190500,12.5965,12.6,12.59,12.59,40226,0
LUMN.US,5,20210922,191000,12.59,12.5923,12.57,12.585,148666,0
LUMN.US,5,20210922,191500,12.585,12.59,12.58,12.585,29998,0
LUMN.US,5,20210922,192000,12.58,12.5899,12.58,12.58,19265,0
LUMN.US,5,20210922,192500,12.58,12.59,12.58,12.58,14421,0
LUMN.US,5,20210922,193000,12.58,12.588,12.58,12.5841,22827,0
LUMN.US,5,20210922,193500,12.58,12.585,12.545,12.545,162462,0
LUMN.US,5,20210922,194000,12.54,12.5471,12.54,12.54,172358,0
LUMN.US,5,20210922,194500,12.54,12.5499,12.5,12.515,230065,0
LUMN.US,5,20210922,195000,12.515,12.54,12.51,12.5399,44791,0
LUMN.US,5,20210922,195500,12.535,12.54,12.52,12.54,47773,0
LUMN.US,5,20210922,200000,12.535,12.59,12.519,12.58,134055,0
LUMN.US,5,20210922,200500,12.58,12.595,12.57,12.59,63851,0
LUMN.US,5,20210922,201000,12.595,12.605,12.585,12.5928,123214,0
LUMN.US,5,20210922,201500,12.6,12.6,12.58,12.585,103233,0
LUMN.US,5,20210922,202000,12.58,12.59,12.565,12.59,88282,0
LUMN.US,5,20210922,202500,12.5845,12.61,12.58,12.605,68725,0
LUMN.US,5,20210922,203000,12.605,12.625,12.6,12.62,254885,0
LUMN.US,5,20210922,203500,12.625,12.63,12.575,12.58,188818,0
LUMN.US,5,20210922,204000,12.58,12.58,12.5316,12.56,141703,0
LUMN.US,5,20210922,204500,12.56,12.56,12.53,12.53,100357,0
LUMN.US,5,20210922,205000,12.53,12.555,12.52,12.55,117406,0
LUMN.US,5,20210922,205500,12.56,12.575,12.545,12.5725,74886,0
LUMN.US,5,20210922,210000,12.575,12.58,12.545,12.575,81661,0
LUMN.US,5,20210922,210500,12.575,12.59,12.56,12.585,119411,0
LUMN.US,5,20210922,211000,12.59,12.6,12.58,12.59,63866,0
LUMN.US,5,20210922,211500,12.6,12.615,12.59,12.609,167879,0
LUMN.US,5,20210922,212000,12.605,12.62,12.6,12.61,106686,0
LUMN.US,5,20210922,212500,12.615,12.615,12.59,12.6,57474,0
LUMN.US,5,20210922,213000,12.605,12.61,12.58,12.58,132936,0
LUMN.US,5,20210922,213500,12.58,12.63,12.58,12.62,125576,0
LUMN.US,5,20210922,214000,12.63,12.635,12.615,12.615,737584,0
LUMN.US,5,20210922,214500,12.615,12.635,12.58,12.585,187754,0
LUMN.US,5,20210922,215000,12.585,12.59,12.57,12.57,126277,0
LUMN.US,5,20210922,215500,12.57,12.58,12.545,12.55,1121006,0
LUMN.US,5,20210923,153000,12.57,12.655,12.55,12.6436,147048,0
LUMN.US,5,20210923,153500,12.65,12.655,12.635,12.65,206654,0
LUMN.US,5,20210923,154000,12.65,12.66,12.595,12.62,194102,0
LUMN.US,5,20210923,154500,12.615,12.69,12.615,12.685,343105,0
LUMN.US,5,20210923,155000,12.69,12.69,12.64,12.645,164039,0
LUMN.US,5,20210923,155500,12.65,12.66,12.64,12.65,154252,0
LUMN.US,5,20210923,160000,12.65,12.68,12.64,12.65,283509,0
LUMN.US,5,20210923,160500,12.65,12.67,12.625,12.67,123219,0
LUMN.US,5,20210923,161000,12.68,12.81,12.675,12.81,656385,0
LUMN.US,5,20210923,161500,12.8082,12.83,12.75,12.75,281830,0
LUMN.US,5,20210923,162000,12.75,12.76,12.73,12.7528,149638,0
LUMN.US,5,20210923,162500,12.7526,12.76,12.745,12.755,82151,0
LUMN.US,5,20210923,163000,12.755,12.76,12.74,12.7575,221140,0
LUMN.US,5,20210923,163500,12.7565,12.78,12.7113,12.72,155882,0
LUMN.US,5,20210923,164000,12.72,12.74,12.715,12.735,41163,0
LUMN.US,5,20210923,164500,12.735,12.75,12.73,12.74,112670,0
LUMN.US,5,20210923,165000,12.745,12.76,12.74,12.755,118811,0
LUMN.US,5,20210923,165500,12.755,12.79,12.755,12.7701,189409,0
LUMN.US,5,20210923,170000,12.775,12.79,12.775,12.785,74496,0
LUMN.US,5,20210923,170500,12.785,12.8,12.775,12.79,206428,0
LUMN.US,5,20210923,171000,12.79,12.8,12.77,12.77,156470,0
LUMN.US,5,20210923,171500,12.775,12.78,12.77,12.775,27430,0
LUMN.US,5,20210923,172000,12.78,12.81,12.775,12.803,1198705,0
LUMN.US,5,20210923,172500,12.8,12.81,12.8,12.804,94664,0
LUMN.US,5,20210923,173000,12.805,12.84,12.8,12.835,124975,0
LUMN.US,5,20210923,173500,12.832,12.85,12.83,12.845,85484,0
LUMN.US,5,20210923,174000,12.845,12.86,12.84,12.845,115562,0
LUMN.US,5,20210923,174500,12.845,12.85,12.83,12.835,56605,0
LUMN.US,5,20210923,175000,12.84,12.84,12.82,12.8222,34879,0
LUMN.US,5,20210923,175500,12.8228,12.83,12.8,12.805,111599,0
LUMN.US,5,20210923,180000,12.805,12.81,12.795,12.805,58575,0
LUMN.US,5,20210923,180500,12.81,12.81,12.78,12.785,56149,0
LUMN.US,5,20210923,181000,12.78,12.79,12.78,12.785,14609,0
LUMN.US,5,20210923,181500,12.785,12.805,12.78,12.795,118843,0
LUMN.US,5,20210923,182000,12.795,12.8,12.79,12.79,29784,0
LUMN.US,5,20210923,182500,12.795,12.81,12.79,12.8045,60019,0
LUMN.US,5,20210923,183000,12.8,12.81,12.8,12.805,17614,0
LUMN.US,5,20210923,183500,12.8099,12.825,12.805,12.815,181336,0
LUMN.US,5,20210923,184000,12.815,12.83,12.81,12.825,49123,0
LUMN.US,5,20210923,184500,12.825,12.83,12.82,12.825,62750,0
LUMN.US,5,20210923,185000,12.825,12.83,12.82,12.82,84645,0
LUMN.US,5,20210923,185500,12.825,12.83,12.79,12.795,60913,0
LUMN.US,5,20210923,190000,12.795,12.795,12.75,12.78,162351,0
LUMN.US,5,20210923,190500,12.78,12.78,12.77,12.775,76564,0
LUMN.US,5,20210923,191000,12.78,12.78,12.76,12.765,151951,0
LUMN.US,5,20210923,191500,12.765,12.77,12.75,12.755,111255,0
LUMN.US,5,20210923,192000,12.755,12.76,12.75,12.75,15953,0
LUMN.US,5,20210923,192500,12.755,12.76,12.74,12.755,74040,0
LUMN.US,5,20210923,193000,12.755,12.76,12.75,12.755,25526,0
LUMN.US,5,20210923,193500,12.755,12.76,12.75,12.755,30345,0
LUMN.US,5,20210923,194000,12.76,12.8,12.75,12.79,231380,0
LUMN.US,5,20210923,194500,12.795,12.795,12.78,12.78,40669,0
LUMN.US,5,20210923,195000,12.785,12.79,12.78,12.78,54218,0
LUMN.US,5,20210923,195500,12.78,12.79,12.775,12.78,65842,0
LUMN.US,5,20210923,200000,12.785,12.785,12.76,12.76,55264,0
LUMN.US,5,20210923,200500,12.77,12.77,12.74,12.745,42949,0
LUMN.US,5,20210923,201000,12.74,12.75,12.74,12.75,11736,0
LUMN.US,5,20210923,201500,12.745,12.75,12.73,12.735,100089,0
LUMN.US,5,20210923,202000,12.735,12.74,12.73,12.74,16770,0
LUMN.US,5,20210923,202500,12.735,12.75,12.73,12.745,95494,0
LUMN.US,5,20210923,203000,12.745,12.8,12.745,12.795,147038,0
LUMN.US,5,20210923,203500,12.79,12.81,12.78,12.785,109178,0
LUMN.US,5,20210923,204000,12.78,12.79,12.78,12.785,32133,0
LUMN.US,5,20210923,204500,12.785,12.8,12.785,12.795,52284,0
LUMN.US,5,20210923,205000,12.8,12.8,12.78,12.7899,139542,0
LUMN.US,5,20210923,205500,12.785,12.79,12.78,12.785,79397,0
LUMN.US,5,20210923,210000,12.785,12.79,12.78,12.785,67753,0
