<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUXA.US,5,20210922,153000,9.8,9.8,9.8,9.8,300,0
LUXA.US,5,20210922,153500,9.8,9.801,9.8,9.801,1640,0
LUXA.US,5,20210922,162500,9.81,9.81,9.81,9.81,2100,0
LUXA.US,5,20210922,163500,9.83,9.84,9.83,9.84,3739,0
LUXA.US,5,20210922,164500,9.84,9.84,9.84,9.84,100,0
LUXA.US,5,20210922,170500,9.84,9.84,9.83,9.83,386100,0
LUXA.US,5,20210922,171000,9.84,9.84,9.84,9.84,400,0
LUXA.US,5,20210922,171500,9.82,9.82,9.82,9.82,600,0
LUXA.US,5,20210922,174500,9.81,9.812,9.81,9.81,2000,0
LUXA.US,5,20210922,175000,9.82,9.82,9.82,9.82,100,0
LUXA.US,5,20210922,175500,9.81,9.81,9.81,9.81,895,0
LUXA.US,5,20210922,180500,9.82,9.82,9.82,9.82,100,0
LUXA.US,5,20210922,181000,9.81,9.81,9.81,9.81,1100,0
LUXA.US,5,20210922,181500,9.82,9.82,9.82,9.82,100,0
LUXA.US,5,20210922,182000,9.82,9.83,9.82,9.83,12488,0
LUXA.US,5,20210922,182500,9.83,9.83,9.83,9.83,12138,0
LUXA.US,5,20210922,183000,9.83,9.83,9.83,9.83,12773,0
LUXA.US,5,20210922,183500,9.83,9.83,9.83,9.83,12371,0
LUXA.US,5,20210922,184000,9.83,9.83,9.83,9.83,12235,0
LUXA.US,5,20210922,184500,9.83,9.83,9.83,9.83,12252,0
LUXA.US,5,20210922,185000,9.83,9.83,9.83,9.83,12494,0
LUXA.US,5,20210922,185500,9.83,9.83,9.83,9.83,14095,0
LUXA.US,5,20210922,190000,9.83,9.83,9.83,9.83,2400,0
LUXA.US,5,20210922,190500,9.83,9.83,9.83,9.83,10995,0
LUXA.US,5,20210922,191000,9.83,9.83,9.83,9.83,14400,0
LUXA.US,5,20210922,191500,9.83,9.84,9.83,9.84,7177,0
LUXA.US,5,20210922,192000,9.84,9.84,9.83,9.83,29900,0
LUXA.US,5,20210922,192500,9.83,9.84,9.83,9.83,17700,0
LUXA.US,5,20210922,193000,9.83,9.83,9.83,9.83,13400,0
LUXA.US,5,20210922,193500,9.83,9.83,9.82,9.83,14800,0
LUXA.US,5,20210922,194000,9.83,9.85,9.83,9.85,3104,0
LUXA.US,5,20210922,194500,9.85,9.85,9.83,9.83,20696,0
LUXA.US,5,20210922,195000,9.83,9.85,9.83,9.85,7727,0
LUXA.US,5,20210922,195500,9.85,9.85,9.85,9.85,800,0
LUXA.US,5,20210922,200000,9.85,9.87,9.85,9.87,800,0
LUXA.US,5,20210922,200500,9.87,9.87,9.87,9.87,900,0
LUXA.US,5,20210922,201000,9.86,9.88,9.86,9.88,900,0
LUXA.US,5,20210922,201500,9.88,9.89,9.88,9.88,700,0
LUXA.US,5,20210922,202000,9.88,9.89,9.88,9.89,400,0
LUXA.US,5,20210922,202500,9.87,9.89,9.87,9.89,700,0
LUXA.US,5,20210922,203000,9.89,9.89,9.87,9.89,700,0
LUXA.US,5,20210922,203500,9.89,9.89,9.89,9.89,800,0
LUXA.US,5,20210922,204000,9.89,9.89,9.89,9.89,800,0
LUXA.US,5,20210922,204500,9.89,9.89,9.84,9.84,1700,0
LUXA.US,5,20210922,205000,9.835,9.84,9.83,9.83,4830,0
LUXA.US,5,20210922,205500,9.86,9.86,9.86,9.86,800,0
LUXA.US,5,20210922,210000,9.855,9.855,9.855,9.855,1100,0
LUXA.US,5,20210922,210500,9.855,9.855,9.855,9.855,1100,0
LUXA.US,5,20210922,211000,9.84,9.84,9.84,9.84,1400,0
LUXA.US,5,20210922,211500,9.84,9.84,9.84,9.84,1300,0
LUXA.US,5,20210922,212000,9.84,9.84,9.84,9.84,800,0
LUXA.US,5,20210922,212500,9.84,9.84,9.83,9.84,700,0
LUXA.US,5,20210922,214500,9.83,9.83,9.83,9.83,300,0
LUXA.US,5,20210922,215500,9.835,9.87,9.83,9.85,5934,0
LUXA.US,5,20210923,153000,9.83,9.83,9.83,9.83,103,0
LUXA.US,5,20210923,155500,9.85,9.85,9.85,9.85,1000,0
LUXA.US,5,20210923,164500,9.845,9.85,9.84,9.85,10794,0
LUXA.US,5,20210923,165500,9.85,9.85,9.85,9.85,600,0
LUXA.US,5,20210923,170000,9.85,9.85,9.85,9.85,200,0
LUXA.US,5,20210923,171500,9.85,9.85,9.85,9.85,300,0
LUXA.US,5,20210923,172000,9.85,9.85,9.85,9.85,100,0
LUXA.US,5,20210923,173000,9.85,9.85,9.85,9.85,100,0
LUXA.US,5,20210923,173500,9.85,9.85,9.85,9.85,100,0
LUXA.US,5,20210923,174000,9.85,9.85,9.85,9.85,100,0
LUXA.US,5,20210923,174500,9.85,9.85,9.85,9.85,100,0
LUXA.US,5,20210923,185000,9.85,9.85,9.85,9.85,931,0
LUXA.US,5,20210923,190500,9.87,9.87,9.87,9.87,100,0
LUXA.US,5,20210923,204000,9.86,9.86,9.86,9.86,300,0
LUXA.US,5,20210923,211500,9.85,9.85,9.85,9.85,100,0
LUXA.US,5,20210923,215000,9.85,9.85,9.85,9.85,272,0
LUXA.US,5,20210923,215500,9.855,9.86,9.85,9.86,1845,0
LUXA.US,5,20210924,160000,9.861,9.861,9.861,9.861,100,0
LUXA.US,5,20210924,161000,9.87,9.87,9.87,9.87,100,0
LUXA.US,5,20210924,162000,9.86,9.86,9.86,9.86,500,0
LUXA.US,5,20210924,175000,9.851,9.86,9.85,9.86,2736,0
LUXA.US,5,20210924,180000,9.86,9.86,9.86,9.86,100,0
LUXA.US,5,20210924,180500,9.86,9.86,9.86,9.86,100,0
LUXA.US,5,20210924,182000,9.86,9.86,9.86,9.86,100,0
LUXA.US,5,20210924,204500,9.85,9.85,9.85,9.85,332,0
LUXA.US,5,20210924,215000,9.868,9.885,9.86,9.885,10582,0
LUXA.US,5,20210924,215500,9.885,9.885,9.875,9.875,400,0
LUXA.US,5,20210927,153000,9.88,9.88,9.88,9.88,100,0
LUXA.US,5,20210927,154500,9.83,9.83,9.82,9.83,500,0
LUXA.US,5,20210927,155000,9.82,9.85,9.82,9.85,1500,0
LUXA.US,5,20210927,155500,9.87,9.87,9.87,9.87,100,0
LUXA.US,5,20210927,160000,9.88,9.88,9.88,9.88,100,0
LUXA.US,5,20210927,175000,9.845,9.845,9.845,9.845,1000,0
LUXA.US,5,20210927,175500,9.87,9.87,9.87,9.87,100,0
LUXA.US,5,20210927,182000,9.88,9.88,9.88,9.88,100,0
LUXA.US,5,20210927,183500,9.8301,9.8301,9.8301,9.8301,100,0
LUXA.US,5,20210927,184500,9.831,9.831,9.831,9.831,2000,0
LUXA.US,5,20210927,185500,9.87,9.87,9.87,9.87,100,0
LUXA.US,5,20210927,190000,9.8495,9.8495,9.8495,9.8495,120,0
LUXA.US,5,20210927,191000,9.87,9.87,9.87,9.87,100,0
LUXA.US,5,20210927,204000,9.83,9.83,9.83,9.83,346,0
LUXA.US,5,20210927,205500,9.85,9.85,9.85,9.85,300,0
LUXA.US,5,20210927,210000,9.83,9.8301,9.83,9.8301,3100,0
LUXA.US,5,20210927,211500,9.85,9.85,9.85,9.85,100,0
LUXA.US,5,20210927,213500,9.83,9.85,9.83,9.85,200,0
LUXA.US,5,20210927,215000,9.85,9.85,9.85,9.85,350,0
LUXA.US,5,20210927,215500,9.85,9.85,9.82,9.82,308,0
LUXA.US,5,20210928,153000,9.82,9.82,9.82,9.82,310,0
LUXA.US,5,20210928,153500,9.82,9.82,9.82,9.82,2200,0
