<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMSC.US,5,20211015,170500,20.68,20.68,20.68,20.68,200,0
MMSC.US,5,20211015,175500,20.65,20.65,20.65,20.65,950,0
MMSC.US,5,20211015,193000,20.58,20.58,20.58,20.58,200,0
MMSC.US,5,20211015,204500,20.62,20.62,20.62,20.62,145,0
MMSC.US,5,20211015,205000,20.59,20.59,20.59,20.59,100,0
MMSC.US,5,20211015,213000,20.54,20.54,20.54,20.54,200,0
MMSC.US,5,20211015,215500,20.49,20.49,20.49,20.49,1200,0
MMSC.US,5,20211018,153000,20.49,20.49,20.49,20.49,2034,0
MMSC.US,5,20211018,172500,20.48,20.48,20.48,20.48,200,0
MMSC.US,5,20211018,181000,20.52,20.52,20.52,20.52,100,0
MMSC.US,5,20211018,181500,20.52,20.52,20.52,20.52,200,0
MMSC.US,5,20211018,183500,20.52,20.52,20.52,20.52,200,0
MMSC.US,5,20211018,184000,20.52,20.52,20.52,20.52,200,0
MMSC.US,5,20211018,190000,20.52,20.52,20.52,20.52,100,0
MMSC.US,5,20211018,204500,20.56,20.56,20.56,20.56,100,0
MMSC.US,5,20211018,214500,20.57,20.57,20.57,20.57,200,0
MMSC.US,5,20211019,160500,20.6399,20.6399,20.6399,20.6399,1000,0
MMSC.US,5,20211019,161500,20.64,20.64,20.64,20.64,222,0
MMSC.US,5,20211019,192000,20.74,20.74,20.74,20.74,100,0
MMSC.US,5,20211019,201500,20.73,20.73,20.73,20.73,100,0
MMSC.US,5,20211019,213000,20.65,20.65,20.65,20.65,200,0
MMSC.US,5,20211020,165500,20.76,20.76,20.76,20.76,200,0
MMSC.US,5,20211020,172500,20.7499,20.7499,20.7499,20.7499,100,0
MMSC.US,5,20211020,181000,20.75,20.75,20.75,20.75,100,0
MMSC.US,5,20211020,190500,20.72,20.72,20.72,20.72,100,0
MMSC.US,5,20211020,210500,20.74,20.74,20.74,20.74,100,0
MMSC.US,5,20211020,211000,20.72,20.72,20.72,20.72,200,0
MMSC.US,5,20211020,212000,20.7,20.7,20.7,20.7,1514,0
MMSC.US,5,20211025,185500,21.11,21.11,21.11,21.11,200,0
MMSC.US,5,20211025,201000,21.13,21.13,21.13,21.13,300,0
MMSC.US,5,20211025,211500,21.12,21.12,21.12,21.12,300,0
MMSC.US,5,20211025,214500,21.08,21.08,21.08,21.08,200,0
MMSC.US,5,20211025,215500,21.05,21.07,21.05,21.07,346,0
MMSC.US,5,20211026,211000,21.08,21.08,21.08,21.08,300,0
MMSC.US,5,20211027,165500,20.8884,20.8884,20.8884,20.8884,1250,0
MMSC.US,5,20211027,172500,20.91,20.91,20.91,20.91,200,0
MMSC.US,5,20211027,210000,20.95,20.95,20.9494,20.9494,2000,0
MMSC.US,5,20211027,212000,20.82,20.84,20.82,20.84,2300,0
MMSC.US,5,20211027,212500,20.86,20.87,20.86,20.86,700,0
MMSC.US,5,20211028,175500,21.16,21.16,21.1281,21.1281,4000,0
MMSC.US,5,20211101,185500,21.8,21.8,21.8,21.8,600,0
MMSC.US,5,20211101,201000,21.8,21.8,21.791,21.791,4600,0
MMSC.US,5,20211101,205000,21.84,21.84,21.8299,21.8299,1200,0
MMSC.US,5,20211102,171500,21.89,21.89,21.89,21.89,400,0
MMSC.US,5,20211102,173000,21.89,21.89,21.89,21.89,300,0
MMSC.US,5,20211102,180500,21.88,21.88,21.88,21.88,179,0
MMSC.US,5,20211102,183000,21.805,21.84,21.805,21.8217,1250,0
MMSC.US,5,20211102,202000,21.91,21.91,21.91,21.91,400,0
MMSC.US,5,20211103,174000,22.025,22.025,22.025,22.025,200,0
MMSC.US,5,20211103,174500,22.04,22.04,22.0151,22.0151,1000,0
MMSC.US,5,20211103,204500,22.2,22.2,22.2,22.2,100,0
MMSC.US,5,20211105,163500,22.435,22.47,22.435,22.4595,900,0
MMSC.US,5,20211105,191000,22.37,22.37,22.37,22.37,200,0
MMSC.US,5,20211105,204000,22.42,22.42,22.42,22.42,100,0
MMSC.US,5,20211108,200500,22.63,22.63,22.63,22.63,200,0
MMSC.US,5,20211108,202000,22.59,22.59,22.59,22.59,325,0
MMSC.US,5,20211109,170500,22.62,22.62,22.62,22.62,200,0
MMSC.US,5,20211109,201000,22.5,22.5,22.5,22.5,200,0
MMSC.US,5,20211109,204000,22.49,22.49,22.49,22.49,100,0
MMSC.US,5,20211110,182000,22.2338,22.2338,22.2338,22.2338,750,0
MMSC.US,5,20211111,171000,22.175,22.175,22.175,22.175,200,0
MMSC.US,5,20211111,194500,22.28,22.28,22.28,22.28,898,0
MMSC.US,5,20211111,214500,22.21,22.21,22.21,22.21,800,0
