<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYGN.US,5,20210922,153000,34.01,34.01,34.01,34.01,7325,0
MYGN.US,5,20210922,153500,34.05,34.08,33.82,33.82,1185,0
MYGN.US,5,20210922,154000,33.87,33.87,33.59,33.75,1000,0
MYGN.US,5,20210922,154500,33.55,33.66,33.46,33.46,2200,0
MYGN.US,5,20210922,155000,33.46,33.565,33.44,33.565,2100,0
MYGN.US,5,20210922,155500,33.595,33.99,33.595,33.75,3944,0
MYGN.US,5,20210922,160000,33.8,33.92,33.66,33.92,5840,0
MYGN.US,5,20210922,160500,33.855,34.12,33.855,34.12,1143,0
MYGN.US,5,20210922,161000,34.055,34.08,34.05,34.08,620,0
MYGN.US,5,20210922,161500,34.18,34.18,34.085,34.13,1200,0
MYGN.US,5,20210922,162000,34.0869,34.19,34.0869,34.19,2246,0
MYGN.US,5,20210922,162500,34.2,34.25,34.2,34.25,200,0
MYGN.US,5,20210922,163000,34.23,34.28,34.17,34.28,1551,0
MYGN.US,5,20210922,163500,34.25,34.26,34.22,34.26,900,0
MYGN.US,5,20210922,164000,34.3,34.35,34.23,34.31,3705,0
MYGN.US,5,20210922,164500,34.34,34.34,34.26,34.295,600,0
MYGN.US,5,20210922,165000,34.32,34.32,34.21,34.255,2145,0
MYGN.US,5,20210922,165500,34.25,34.25,34.22,34.23,1913,0
MYGN.US,5,20210922,170000,34.225,34.25,34.19,34.25,600,0
MYGN.US,5,20210922,170500,34.26,34.34,34.25,34.25,1425,0
MYGN.US,5,20210922,171000,34.2896,34.36,34.2896,34.36,1000,0
MYGN.US,5,20210922,171500,34.34,34.34,34.3,34.3,1313,0
MYGN.US,5,20210922,172000,34.28,34.31,34.26,34.305,1427,0
MYGN.US,5,20210922,172500,34.365,34.365,34.29,34.29,600,0
MYGN.US,5,20210922,173000,34.35,34.41,34.33,34.34,13622,0
MYGN.US,5,20210922,173500,34.33,34.34,34.305,34.34,751,0
MYGN.US,5,20210922,174000,34.36,34.41,34.34,34.4,1309,0
MYGN.US,5,20210922,174500,34.38,34.38,34.34,34.34,300,0
MYGN.US,5,20210922,175000,34.37,34.44,34.3,34.345,900,0
MYGN.US,5,20210922,175500,34.34,34.36,34.34,34.36,400,0
MYGN.US,5,20210922,180000,34.355,34.355,34.355,34.355,200,0
MYGN.US,5,20210922,180500,34.36,34.36,34.36,34.36,100,0
MYGN.US,5,20210922,181000,34.36,34.48,34.34,34.48,1941,0
MYGN.US,5,20210922,181500,34.46,34.54,34.46,34.47,12428,0
MYGN.US,5,20210922,182000,34.47,34.48,34.47,34.48,666,0
MYGN.US,5,20210922,182500,34.4799,34.48,34.42,34.435,1476,0
MYGN.US,5,20210922,183000,34.435,34.46,34.43,34.4322,939,0
