<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCLH.US,5,20210922,153000,25.23,25.67,25.22,25.64,597051,0
NCLH.US,5,20210922,153500,25.64,25.79,25.54,25.74,684567,0
NCLH.US,5,20210922,154000,25.74,25.85,25.6103,25.68,343418,0
NCLH.US,5,20210922,154500,25.67,25.87,25.66,25.8016,369333,0
NCLH.US,5,20210922,155000,25.81,25.93,25.8,25.8585,362019,0
NCLH.US,5,20210922,155500,25.85,25.97,25.84,25.91,290459,0
NCLH.US,5,20210922,160000,25.92,25.93,25.78,25.841,279777,0
NCLH.US,5,20210922,160500,25.84,25.84,25.7121,25.8,152522,0
NCLH.US,5,20210922,161000,25.8,25.92,25.76,25.915,147036,0
NCLH.US,5,20210922,161500,25.9115,25.92,25.855,25.88,81380,0
NCLH.US,5,20210922,162000,25.88,25.94,25.8099,25.89,230681,0
NCLH.US,5,20210922,162500,25.8901,25.91,25.7728,25.7941,173902,0
NCLH.US,5,20210922,163000,25.795,25.875,25.785,25.835,86606,0
NCLH.US,5,20210922,163500,25.8301,25.9001,25.81,25.89,82637,0
NCLH.US,5,20210922,164000,25.88,25.94,25.86,25.885,105765,0
NCLH.US,5,20210922,164500,25.885,25.93,25.8401,25.9285,98141,0
NCLH.US,5,20210922,165000,25.925,25.9466,25.875,25.88,106973,0
NCLH.US,5,20210922,165500,25.875,25.93,25.875,25.91,71602,0
NCLH.US,5,20210922,170000,25.9099,25.96,25.905,25.955,121930,0
NCLH.US,5,20210922,170500,25.95,25.957,25.87,25.8998,67459,0
NCLH.US,5,20210922,171000,25.9,25.98,25.9,25.9706,95319,0
NCLH.US,5,20210922,171500,25.98,26.01,25.96,25.99,462978,0
NCLH.US,5,20210922,172000,25.985,26.03,25.985,26.03,119333,0
NCLH.US,5,20210922,172500,26.03,26.12,26.03,26.07,221958,0
NCLH.US,5,20210922,173000,26.07,26.11,26.03,26.085,179563,0
NCLH.US,5,20210922,173500,26.09,26.15,26.08,26.13,143677,0
NCLH.US,5,20210922,174000,26.1314,26.14,26.085,26.1,116960,0
NCLH.US,5,20210922,174500,26.1,26.105,26.04,26.065,79012,0
NCLH.US,5,20210922,175000,26.065,26.1,26.025,26.075,172773,0
NCLH.US,5,20210922,175500,26.07,26.0799,26.025,26.0301,93955,0
NCLH.US,5,20210922,180000,26.04,26.06,26,26.0532,97415,0
NCLH.US,5,20210922,180500,26.0544,26.06,26.01,26.01,76736,0
NCLH.US,5,20210922,181000,26,26.02,25.96,25.9715,66355,0
NCLH.US,5,20210922,181500,25.975,25.99,25.93,25.975,99398,0
NCLH.US,5,20210922,182000,25.9728,26,25.965,25.985,35447,0
NCLH.US,5,20210922,182500,25.98,26.05,25.975,26.0406,83946,0
NCLH.US,5,20210922,183000,26.05,26.07,26.025,26.05,104583,0
NCLH.US,5,20210922,183500,26.05,26.0799,26.04,26.055,58293,0
NCLH.US,5,20210922,184000,26.055,26.055,26,26.01,38673,0
NCLH.US,5,20210922,184500,26.015,26.055,26.01,26.05,48088,0
NCLH.US,5,20210922,185000,26.06,26.075,25.97,25.9758,99811,0
NCLH.US,5,20210922,185500,25.975,26.025,25.97,26.02,60284,0
NCLH.US,5,20210922,190000,26.02,26.04,25.975,25.975,61335,0
NCLH.US,5,20210922,190500,25.975,26.025,25.965,26.025,84212,0
NCLH.US,5,20210922,191000,26.02,26.03,25.981,26.02,80369,0
NCLH.US,5,20210922,191500,26.02,26.0697,26.01,26.05,55406,0
NCLH.US,5,20210922,192000,26.05,26.07,26.0201,26.04,73066,0
NCLH.US,5,20210922,192500,26.04,26.08,26.04,26.08,52185,0
NCLH.US,5,20210922,193000,26.0792,26.1,26.05,26.095,122071,0
NCLH.US,5,20210922,193500,26.095,26.14,26.08,26.1114,181134,0
NCLH.US,5,20210922,194000,26.115,26.12,26.06,26.1,83195,0
NCLH.US,5,20210922,194500,26.08,26.1,26.06,26.075,70293,0
NCLH.US,5,20210922,195000,26.075,26.075,26.02,26.035,94041,0
NCLH.US,5,20210922,195500,26.035,26.08,26.01,26.05,62543,0
NCLH.US,5,20210922,200000,26.05,26.13,25.98,26.13,163780,0
