<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEE_O.US,5,20210922,155000,60.54,60.54,60.54,60.54,1000,0
NEE_O.US,5,20210922,160000,60.7,60.75,60.7,60.75,200,0
NEE_O.US,5,20210922,160500,60.94,60.94,60.94,60.94,153,0
NEE_O.US,5,20210922,161000,61.01,61.01,61.01,61.01,1000,0
NEE_O.US,5,20210922,161500,61.06,61.06,61.06,61.06,1900,0
NEE_O.US,5,20210922,162000,61.08,61.09,61.06,61.09,1582,0
NEE_O.US,5,20210922,162500,61.08,61.08,61.08,61.08,158,0
NEE_O.US,5,20210922,163000,61.1,61.14,61.1,61.14,1300,0
NEE_O.US,5,20210922,165000,61.05,61.05,61.05,61.05,100,0
NEE_O.US,5,20210922,165500,61.05,61.08,61.05,61.08,200,0
NEE_O.US,5,20210922,170000,61.18,61.18,61.18,61.18,100,0
NEE_O.US,5,20210922,173500,61.19,61.19,61.19,61.19,119,0
NEE_O.US,5,20210922,174000,61.15,61.15,61.15,61.15,116,0
NEE_O.US,5,20210922,175000,61.12,61.12,61.11,61.11,587,0
NEE_O.US,5,20210922,183500,61.0799,61.0799,61.0799,61.0799,266,0
NEE_O.US,5,20210922,190000,61.03,61.03,61.03,61.03,141,0
NEE_O.US,5,20210922,190500,61.04,61.04,61.03,61.03,517,0
NEE_O.US,5,20210922,193500,60.99,60.99,60.99,60.99,100,0
NEE_O.US,5,20210922,200000,60.85,60.85,60.85,60.85,300,0
NEE_O.US,5,20210922,202000,60.99,60.99,60.99,60.99,100,0
NEE_O.US,5,20210922,203000,60.93,60.93,60.93,60.93,445,0
NEE_O.US,5,20210922,205500,60.745,60.7596,60.73,60.73,633,0
NEE_O.US,5,20210922,210000,60.67,60.67,60.67,60.67,100,0
NEE_O.US,5,20210922,210500,60.645,60.645,60.645,60.645,233,0
NEE_O.US,5,20210922,211000,60.66,60.81,60.66,60.81,538,0
NEE_O.US,5,20210922,213000,60.635,60.64,60.61,60.61,300,0
NEE_O.US,5,20210922,213500,60.62,60.68,60.62,60.68,496,0
NEE_O.US,5,20210922,214000,60.68,60.68,60.68,60.68,200,0
NEE_O.US,5,20210922,214500,60.66,60.66,60.61,60.61,1000,0
NEE_O.US,5,20210922,215000,60.59,60.64,60.59,60.64,502,0
NEE_O.US,5,20210922,215500,60.63,60.64,60.63,60.64,1420,0
NEE_O.US,5,20210923,153500,60.63,60.77,60.63,60.77,400,0
NEE_O.US,5,20210923,154500,60.89,60.91,60.85,60.85,1445,0
NEE_O.US,5,20210923,155000,60.7,60.74,60.7,60.74,200,0
NEE_O.US,5,20210923,155500,60.54,60.54,60.54,60.54,100,0
NEE_O.US,5,20210923,160000,60.55,60.55,60.55,60.55,100,0
NEE_O.US,5,20210923,160500,60.61,60.7,60.61,60.7,400,0
NEE_O.US,5,20210923,161500,60.79,60.79,60.79,60.79,100,0
NEE_O.US,5,20210923,163500,60.74,60.74,60.74,60.74,100,0
NEE_O.US,5,20210923,164000,60.62,60.62,60.62,60.62,100,0
