<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMS.US,5,20210922,212500,16,16,16,16,102,0
NMS.US,5,20210922,215500,15.9784,15.9784,15.9784,15.9784,500,0
NMS.US,5,20210923,165500,15.9001,15.9001,15.9001,15.9001,500,0
NMS.US,5,20210927,175000,16.02,16.02,15.9,15.91,1500,0
NMS.US,5,20210927,194000,16.2994,16.2994,16.299,16.299,900,0
NMS.US,5,20210928,153000,16.1,16.1,15.9688,15.9688,600,0
NMS.US,5,20210928,154000,15.9,15.9,15.9,15.9,251,0
NMS.US,5,20210928,155000,15.9653,15.9653,15.9653,15.9653,300,0
NMS.US,5,20210928,193500,15.99,16.08,15.9152,15.9152,1387,0
NMS.US,5,20210928,194000,15.951,15.951,15.951,15.951,350,0
NMS.US,5,20210928,202000,15.9311,15.9311,15.9311,15.9311,1000,0
NMS.US,5,20210928,202500,15.95,15.95,15.9,15.9,740,0
NMS.US,5,20210928,215000,15.875,15.875,15.85,15.85,346,0
NMS.US,5,20210929,153000,16.03,16.03,16.03,16.03,267,0
NMS.US,5,20210929,175000,16.05,16.05,16.05,16.05,100,0
NMS.US,5,20210930,202500,16.38,16.38,16.38,16.38,1200,0
NMS.US,5,20210930,210000,15.9192,15.9192,15.9192,15.9192,100,0
NMS.US,5,20210930,212000,16.38,16.39,16.38,16.39,2330,0
NMS.US,5,20210930,215500,16,16,16,16,226,0
NMS.US,5,20211001,153000,16.39,16.39,16,16,754,0
NMS.US,5,20211001,155000,16,16,15.9979,15.9979,599,0
NMS.US,5,20211001,160000,16,16,16,16,102,0
NMS.US,5,20211001,163500,15.9552,15.9552,15.9552,15.9552,226,0
NMS.US,5,20211001,182000,16,16.48,15.965,16.2296,1871,0
NMS.US,5,20211001,215000,15.995,15.995,15.99,15.99,438,0
NMS.US,5,20211004,160000,16.2381,16.2381,16.2381,16.2381,343,0
NMS.US,5,20211004,174500,15.95,15.95,15.86,15.86,1500,0
NMS.US,5,20211005,153000,16,16,16,16,105,0
NMS.US,5,20211005,164500,16,16,16,16,200,0
NMS.US,5,20211005,181000,16,16,16,16,200,0
NMS.US,5,20211005,192500,16,16,16,16,200,0
NMS.US,5,20211005,200000,16,16,16,16,404,0
NMS.US,5,20211005,202500,16,16,16,16,100,0
NMS.US,5,20211005,205000,16,16,16,16,100,0
NMS.US,5,20211006,161000,16.0682,16.0682,16.0682,16.0682,1000,0
NMS.US,5,20211006,163500,16.0439,16.0439,16.0439,16.0439,103,0
NMS.US,5,20211006,171500,16.015,16.015,16.015,16.015,964,0
NMS.US,5,20211006,173000,16.025,16.025,16.025,16.025,438,0
NMS.US,5,20211006,215500,16,16,16,16,604,0
NMS.US,5,20211007,183000,15.805,15.805,15.5,15.7128,14160,0
NMS.US,5,20211007,195000,15.715,15.715,15.7,15.71,450,0
NMS.US,5,20211007,200000,15.72,15.72,15.72,15.72,200,0
NMS.US,5,20211007,201500,15.67,15.67,15.67,15.67,100,0
NMS.US,5,20211007,205500,15.68,15.68,15.68,15.68,200,0
NMS.US,5,20211007,215000,15.639,15.639,15.639,15.639,200,0
NMS.US,5,20211008,160000,15.62,15.62,15.62,15.62,200,0
NMS.US,5,20211008,160500,15.63,15.7,15.63,15.68,1200,0
NMS.US,5,20211008,171000,15.7,15.7,15.7,15.7,100,0
NMS.US,5,20211008,174500,15.7,15.7,15.7,15.7,2000,0
NMS.US,5,20211008,192000,15.6415,15.6415,15.6415,15.6415,1900,0
NMS.US,5,20211011,165500,15.72,15.72,15.72,15.72,200,0
NMS.US,5,20211011,191500,15.7,15.79,15.7,15.79,662,0
NMS.US,5,20211011,200000,15.6692,15.6692,15.6692,15.6692,512,0
NMS.US,5,20211012,153000,15.81,15.81,15.81,15.81,200,0
NMS.US,5,20211012,192500,15.69,15.69,15.69,15.69,355,0
NMS.US,5,20211012,211000,15.775,15.775,15.775,15.775,355,0
NMS.US,5,20211012,215000,15.85,15.85,15.85,15.85,108,0
NMS.US,5,20211013,214500,15.85,15.875,15.85,15.875,500,0
NMS.US,5,20211013,215000,15.8627,15.8627,15.8627,15.8627,1500,0
NMS.US,5,20211014,162500,15.828,15.828,15.828,15.828,355,0
NMS.US,5,20211014,205500,15.81,15.835,15.81,15.835,600,0
NMS.US,5,20211014,214000,15.805,15.805,15.805,15.805,200,0
NMS.US,5,20211014,215000,15.85,15.85,15.85,15.85,900,0
NMS.US,5,20211014,215500,15.85,15.85,15.85,15.85,130,0
NMS.US,5,20211015,153000,15.82,15.82,15.82,15.82,100,0
NMS.US,5,20211015,183500,16.0386,16.0386,16.0386,16.0386,833,0
NMS.US,5,20211015,191000,15.85,15.85,15.85,15.85,100,0
NMS.US,5,20211018,163500,15.8,15.85,15.8,15.85,4123,0
NMS.US,5,20211018,192500,15.85,15.85,15.85,15.85,500,0
NMS.US,5,20211019,153000,15.95,15.95,15.95,15.95,100,0
NMS.US,5,20211019,165000,15.89,15.89,15.89,15.89,1850,0
NMS.US,5,20211019,173500,15.7527,15.7527,15.7527,15.7527,1500,0
NMS.US,5,20211020,170500,15.88,15.88,15.88,15.88,392,0
NMS.US,5,20211020,171000,15.88,15.88,15.771,15.771,1000,0
NMS.US,5,20211020,175000,15.8392,15.88,15.75,15.8485,2700,0
NMS.US,5,20211020,194500,15.75,15.8125,15.58,15.8125,1000,0
NMS.US,5,20211020,195500,15.9515,15.9515,15.9515,15.9515,500,0
NMS.US,5,20211020,215000,15.8,15.8,15.8,15.8,100,0
NMS.US,5,20211021,154000,15.53,15.53,15.5,15.5,1426,0
NMS.US,5,20211021,190000,15.61,15.61,15.45,15.4689,6871,0
NMS.US,5,20211021,200500,15.45,15.45,15.44,15.44,600,0
NMS.US,5,20211021,201000,15.45,15.45,15.45,15.45,300,0
NMS.US,5,20211021,204000,15.425,15.425,15.425,15.425,100,0
NMS.US,5,20211021,205000,15.44,15.44,15.44,15.44,200,0
NMS.US,5,20211021,205500,15.4495,15.4495,15.4495,15.4495,300,0
NMS.US,5,20211021,211500,15.4,15.4,15.4,15.4,1000,0
NMS.US,5,20211021,212000,15.4,15.4,15.4,15.4,900,0
NMS.US,5,20211021,213000,15.4,15.4,15.4,15.4,300,0
NMS.US,5,20211021,215500,15.4,15.4,15.4,15.4,100,0
NMS.US,5,20211022,172000,15.33,15.33,15.33,15.33,108,0
NMS.US,5,20211022,172500,15.32,15.32,15.25,15.25,400,0
NMS.US,5,20211022,174000,15.25,15.25,15.25,15.25,275,0
NMS.US,5,20211022,174500,15.24,15.24,15.2,15.2,800,0
NMS.US,5,20211022,180500,15.29,15.29,15.29,15.29,800,0
NMS.US,5,20211022,194000,15.26,15.26,14.98,15.14,2518,0
NMS.US,5,20211025,170500,15.15,15.15,15.14,15.14,6376,0
NMS.US,5,20211025,171000,15.12,15.13,15.05,15.13,2440,0
