<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVTA.US,5,20210922,153000,31.57,31.95,31.43,31.94,124279,0
NVTA.US,5,20210922,153500,31.94,32.09,31.79,31.79,62438,0
NVTA.US,5,20210922,154000,31.845,32.045,31.78,32,6356,0
NVTA.US,5,20210922,154500,32.0084,32.12,31.97,32.02,20683,0
NVTA.US,5,20210922,155000,32.01,32.07,31.87,31.9896,13007,0
NVTA.US,5,20210922,155500,32,32.05,31.84,31.88,12267,0
NVTA.US,5,20210922,160000,31.89,31.96,31.57,31.65,14719,0
NVTA.US,5,20210922,160500,31.65,31.76,31.6,31.76,10736,0
NVTA.US,5,20210922,161000,31.7607,31.85,31.65,31.75,9049,0
NVTA.US,5,20210922,161500,31.76,31.935,31.701,31.93,9424,0
NVTA.US,5,20210922,162000,31.91,31.91,31.73,31.8,8781,0
NVTA.US,5,20210922,162500,31.8,31.81,31.68,31.681,4985,0
NVTA.US,5,20210922,163000,31.7,31.89,31.67,31.8773,12020,0
NVTA.US,5,20210922,163500,31.88,31.9699,31.87,31.96,11155,0
NVTA.US,5,20210922,164000,31.945,31.988,31.945,31.96,5970,0
NVTA.US,5,20210922,164500,31.96,31.99,31.865,31.98,6438,0
NVTA.US,5,20210922,165000,31.98,31.98,31.8901,31.9,5074,0
NVTA.US,5,20210922,165500,31.8928,31.95,31.87,31.87,8766,0
NVTA.US,5,20210922,170000,31.86,31.89,31.78,31.85,13277,0
NVTA.US,5,20210922,170500,31.85,32.015,31.85,31.96,20540,0
NVTA.US,5,20210922,171000,31.945,32.06,31.93,32.06,16634,0
NVTA.US,5,20210922,171500,32.0578,32.07,31.97,31.99,11197,0
NVTA.US,5,20210922,172000,31.98,32,31.945,31.98,6877,0
NVTA.US,5,20210922,172500,31.99,32.04,31.98,31.995,10181,0
NVTA.US,5,20210922,173000,31.9838,32.095,31.9838,32.095,18233,0
NVTA.US,5,20210922,173500,32.0999,32.12,32.03,32.09,15936,0
NVTA.US,5,20210922,174000,32.1,32.1,32.02,32.025,8874,0
NVTA.US,5,20210922,174500,32.02,32.06,31.98,31.9938,19560,0
NVTA.US,5,20210922,175000,32.01,32.11,32.01,32.035,20354,0
NVTA.US,5,20210922,175500,32.05,32.05,31.96,32,10327,0
NVTA.US,5,20210922,180000,31.99,32.02,31.95,32.015,10933,0
NVTA.US,5,20210922,180500,32.01,32.02,31.9512,31.9512,8088,0
NVTA.US,5,20210922,181000,31.95,31.99,31.95,31.97,8592,0
NVTA.US,5,20210922,181500,31.96,31.99,31.955,31.97,5262,0
NVTA.US,5,20210922,182000,31.98,31.995,31.945,31.95,14168,0
