<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVTSW.US,5,20211021,153000,2.51,2.51,2.51,2.51,565,0
NVTSW.US,5,20211021,153500,2.825,3,2.825,2.8825,2880,0
NVTSW.US,5,20211021,154000,2.875,2.9,2.875,2.9,600,0
NVTSW.US,5,20211021,154500,2.7,2.85,2.31,2.83,4101,0
NVTSW.US,5,20211021,155000,2.835,2.9,2.55,2.55,5816,0
NVTSW.US,5,20211021,155500,2.725,2.8,2.45,2.53,14964,0
NVTSW.US,5,20211021,160000,2.72,2.78,2.72,2.78,1331,0
NVTSW.US,5,20211021,160500,2.745,2.75,2.74,2.74,4917,0
NVTSW.US,5,20211021,161000,2.74,2.74,2.72,2.74,3190,0
NVTSW.US,5,20211021,161500,2.74,2.74,2.74,2.74,3000,0
NVTSW.US,5,20211021,162000,2.74,2.74,2.74,2.74,1600,0
NVTSW.US,5,20211021,162500,2.67,2.72,2.67,2.72,700,0
NVTSW.US,5,20211021,163000,2.74,2.74,2.7,2.7,3498,0
NVTSW.US,5,20211021,163500,2.705,2.705,2.7,2.7,1811,0
NVTSW.US,5,20211021,164000,2.7,2.735,2.7,2.735,6970,0
NVTSW.US,5,20211021,164500,2.73,2.75,2.67,2.67,16489,0
NVTSW.US,5,20211021,165000,2.65,2.705,2.62,2.7,11500,0
NVTSW.US,5,20211021,165500,2.67,2.7,2.67,2.7,2795,0
NVTSW.US,5,20211021,170000,2.7,2.78,2.62,2.7,11955,0
NVTSW.US,5,20211021,170500,2.7,2.7,2.7,2.7,100,0
NVTSW.US,5,20211021,171000,2.75,2.75,2.7,2.7,950,0
NVTSW.US,5,20211021,171500,2.7,2.79,2.7,2.71,10100,0
NVTSW.US,5,20211021,172000,2.78,2.78,2.7,2.73,1000,0
NVTSW.US,5,20211021,172500,2.7,2.7,2.7,2.7,1100,0
NVTSW.US,5,20211021,173500,2.7,2.7,2.62,2.64,1100,0
NVTSW.US,5,20211021,174500,2.64,2.74,2.64,2.7,11400,0
NVTSW.US,5,20211021,175000,2.75,2.75,2.75,2.75,639,0
NVTSW.US,5,20211021,180500,2.75,2.75,2.75,2.75,938,0
NVTSW.US,5,20211021,182500,2.7,2.7,2.7,2.7,100,0
NVTSW.US,5,20211021,183000,2.7,2.74,2.67,2.74,2600,0
NVTSW.US,5,20211021,183500,2.67,2.75,2.67,2.7,10254,0
