<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCX.US,5,20210922,153000,3.89,3.9402,3.86,3.86,10011,0
OCX.US,5,20210922,154000,3.89,3.89,3.89,3.89,900,0
OCX.US,5,20210922,154500,3.87,3.88,3.87,3.88,300,0
OCX.US,5,20210922,155000,3.875,3.9,3.8701,3.88,2454,0
OCX.US,5,20210922,155500,3.905,3.905,3.9,3.9,400,0
OCX.US,5,20210922,160000,3.89,3.89,3.81,3.84,8597,0
OCX.US,5,20210922,160500,3.84,3.87,3.84,3.87,400,0
OCX.US,5,20210922,161000,3.88,3.88,3.85,3.88,709,0
OCX.US,5,20210922,161500,3.89,3.89,3.88,3.88,200,0
OCX.US,5,20210922,162000,3.88,3.88,3.87,3.87,500,0
OCX.US,5,20210922,162500,3.86,3.86,3.855,3.855,778,0
OCX.US,5,20210922,163000,3.855,3.88,3.855,3.87,500,0
OCX.US,5,20210922,163500,3.88,3.88,3.88,3.88,1229,0
OCX.US,5,20210922,164000,3.89,3.89,3.87,3.87,366,0
OCX.US,5,20210922,164500,3.87,3.87,3.86,3.87,700,0
OCX.US,5,20210922,165000,3.87,3.87,3.85,3.85,2600,0
OCX.US,5,20210922,165500,3.84,3.84,3.835,3.84,350,0
OCX.US,5,20210922,170000,3.835,3.835,3.81,3.82,15356,0
OCX.US,5,20210922,170500,3.82,3.84,3.82,3.84,900,0
OCX.US,5,20210922,171000,3.8472,3.86,3.84,3.84,1053,0
OCX.US,5,20210922,171500,3.85,3.8599,3.84,3.85,1600,0
OCX.US,5,20210922,172000,3.83,3.83,3.83,3.83,500,0
OCX.US,5,20210922,172500,3.84,3.84,3.83,3.83,400,0
OCX.US,5,20210922,173000,3.84,3.86,3.84,3.86,7666,0
OCX.US,5,20210922,173500,3.85,3.85,3.85,3.85,100,0
OCX.US,5,20210922,174000,3.851,3.851,3.85,3.85,800,0
OCX.US,5,20210922,174500,3.85,3.85,3.85,3.85,100,0
OCX.US,5,20210922,175000,3.87,3.8761,3.85,3.87,4267,0
OCX.US,5,20210922,175500,3.88,3.88,3.87,3.88,1000,0
OCX.US,5,20210922,180000,3.88,3.88,3.88,3.88,100,0
OCX.US,5,20210922,181000,3.87,3.87,3.86,3.86,6980,0
OCX.US,5,20210922,181500,3.86,3.86,3.86,3.86,200,0
OCX.US,5,20210922,182000,3.8758,3.8758,3.86,3.86,429,0
OCX.US,5,20210922,182500,3.85,3.85,3.85,3.85,1133,0
OCX.US,5,20210922,183000,3.86,3.86,3.86,3.86,100,0
