<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONON.US,5,20210922,153000,39.4,39.8,37.82,39,79966,0
ONON.US,5,20210922,153500,39.12,39.48,38.8,38.8,23453,0
ONON.US,5,20210922,154000,38.6733,38.744,38.42,38.47,6722,0
ONON.US,5,20210922,154500,38.51,38.98,38.51,38.95,4178,0
ONON.US,5,20210922,155000,38.9489,39.36,38.59,39.34,16443,0
ONON.US,5,20210922,155500,39.0001,39.3281,38.93,38.9359,6619,0
ONON.US,5,20210922,160000,39.005,39.05,38.84,39,11234,0
ONON.US,5,20210922,160500,39,39,38.87,38.97,13810,0
ONON.US,5,20210922,161000,38.881,38.935,38.81,38.87,7805,0
ONON.US,5,20210922,161500,38.89,39,38.815,38.935,30823,0
ONON.US,5,20210922,162000,38.9569,39.05,38.91,39.025,9814,0
ONON.US,5,20210922,162500,39.025,39.06,38.62,38.62,24283,0
ONON.US,5,20210922,163000,38.5001,38.86,38.4,38.7502,11231,0
ONON.US,5,20210922,163500,38.8,38.85,38.46,38.46,9534,0
ONON.US,5,20210922,164000,38.39,38.6,38.39,38.6,15171,0
ONON.US,5,20210922,164500,38.6,38.77,38.6,38.705,6968,0
ONON.US,5,20210922,165000,38.6874,38.76,38.609,38.64,8173,0
ONON.US,5,20210922,165500,38.695,38.74,38.52,38.56,7536,0
ONON.US,5,20210922,170000,38.6,38.74,38.45,38.6,10956,0
ONON.US,5,20210922,170500,38.655,38.76,38.5,38.66,24813,0
ONON.US,5,20210922,171000,38.6,38.61,38.131,38.18,13405,0
ONON.US,5,20210922,171500,38.1455,38.24,37.5,37.8283,21880,0
ONON.US,5,20210922,172000,38.05,38.1999,37.815,37.87,3548,0
ONON.US,5,20210922,172500,38.1399,38.14,37.98,37.9899,2063,0
ONON.US,5,20210922,173000,37.9,38,37.32,37.32,13941,0
ONON.US,5,20210922,173500,37.328,37.376,37.07,37.18,9654,0
ONON.US,5,20210922,174000,37.095,37.13,36.58,36.885,36663,0
ONON.US,5,20210922,174500,36.885,37.3375,36.83,37.18,25755,0
ONON.US,5,20210922,175000,37.145,37.35,37.07,37.305,8596,0
ONON.US,5,20210922,175500,37.3333,37.4881,37.22,37.4881,5078,0
ONON.US,5,20210922,180000,37.44,37.51,37.3,37.47,6702,0
ONON.US,5,20210922,180500,37.4255,37.4255,37.14,37.181,5500,0
ONON.US,5,20210922,181000,37.4,37.45,36.98,37,39350,0
ONON.US,5,20210922,181500,37.04,37.055,36.5,36.605,21916,0
ONON.US,5,20210922,182000,36.6,36.7999,36.6,36.75,6400,0
ONON.US,5,20210922,182500,36.775,36.7899,36.71,36.76,13150,0
ONON.US,5,20210922,183000,36.71,36.83,36.71,36.83,13202,0
ONON.US,5,20210922,183500,36.79,36.84,36.61,36.6878,11033,0
ONON.US,5,20210922,184000,36.71,36.86,36.5,36.845,10364,0
ONON.US,5,20210922,184500,36.89,36.89,36.69,36.69,7662,0
ONON.US,5,20210922,185000,36.69,36.7004,36.6,36.6,5353,0
ONON.US,5,20210922,185500,36.585,36.585,36.4,36.4468,19240,0
ONON.US,5,20210922,190000,36.44,36.49,36.36,36.38,4272,0
ONON.US,5,20210922,190500,36.395,36.43,36.32,36.385,7959,0
ONON.US,5,20210922,191000,36.385,36.42,35.85,35.85,84724,0
ONON.US,5,20210922,191500,35.885,36.53,35.71,36.24,91984,0
ONON.US,5,20210922,192000,36.065,36.2,36,36.08,11585,0
ONON.US,5,20210922,192500,36.02,36.08,35.9,35.95,8134,0
ONON.US,5,20210922,193000,35.92,35.97,35.75,35.765,8050,0
ONON.US,5,20210922,193500,35.75,35.765,35.55,35.61,14846,0
ONON.US,5,20210922,194000,35.665,35.91,35.665,35.845,12647,0
ONON.US,5,20210922,194500,35.845,36.2,35.845,35.945,20796,0
ONON.US,5,20210922,195000,35.98,36.1599,35.9004,36.15,19757,0
ONON.US,5,20210922,195500,36.13,36.8,36.1199,36.365,20498,0
ONON.US,5,20210922,200000,36.34,36.42,35.9,36.01,11162,0
ONON.US,5,20210922,200500,36.1799,36.375,36,36.23,11251,0
ONON.US,5,20210922,201000,36.23,36.38,36.1268,36.325,9944,0
ONON.US,5,20210922,201500,36.3581,36.7,36.325,36.595,13516,0
ONON.US,5,20210922,202000,36.52,36.55,36.375,36.4,22148,0
ONON.US,5,20210922,202500,36.4,36.4,36.1,36.18,4776,0
ONON.US,5,20210922,203000,36.12,36.5605,36.12,36.52,9456,0
ONON.US,5,20210922,203500,36.49,36.605,36.335,36.515,7468,0
ONON.US,5,20210922,204000,36.5,37.045,36.21,37,41977,0
ONON.US,5,20210922,204500,37,37.02,37,37,32580,0
ONON.US,5,20210922,205000,37.005,37.04,36.595,36.875,15090,0
ONON.US,5,20210922,205500,36.645,36.85,36.48,36.72,11520,0
ONON.US,5,20210922,210000,36.7,36.7999,36.601,36.6526,4499,0
ONON.US,5,20210922,210500,36.61,36.84,36.3601,36.64,25350,0
ONON.US,5,20210922,211000,36.6604,37.01,36.6604,36.72,12304,0
ONON.US,5,20210922,211500,36.76,36.9879,36.75,36.865,9385,0
ONON.US,5,20210922,212000,36.855,37,36.8,36.8,14855,0
ONON.US,5,20210922,212500,36.76,36.76,36.25,36.35,13602,0
ONON.US,5,20210922,213000,36.34,36.455,36.06,36.31,22374,0
ONON.US,5,20210922,213500,36.22,36.27,36,36,13394,0
ONON.US,5,20210922,214000,36,36.19,35.82,36,24524,0
ONON.US,5,20210922,214500,36.07,36.2,35.885,36.2,20180,0
ONON.US,5,20210922,215000,36.23,36.275,35.8,35.92,18029,0
ONON.US,5,20210922,215500,35.82,36.05,35.75,35.75,92002,0
ONON.US,5,20210923,153000,36.55,36.69,36.3,36.4,33763,0
ONON.US,5,20210923,153500,36.3001,36.44,35.84,36.001,19576,0
ONON.US,5,20210923,154000,36.16,36.54,36.14,36.54,17370,0
ONON.US,5,20210923,154500,36.4544,36.79,36.4493,36.78,8589,0
ONON.US,5,20210923,155000,36.87,37,36.6633,36.87,14793,0
ONON.US,5,20210923,155500,36.8,37.23,36.704,37.05,118226,0
ONON.US,5,20210923,160000,37.21,37.21,36.9,36.9,6194,0
ONON.US,5,20210923,160500,36.79,37,36.7,36.92,4146,0
ONON.US,5,20210923,161000,36.755,37.0099,36.6,36.79,14410,0
ONON.US,5,20210923,161500,36.98,36.9999,36.8571,36.8571,1100,0
ONON.US,5,20210923,162000,37,37.18,36.91,37.1599,4198,0
ONON.US,5,20210923,162500,37.1575,37.22,36.92,37.1051,6207,0
ONON.US,5,20210923,163000,37.135,37.3899,37.1,37.21,13110,0
ONON.US,5,20210923,163500,37.3,37.3599,37.17,37.35,6106,0
ONON.US,5,20210923,164000,37.35,37.68,37.29,37.5233,14056,0
ONON.US,5,20210923,164500,37.6,37.6,37.26,37.401,4992,0
ONON.US,5,20210923,165000,37.39,37.39,36.94,37.3342,4534,0
ONON.US,5,20210923,165500,37.3,37.3,37.01,37.1598,3242,0
ONON.US,5,20210923,170000,37.19,37.32,37.19,37.315,1500,0
ONON.US,5,20210923,170500,37.25,37.49,37.25,37.4114,1240,0
ONON.US,5,20210923,171000,37.49,37.49,37.3,37.3,3231,0
ONON.US,5,20210923,171500,37.35,37.57,37.308,37.5,17411,0
ONON.US,5,20210923,172000,37.4,37.49,37.2,37.49,34559,0
ONON.US,5,20210923,172500,37.49,37.49,37.06,37.185,23734,0
ONON.US,5,20210923,173000,37.2,37.31,37.0601,37.26,1400,0
ONON.US,5,20210923,173500,37.3,37.35,37.28,37.35,5500,0
ONON.US,5,20210923,174000,37.35,37.4,37.22,37.22,3054,0
ONON.US,5,20210923,174500,37.13,37.13,37.01,37.01,1300,0
ONON.US,5,20210923,175000,37.085,37.14,37,37.08,3606,0
ONON.US,5,20210923,175500,37.065,37.07,36.8,36.82,9007,0
ONON.US,5,20210923,180000,36.82,37.06,36.8,36.98,6546,0
ONON.US,5,20210923,180500,36.99,37.035,36.89,36.895,4930,0
ONON.US,5,20210923,181000,36.9999,36.9999,36.89,36.9985,1027,0
ONON.US,5,20210923,181500,36.98,37.07,36.9,37,8369,0
ONON.US,5,20210923,182000,36.975,36.975,36.8,36.81,2560,0
ONON.US,5,20210923,182500,36.845,36.935,36.75,36.92,2904,0
ONON.US,5,20210923,183000,36.935,36.939,36.84,36.84,9846,0
ONON.US,5,20210923,183500,36.8501,36.95,36.84,36.84,8446,0
ONON.US,5,20210923,184500,36.82,36.9,36.77,36.77,500,0
ONON.US,5,20210923,185000,36.83,36.849,36.69,36.69,6048,0
ONON.US,5,20210923,185500,36.79,36.82,36.67,36.67,1160,0
ONON.US,5,20210923,190000,36.69,36.69,36.69,36.69,100,0
ONON.US,5,20210923,190500,36.82,36.82,36.66,36.66,1182,0
ONON.US,5,20210923,191000,36.78,36.78,36.78,36.78,150,0
ONON.US,5,20210923,191500,36.65,36.8,36.65,36.8,1001,0
ONON.US,5,20210923,192000,36.72,36.845,36.72,36.84,2100,0
ONON.US,5,20210923,192500,36.84,36.9,36.57,36.635,11757,0
ONON.US,5,20210923,193000,36.645,36.87,36.55,36.815,5957,0
ONON.US,5,20210923,194000,36.75,36.82,36.63,36.72,1600,0
ONON.US,5,20210923,194500,36.85,36.85,36.73,36.75,600,0
ONON.US,5,20210923,195000,36.8399,36.8399,36.7,36.7,2300,0
ONON.US,5,20210923,195500,36.75,36.775,36.75,36.775,200,0
ONON.US,5,20210923,200000,36.8,36.9,36.8,36.8,3385,0
ONON.US,5,20210923,200500,36.845,36.89,36.8,36.82,5798,0
ONON.US,5,20210923,201000,36.76,36.8,36.64,36.74,52010,0
ONON.US,5,20210923,201500,36.74,36.865,36.72,36.8,2242,0
ONON.US,5,20210923,202000,36.71,36.9,36.71,36.72,3223,0
ONON.US,5,20210923,202500,36.72,36.89,36.53,36.53,2280,0
ONON.US,5,20210923,203000,36.67,36.76,36.54,36.685,1400,0
ONON.US,5,20210923,203500,36.65,36.8,36.65,36.78,3238,0
