<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONTF.US,5,20210922,153000,20.78,20.78,20.7,20.7,3000,0
ONTF.US,5,20210922,153500,20.6,20.6,20.6,20.6,100,0
ONTF.US,5,20210922,154000,20.59,20.61,20.58,20.58,300,0
ONTF.US,5,20210922,154500,20.59,20.6239,20.58,20.6239,1400,0
ONTF.US,5,20210922,155000,20.67,20.67,20.67,20.67,100,0
ONTF.US,5,20210922,155500,20.63,20.63,20.5,20.5,1514,0
ONTF.US,5,20210922,160000,20.53,20.57,20.34,20.41,4780,0
ONTF.US,5,20210922,160500,20.415,20.47,20.4,20.42,2267,0
ONTF.US,5,20210922,161000,20.41,20.44,20.41,20.41,700,0
ONTF.US,5,20210922,161500,20.47,20.54,20.47,20.54,1000,0
ONTF.US,5,20210922,162000,20.56,20.62,20.56,20.62,1100,0
ONTF.US,5,20210922,162500,20.66,20.68,20.658,20.68,400,0
ONTF.US,5,20210922,163000,20.76,20.76,20.68,20.725,2305,0
ONTF.US,5,20210922,163500,20.75,20.8,20.75,20.8,450,0
ONTF.US,5,20210922,164000,20.7601,20.8,20.7601,20.8,440,0
ONTF.US,5,20210922,164500,20.81,20.87,20.81,20.87,300,0
ONTF.US,5,20210922,165000,20.84,20.84,20.76,20.76,1715,0
ONTF.US,5,20210922,165500,20.76,20.76,20.72,20.75,984,0
ONTF.US,5,20210922,170000,20.72,20.78,20.72,20.78,600,0
ONTF.US,5,20210922,170500,20.815,20.815,20.81,20.81,400,0
ONTF.US,5,20210922,171000,20.81,20.85,20.81,20.85,400,0
ONTF.US,5,20210922,171500,20.86,20.9,20.81,20.81,1930,0
ONTF.US,5,20210922,172000,20.83,20.83,20.79,20.79,1076,0
ONTF.US,5,20210922,172500,20.83,20.8399,20.8,20.8399,600,0
ONTF.US,5,20210922,173000,20.86,20.86,20.7,20.8,16765,0
ONTF.US,5,20210922,173500,20.82,20.82,20.76,20.76,1000,0
ONTF.US,5,20210922,174000,20.75,20.81,20.75,20.81,647,0
ONTF.US,5,20210922,174500,20.8,20.81,20.78,20.78,1000,0
ONTF.US,5,20210922,175000,20.83,20.865,20.8,20.8,1412,0
ONTF.US,5,20210922,175500,20.81,20.81,20.81,20.81,500,0
ONTF.US,5,20210922,180000,20.78,20.8,20.77,20.8,1201,0
ONTF.US,5,20210922,180500,20.79,20.79,20.76,20.76,1696,0
ONTF.US,5,20210922,181000,20.78,20.78,20.75,20.77,511,0
ONTF.US,5,20210922,181500,20.76,20.77,20.725,20.725,643,0
ONTF.US,5,20210922,182000,20.78,20.8,20.76,20.77,599,0
ONTF.US,5,20210922,182500,20.735,20.735,20.735,20.735,111,0
ONTF.US,5,20210922,183000,20.74,20.74,20.69,20.71,660,0
ONTF.US,5,20210922,183500,20.73,20.75,20.73,20.73,400,0
ONTF.US,5,20210922,184000,20.71,20.71,20.66,20.71,1153,0
ONTF.US,5,20210922,184500,20.73,20.75,20.67,20.67,1017,0
ONTF.US,5,20210922,185000,20.68,20.68,20.64,20.68,800,0
ONTF.US,5,20210922,185500,20.64,20.67,20.6348,20.64,878,0
ONTF.US,5,20210922,190000,20.63,20.63,20.625,20.625,200,0
ONTF.US,5,20210922,190500,20.615,20.615,20.525,20.525,906,0
ONTF.US,5,20210922,191000,20.53,20.53,20.48,20.48,978,0
ONTF.US,5,20210922,191500,20.47,20.5,20.47,20.49,3200,0
ONTF.US,5,20210922,192000,20.485,20.485,20.43,20.43,2584,0
ONTF.US,5,20210922,192500,20.46,20.46,20.37,20.38,3753,0
ONTF.US,5,20210922,193000,20.36,20.41,20.36,20.38,3315,0
ONTF.US,5,20210922,193500,20.4,20.405,20.38,20.38,900,0
ONTF.US,5,20210922,194000,20.41,20.42,20.3901,20.41,2399,0
ONTF.US,5,20210922,194500,20.4,20.42,20.37,20.405,3685,0
ONTF.US,5,20210922,195000,20.39,20.4,20.35,20.4,1140,0
ONTF.US,5,20210922,195500,20.395,20.415,20.39,20.415,1410,0
ONTF.US,5,20210922,200000,20.38,20.5,20.37,20.5,2633,0
ONTF.US,5,20210922,200500,20.52,20.52,20.45,20.455,4694,0
ONTF.US,5,20210922,201000,20.46,20.53,20.46,20.51,3500,0
ONTF.US,5,20210922,201500,20.52,20.53,20.5189,20.52,1288,0
ONTF.US,5,20210922,202000,20.52,20.54,20.46,20.49,5100,0
ONTF.US,5,20210922,202500,20.54,20.59,20.53,20.58,1610,0
ONTF.US,5,20210922,203000,20.62,20.63,20.53,20.5887,2926,0
ONTF.US,5,20210922,203500,20.56,20.61,20.51,20.545,2701,0
ONTF.US,5,20210922,204000,20.49,20.58,20.47,20.49,2710,0
ONTF.US,5,20210922,204500,20.49,20.55,20.48,20.495,6700,0
ONTF.US,5,20210922,205000,20.47,20.57,20.47,20.56,5128,0
ONTF.US,5,20210922,205500,20.575,20.575,20.49,20.55,2119,0
ONTF.US,5,20210922,210000,20.52,20.59,20.52,20.58,2973,0
ONTF.US,5,20210922,210500,20.58,20.62,20.54,20.62,1933,0
ONTF.US,5,20210922,211000,20.615,20.68,20.615,20.66,2000,0
ONTF.US,5,20210922,211500,20.66,20.68,20.64,20.68,2806,0
ONTF.US,5,20210922,212000,20.69,20.69,20.59,20.625,12356,0
ONTF.US,5,20210922,212500,20.6,20.62,20.56,20.61,5514,0
ONTF.US,5,20210922,213000,20.62,20.62,20.56,20.6,2772,0
ONTF.US,5,20210922,213500,20.6,20.64,20.59,20.62,5479,0
