<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PENN.US,5,20210922,153000,70.73,71.7,70.66,71.385,117940,0
PENN.US,5,20210922,153500,71.38,72.2,71.12,72.02,99741,0
PENN.US,5,20210922,154000,72.11,72.29,71.61,71.74,73374,0
PENN.US,5,20210922,154500,71.75,72.33,71.61,72.24,70172,0
PENN.US,5,20210922,155000,72.18,72.6899,72.1,72.36,41881,0
PENN.US,5,20210922,155500,72.44,72.89,72.3301,72.58,31333,0
PENN.US,5,20210922,160000,72.66,72.6794,72.28,72.49,28071,0
PENN.US,5,20210922,160500,72.48,72.86,72.39,72.85,33397,0
PENN.US,5,20210922,161000,72.87,73.05,72.75,73.0412,42201,0
PENN.US,5,20210922,161500,73.05,73.09,72.83,72.8975,24940,0
PENN.US,5,20210922,162000,72.87,72.95,72.64,72.82,27311,0
PENN.US,5,20210922,162500,72.83,72.915,72.67,72.76,23935,0
PENN.US,5,20210922,163000,72.82,73.37,72.82,73.28,46653,0
PENN.US,5,20210922,163500,73.24,73.52,73.1301,73.395,54524,0
PENN.US,5,20210922,164000,73.39,73.62,73.27,73.36,40378,0
PENN.US,5,20210922,164500,73.35,73.47,73.205,73.205,26041,0
PENN.US,5,20210922,165000,73.23,73.24,73.1,73.13,29582,0
PENN.US,5,20210922,165500,73.16,73.425,73.1263,73.28,36695,0
PENN.US,5,20210922,170000,73.285,73.392,72.96,73.08,18281,0
PENN.US,5,20210922,170500,73.12,73.28,73.04,73.1266,16419,0
PENN.US,5,20210922,171000,73.145,73.45,73.145,73.405,15663,0
PENN.US,5,20210922,171500,73.395,73.43,73.25,73.34,53446,0
PENN.US,5,20210922,172000,73.31,73.42,73.1,73.17,41880,0
PENN.US,5,20210922,172500,73.23,73.45,73.22,73.45,17881,0
PENN.US,5,20210922,173000,73.44,73.71,73.4,73.685,28903,0
PENN.US,5,20210922,173500,73.6958,73.79,73.6557,73.7591,53327,0
PENN.US,5,20210922,174000,73.71,73.71,73.47,73.47,23255,0
PENN.US,5,20210922,174500,73.46,73.55,73.31,73.51,19671,0
PENN.US,5,20210922,175000,73.55,73.8933,73.55,73.61,29360,0
PENN.US,5,20210922,175500,73.68,73.7081,73.6132,73.6994,7479,0
PENN.US,5,20210922,180000,73.67,73.75,73.29,73.46,21762,0
PENN.US,5,20210922,180500,73.43,73.47,73.31,73.42,10721,0
PENN.US,5,20210922,181000,73.43,73.44,73.32,73.34,11702,0
PENN.US,5,20210922,181500,73.36,73.38,73.19,73.21,11488,0
PENN.US,5,20210922,182000,73.25,73.4083,73.25,73.4,10977,0
PENN.US,5,20210922,182500,73.37,73.425,73.27,73.2808,13167,0
PENN.US,5,20210922,183000,73.28,73.56,73.27,73.55,20175,0
PENN.US,5,20210922,183500,73.55,73.57,73.43,73.45,19211,0
PENN.US,5,20210922,184000,73.48,73.48,73.3,73.35,6195,0
PENN.US,5,20210922,184500,73.37,73.47,73.35,73.4,11869,0
PENN.US,5,20210922,185000,73.4,73.47,73.29,73.3442,18258,0
PENN.US,5,20210922,185500,73.33,73.47,73.32,73.43,18556,0
PENN.US,5,20210922,190000,73.43,73.45,73.34,73.41,10900,0
PENN.US,5,20210922,190500,73.4,73.53,73.4,73.46,15835,0
PENN.US,5,20210922,191000,73.4565,73.49,73.24,73.26,24196,0
PENN.US,5,20210922,191500,73.28,73.31,73.19,73.2,33854,0
PENN.US,5,20210922,192000,73.22,73.26,73.1504,73.18,25198,0
PENN.US,5,20210922,192500,73.18,73.4,73.18,73.32,28010,0
PENN.US,5,20210922,193000,73.31,73.43,73.3,73.39,23149,0
PENN.US,5,20210922,193500,73.37,73.409,73.23,73.37,23129,0
PENN.US,5,20210922,194000,73.39,73.43,73.18,73.24,27879,0
PENN.US,5,20210922,194500,73.24,73.34,73.22,73.27,18163,0
PENN.US,5,20210922,195000,73.26,73.34,73.185,73.245,35754,0
PENN.US,5,20210922,195500,73.23,73.261,73.13,73.25,22916,0
PENN.US,5,20210922,200000,73.2,73.67,72.95,73.65,37769,0
PENN.US,5,20210922,200500,73.66,73.9394,73.53,73.8627,49495,0
PENN.US,5,20210922,201000,73.8001,74.25,73.8001,74.2429,61701,0
PENN.US,5,20210922,201500,74.21,74.5,74.21,74.3409,83211,0
PENN.US,5,20210922,202000,74.3165,74.46,74.14,74.43,40143,0
PENN.US,5,20210922,202500,74.4,74.7,74.37,74.64,58658,0
PENN.US,5,20210922,203000,74.68,74.7597,74.4841,74.64,57338,0
PENN.US,5,20210922,203500,74.62,74.82,74.37,74.46,33562,0
PENN.US,5,20210922,204000,74.44,74.53,74.19,74.39,38924,0
PENN.US,5,20210922,204500,74.34,74.41,73.98,73.99,57865,0
PENN.US,5,20210922,205000,73.92,74.2799,73.8,74.11,68945,0
PENN.US,5,20210922,205500,74.11,74.18,73.948,74.12,30736,0
PENN.US,5,20210922,210000,74.1662,74.1662,73.85,73.9522,48302,0
PENN.US,5,20210922,210500,73.94,74.24,73.85,74.24,26052,0
PENN.US,5,20210922,211000,74.2,74.42,74.13,74.29,43739,0
PENN.US,5,20210922,211500,74.28,74.43,74.255,74.425,48470,0
PENN.US,5,20210922,212000,74.45,74.55,74.315,74.37,42102,0
PENN.US,5,20210922,212500,74.38,74.455,74.215,74.4,39189,0
PENN.US,5,20210922,213000,74.4,74.46,74.21,74.445,45357,0
PENN.US,5,20210922,213500,74.43,74.53,74.34,74.43,48157,0
PENN.US,5,20210922,214000,74.421,74.48,74.17,74.25,128889,0
PENN.US,5,20210922,214500,74.27,74.36,74.07,74.0931,62958,0
PENN.US,5,20210922,215000,74.05,74.05,73.82,73.82,139353,0
PENN.US,5,20210922,215500,73.83,73.83,73.64,73.74,245699,0
PENN.US,5,20210923,153000,74.37,74.77,74,74.1851,77986,0
PENN.US,5,20210923,153500,74.145,74.87,74.145,74.87,92923,0
PENN.US,5,20210923,154000,74.74,75.32,74.4,75.09,54651,0
PENN.US,5,20210923,154500,75.13,75.59,75.1,75.4261,105566,0
PENN.US,5,20210923,155000,75.37,75.45,75.0208,75.12,38432,0
PENN.US,5,20210923,155500,75.18,75.99,75.16,75.75,78274,0
PENN.US,5,20210923,160000,75.83,76.0618,75.63,75.88,41184,0
PENN.US,5,20210923,160500,75.99,76.262,75.7744,75.94,54109,0
PENN.US,5,20210923,161000,75.96,76.16,75.85,76.12,44777,0
PENN.US,5,20210923,161500,76.18,76.24,75.9,75.9101,47502,0
PENN.US,5,20210923,162000,75.935,76.13,75.77,76.13,35781,0
PENN.US,5,20210923,162500,76.1,76.14,75.64,75.8,33913,0
PENN.US,5,20210923,163000,75.86,75.94,75.67,75.7106,28773,0
