<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRPB.US,5,20210922,153000,9.81,9.82,9.81,9.82,700,0
PRPB.US,5,20210922,153500,9.81,9.81,9.81,9.81,4354,0
PRPB.US,5,20210922,155000,9.82,9.82,9.82,9.82,150,0
PRPB.US,5,20210922,160000,9.82,9.82,9.81,9.82,1300,0
PRPB.US,5,20210922,160500,9.81,9.8135,9.81,9.8135,800,0
PRPB.US,5,20210922,161000,9.82,9.82,9.82,9.82,200,0
PRPB.US,5,20210922,161500,9.82,9.82,9.82,9.82,100,0
PRPB.US,5,20210922,162000,9.81,9.81,9.81,9.81,300,0
PRPB.US,5,20210922,162500,9.81,9.81,9.81,9.81,500,0
PRPB.US,5,20210922,163000,9.81,9.81,9.81,9.81,500,0
PRPB.US,5,20210922,163500,9.81,9.815,9.81,9.81,1000,0
PRPB.US,5,20210922,164000,9.81,9.82,9.81,9.81,1500,0
PRPB.US,5,20210922,164500,9.81,9.81,9.81,9.81,500,0
PRPB.US,5,20210922,165000,9.81,9.81,9.81,9.81,400,0
PRPB.US,5,20210922,165500,9.81,9.81,9.81,9.81,400,0
PRPB.US,5,20210922,170000,9.81,9.81,9.81,9.81,400,0
PRPB.US,5,20210922,170500,9.81,9.81,9.81,9.81,300,0
PRPB.US,5,20210922,171000,9.81,9.81,9.81,9.81,500,0
PRPB.US,5,20210922,171500,9.81,9.81,9.81,9.81,400,0
PRPB.US,5,20210922,172000,9.81,9.81,9.81,9.81,400,0
PRPB.US,5,20210922,172500,9.81,9.81,9.81,9.81,600,0
PRPB.US,5,20210922,173000,9.81,9.82,9.81,9.81,1228,0
PRPB.US,5,20210922,173500,9.81,9.815,9.81,9.81,400,0
PRPB.US,5,20210922,174000,9.81,9.81,9.81,9.81,400,0
PRPB.US,5,20210922,174500,9.81,9.815,9.81,9.815,400,0
PRPB.US,5,20210922,175000,9.815,9.82,9.81,9.815,500,0
PRPB.US,5,20210922,175500,9.81,9.825,9.81,9.82,36373,0
PRPB.US,5,20210922,184000,9.81,9.81,9.81,9.81,150,0
PRPB.US,5,20210922,185000,9.81,9.82,9.81,9.82,35567,0
PRPB.US,5,20210922,185500,9.82,9.82,9.82,9.82,100,0
PRPB.US,5,20210922,190000,9.82,9.82,9.82,9.82,100,0
PRPB.US,5,20210922,190500,9.82,9.82,9.82,9.82,300,0
PRPB.US,5,20210922,191000,9.82,9.82,9.82,9.82,100,0
PRPB.US,5,20210922,191500,9.82,9.82,9.82,9.82,100,0
PRPB.US,5,20210922,193000,9.82,9.82,9.82,9.82,300,0
PRPB.US,5,20210922,193500,9.81,9.815,9.81,9.815,1976,0
PRPB.US,5,20210922,194000,9.82,9.82,9.82,9.82,100,0
PRPB.US,5,20210922,205500,9.82,9.82,9.82,9.82,100,0
PRPB.US,5,20210922,213000,9.815,9.815,9.811,9.811,200,0
PRPB.US,5,20210922,215500,9.815,9.82,9.81,9.82,8840,0
PRPB.US,5,20210923,153000,9.82,9.82,9.81,9.82,4100,0
PRPB.US,5,20210923,154500,9.82,9.82,9.82,9.82,1100,0
PRPB.US,5,20210923,160000,9.81,9.82,9.81,9.82,14000,0
PRPB.US,5,20210923,162500,9.83,9.83,9.82,9.82,260,0
PRPB.US,5,20210923,171000,9.8201,9.8201,9.8201,9.8201,100,0
PRPB.US,5,20210923,175000,9.82,9.83,9.82,9.83,618,0
PRPB.US,5,20210923,185000,9.82,9.83,9.82,9.825,3675,0
PRPB.US,5,20210923,191500,9.825,9.825,9.825,9.825,100,0
PRPB.US,5,20210923,195000,9.82,9.83,9.82,9.83,8021,0
PRPB.US,5,20210923,215500,9.825,9.83,9.82,9.82,1022,0
PRPB.US,5,20210924,153000,9.83,9.83,9.83,9.83,100,0
PRPB.US,5,20210924,153500,9.83,9.83,9.83,9.83,600,0
PRPB.US,5,20210924,155500,9.82,9.82,9.82,9.82,200,0
PRPB.US,5,20210924,162000,9.825,9.83,9.825,9.83,4000,0
PRPB.US,5,20210924,162500,9.823,9.83,9.823,9.83,1100,0
PRPB.US,5,20210924,164000,9.82,9.83,9.82,9.83,200,0
PRPB.US,5,20210924,165000,9.82,9.83,9.82,9.83,986,0
PRPB.US,5,20210924,170000,9.83,9.83,9.83,9.83,100,0
PRPB.US,5,20210924,173000,9.825,9.83,9.825,9.83,6400,0
