<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSO.US,5,20210922,153000,9.92,9.92,9.88,9.88,15072,0
PSO.US,5,20210922,153500,9.895,9.93,9.89,9.93,4045,0
PSO.US,5,20210922,154000,9.93,9.945,9.925,9.945,4437,0
PSO.US,5,20210922,154500,9.94,9.94,9.94,9.94,100,0
PSO.US,5,20210922,155000,9.955,9.965,9.955,9.96,1163,0
PSO.US,5,20210922,155500,9.96,9.97,9.96,9.965,1400,0
PSO.US,5,20210922,160000,9.95,9.95,9.95,9.95,395,0
PSO.US,5,20210922,160500,9.94,9.95,9.935,9.95,558,0
PSO.US,5,20210922,161000,9.94,9.96,9.94,9.96,676,0
PSO.US,5,20210922,161500,9.96,9.98,9.96,9.965,6498,0
PSO.US,5,20210922,162000,9.96,9.96,9.94,9.94,1000,0
PSO.US,5,20210922,162500,9.95,9.96,9.94,9.94,2600,0
PSO.US,5,20210922,163000,9.94,9.95,9.94,9.95,1000,0
PSO.US,5,20210922,163500,9.945,9.945,9.94,9.94,1200,0
PSO.US,5,20210922,164000,9.93,9.935,9.92,9.92,1800,0
PSO.US,5,20210922,164500,9.93,9.94,9.93,9.94,1100,0
PSO.US,5,20210922,165000,9.94,9.94,9.925,9.925,1731,0
PSO.US,5,20210922,165500,9.93,9.95,9.93,9.95,1870,0
PSO.US,5,20210922,170000,9.96,9.96,9.96,9.96,350,0
PSO.US,5,20210922,170500,9.955,9.955,9.93,9.93,5896,0
PSO.US,5,20210922,171000,9.94,9.94,9.92,9.92,1234,0
PSO.US,5,20210922,171500,9.92,9.93,9.92,9.92,2571,0
PSO.US,5,20210922,172000,9.925,9.925,9.91,9.91,1606,0
PSO.US,5,20210922,172500,9.915,9.93,9.91,9.91,8172,0
PSO.US,5,20210922,173000,9.9,9.93,9.9,9.91,18666,0
PSO.US,5,20210922,173500,9.9,9.93,9.9,9.93,6000,0
PSO.US,5,20210922,175000,9.94,9.95,9.94,9.94,3645,0
PSO.US,5,20210922,175500,9.95,9.95,9.95,9.95,300,0
PSO.US,5,20210922,180500,9.945,9.945,9.945,9.945,209,0
PSO.US,5,20210922,181500,9.945,9.945,9.945,9.945,200,0
PSO.US,5,20210922,182000,9.95,9.95,9.95,9.95,266,0
PSO.US,5,20210922,182500,9.95,9.95,9.945,9.95,3297,0
PSO.US,5,20210922,183000,9.945,9.95,9.945,9.95,300,0
PSO.US,5,20210922,183500,9.945,9.945,9.94,9.94,300,0
PSO.US,5,20210922,184000,9.945,9.945,9.945,9.945,100,0
PSO.US,5,20210922,184500,9.945,9.945,9.94,9.945,4827,0
PSO.US,5,20210922,185000,9.95,9.95,9.95,9.95,100,0
PSO.US,5,20210922,185500,9.945,9.95,9.945,9.95,1915,0
PSO.US,5,20210922,190000,9.94,9.94,9.935,9.935,1277,0
PSO.US,5,20210922,190500,9.94,9.94,9.93,9.9387,1388,0
PSO.US,5,20210922,191000,9.93,9.93,9.92,9.925,2043,0
PSO.US,5,20210922,191500,9.925,9.925,9.925,9.925,200,0
PSO.US,5,20210922,193000,9.925,9.93,9.925,9.93,498,0
PSO.US,5,20210922,193500,9.925,9.9291,9.925,9.9291,721,0
PSO.US,5,20210922,194000,9.93,9.93,9.93,9.93,100,0
PSO.US,5,20210922,195000,9.92,9.93,9.92,9.93,988,0
PSO.US,5,20210922,195500,9.92,9.925,9.92,9.925,200,0
PSO.US,5,20210922,200000,9.92,9.95,9.91,9.95,1516,0
PSO.US,5,20210922,200500,9.94,9.94,9.94,9.94,100,0
PSO.US,5,20210922,201000,9.95,9.965,9.95,9.965,748,0
PSO.US,5,20210922,201500,9.97,9.98,9.965,9.965,2650,0
PSO.US,5,20210922,202000,9.96,9.96,9.945,9.95,3106,0
PSO.US,5,20210922,203500,9.945,9.945,9.925,9.925,1676,0
