<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAND.US,5,20210922,155500,17,17,17,17,400,0
RAND.US,5,20210922,165000,17,17,17,17,698,0
RAND.US,5,20210922,185500,16.9383,16.9383,16.9383,16.9383,302,0
RAND.US,5,20210922,201000,16.8,16.8,16.8,16.8,200,0
RAND.US,5,20210922,212500,16.9,17.48,16.8997,17.48,1119,0
RAND.US,5,20210922,213500,17.63,17.63,17.63,17.63,100,0
RAND.US,5,20210923,153000,17.5634,17.5634,17,17,200,0
RAND.US,5,20210923,154500,17.15,17.15,17.15,17.15,200,0
RAND.US,5,20210923,160000,17,17,16.9608,16.9608,200,0
RAND.US,5,20210923,203500,16.75,16.75,16.75,16.75,100,0
RAND.US,5,20210923,214500,16.95,16.95,16.93,16.93,300,0
RAND.US,5,20210924,190000,16.75,16.75,16.75,16.75,200,0
RAND.US,5,20210924,205500,16.7,16.7,16.65,16.65,613,0
RAND.US,5,20210927,185000,16.75,16.75,16.75,16.75,138,0
RAND.US,5,20210927,185500,16.75,16.75,16.75,16.75,567,0
RAND.US,5,20210927,200500,16.68,16.68,16.65,16.65,404,0
RAND.US,5,20210927,215500,16.82,16.82,16.82,16.82,100,0
RAND.US,5,20210928,162000,16.65,16.65,16.65,16.65,654,0
RAND.US,5,20210929,164000,16.65,16.65,16.6,16.6,980,0
RAND.US,5,20210929,172000,16.23,16.23,16.23,16.23,100,0
RAND.US,5,20210929,175500,16.08,16.08,16.08,16.08,200,0
RAND.US,5,20210929,181000,16.4598,16.4598,16.4598,16.4598,300,0
RAND.US,5,20210929,184500,16.09,16.09,16.09,16.09,100,0
RAND.US,5,20210929,194000,16.12,16.12,16.12,16.12,100,0
RAND.US,5,20210929,212000,16.11,16.11,16.11,16.11,100,0
RAND.US,5,20210930,161000,16.2878,16.2878,16.2878,16.2878,100,0
RAND.US,5,20210930,183000,16.13,16.13,16.13,16.13,100,0
RAND.US,5,20210930,193000,16.11,16.11,16.11,16.11,100,0
RAND.US,5,20210930,203500,16.08,16.08,16.08,16.08,100,0
RAND.US,5,20210930,213500,16.13,16.13,16.13,16.13,100,0
RAND.US,5,20211001,154000,16.4779,16.4779,16.4779,16.4779,1000,0
RAND.US,5,20211001,203500,15.9205,15.9205,15.9205,15.9205,100,0
RAND.US,5,20211004,154000,15.93,15.93,15.01,15.01,507,0
RAND.US,5,20211004,164500,15.7944,15.9,15.7944,15.8999,705,0
RAND.US,5,20211004,182000,15.665,15.665,15.665,15.665,144,0
RAND.US,5,20211006,192500,15.1613,15.1613,15.1613,15.1613,100,0
RAND.US,5,20211006,193000,15.515,15.515,15.1237,15.4768,300,0
RAND.US,5,20211007,153000,15.35,15.35,15.35,15.35,793,0
RAND.US,5,20211007,170500,15.0401,15.0401,15.0401,15.0401,500,0
RAND.US,5,20211007,210000,15.5001,15.5001,15.5001,15.5001,100,0
RAND.US,5,20211008,153000,15.58,15.58,15.58,15.58,100,0
RAND.US,5,20211008,165500,15.98,15.98,15.98,15.98,100,0
RAND.US,5,20211011,205000,15.1829,15.1829,15.1829,15.1829,186,0
RAND.US,5,20211013,212500,15.52,15.52,15.5101,15.5101,539,0
RAND.US,5,20211015,215000,15.75,15.75,15.75,15.75,100,0
RAND.US,5,20211015,215500,15.75,15.75,15.75,15.75,100,0
RAND.US,5,20211018,153000,15.75,15.75,15.699,15.702,796,0
RAND.US,5,20211018,215500,15.61,15.61,15.61,15.61,100,0
RAND.US,5,20211019,153500,15.6,15.6,15.6,15.6,157,0
RAND.US,5,20211019,154000,15.58,15.58,15.58,15.58,200,0
RAND.US,5,20211019,171000,15.71,15.74,15.71,15.74,500,0
RAND.US,5,20211020,160500,15.36,15.36,15.36,15.36,100,0
RAND.US,5,20211020,214000,15.5001,15.625,15.5001,15.625,500,0
RAND.US,5,20211022,182500,15.5,15.5,15.5,15.5,100,0
RAND.US,5,20211022,185500,15.5,15.5,15.5,15.5,600,0
RAND.US,5,20211022,215000,15.5,15.5,15.5,15.5,150,0
RAND.US,5,20211026,211500,15.75,15.75,15.75,15.75,332,0
RAND.US,5,20211027,161500,15.29,15.29,15.29,15.29,400,0
RAND.US,5,20211027,162500,15.52,15.52,15.52,15.52,500,0
RAND.US,5,20211027,163000,15.69,15.69,15.69,15.69,400,0
RAND.US,5,20211027,214500,15.355,15.4,15.25,15.25,740,0
RAND.US,5,20211028,214500,15.31,15.31,15.31,15.31,100,0
RAND.US,5,20211029,153000,15.25,15.25,15.25,15.25,2373,0
RAND.US,5,20211029,153500,15.2498,15.2498,15.2498,15.2498,452,0
RAND.US,5,20211029,155500,15.25,15.25,15.2499,15.2499,200,0
RAND.US,5,20211029,161000,15.21,15.355,15.21,15.21,2048,0
