<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REE.US,5,20210922,153000,5.4,5.53,5.4,5.53,11476,0
REE.US,5,20210922,153500,5.5499,5.66,5.52,5.605,79412,0
REE.US,5,20210922,154000,5.61,5.68,5.5259,5.5259,41217,0
REE.US,5,20210922,154500,5.57,5.592,5.51,5.51,23324,0
REE.US,5,20210922,155000,5.52,5.54,5.46,5.538,39613,0
REE.US,5,20210922,155500,5.535,5.55,5.515,5.5464,6757,0
REE.US,5,20210922,160000,5.55,5.55,5.45,5.45,12649,0
REE.US,5,20210922,160500,5.45,5.5,5.45,5.4519,7208,0
REE.US,5,20210922,161000,5.4726,5.4994,5.41,5.4994,13110,0
REE.US,5,20210922,161500,5.48,5.48,5.46,5.46,1500,0
REE.US,5,20210922,162000,5.46,5.46,5.4341,5.4341,2200,0
REE.US,5,20210922,162500,5.43,5.4685,5.43,5.4642,10620,0
REE.US,5,20210922,163000,5.45,5.5,5.44,5.4743,10293,0
REE.US,5,20210922,163500,5.4805,5.4805,5.445,5.4589,14650,0
REE.US,5,20210922,164000,5.4564,5.4564,5.44,5.4488,4998,0
REE.US,5,20210922,164500,5.4487,5.48,5.4401,5.48,5488,0
REE.US,5,20210922,165000,5.47,5.5,5.47,5.49,20658,0
REE.US,5,20210922,165500,5.48,5.49,5.47,5.4729,7350,0
REE.US,5,20210922,170000,5.49,5.49,5.44,5.44,9000,0
REE.US,5,20210922,170500,5.42,5.43,5.41,5.41,12477,0
REE.US,5,20210922,171000,5.4197,5.43,5.41,5.43,18942,0
REE.US,5,20210922,171500,5.43,5.4319,5.42,5.42,2300,0
REE.US,5,20210922,172000,5.4201,5.44,5.4,5.43,9862,0
REE.US,5,20210922,172500,5.425,5.43,5.41,5.42,7169,0
REE.US,5,20210922,173000,5.42,5.42,5.41,5.415,6408,0
REE.US,5,20210922,173500,5.4,5.46,5.4,5.445,15506,0
REE.US,5,20210922,174000,5.44,5.48,5.44,5.445,13926,0
REE.US,5,20210922,174500,5.45,5.46,5.445,5.46,7342,0
REE.US,5,20210922,175000,5.455,5.47,5.4501,5.47,7956,0
REE.US,5,20210922,175500,5.46,5.49,5.46,5.485,11776,0
REE.US,5,20210922,180000,5.485,5.49,5.48,5.49,6143,0
REE.US,5,20210922,180500,5.48,5.49,5.48,5.485,10100,0
REE.US,5,20210922,181000,5.48,5.52,5.48,5.505,9091,0
REE.US,5,20210922,181500,5.5173,5.53,5.51,5.52,10031,0
REE.US,5,20210922,182000,5.5131,5.53,5.5131,5.53,21342,0
REE.US,5,20210922,182500,5.52,5.53,5.52,5.5201,4621,0
REE.US,5,20210922,183000,5.525,5.53,5.49,5.525,18565,0
REE.US,5,20210922,183500,5.525,5.53,5.51,5.51,12305,0
REE.US,5,20210922,184000,5.53,5.53,5.5178,5.525,3023,0
REE.US,5,20210922,184500,5.52,5.53,5.51,5.51,3900,0
REE.US,5,20210922,185000,5.52,5.52,5.49,5.51,5399,0
REE.US,5,20210922,185500,5.51,5.53,5.49,5.505,2600,0
REE.US,5,20210922,190000,5.5128,5.52,5.49,5.505,7751,0
REE.US,5,20210922,190500,5.505,5.55,5.505,5.545,24423,0
REE.US,5,20210922,191000,5.545,5.55,5.54,5.545,6345,0
REE.US,5,20210922,191500,5.55,5.55,5.515,5.515,31972,0
REE.US,5,20210922,192000,5.51,5.53,5.5,5.5,20489,0
REE.US,5,20210922,192500,5.5,5.51,5.5,5.51,19089,0
REE.US,5,20210922,193000,5.53,5.54,5.5,5.51,2550,0
REE.US,5,20210922,193500,5.5399,5.54,5.51,5.5329,2005,0
REE.US,5,20210922,194000,5.5252,5.5252,5.5,5.5,1859,0
REE.US,5,20210922,194500,5.5,5.55,5.5,5.545,13623,0
REE.US,5,20210922,195000,5.545,5.5463,5.525,5.525,7278,0
REE.US,5,20210922,195500,5.525,5.55,5.525,5.55,12017,0
REE.US,5,20210922,200000,5.55,5.55,5.53,5.545,12714,0
REE.US,5,20210922,200500,5.54,5.55,5.53,5.54,8115,0
REE.US,5,20210922,201000,5.54,5.57,5.53,5.57,24297,0
REE.US,5,20210922,201500,5.57,5.6,5.57,5.595,7671,0
REE.US,5,20210922,202000,5.605,5.605,5.58,5.58,18422,0
REE.US,5,20210922,202500,5.587,5.5899,5.5713,5.58,3950,0
REE.US,5,20210922,203000,5.58,5.6,5.57,5.595,9383,0
REE.US,5,20210922,203500,5.595,5.6,5.575,5.585,8330,0
REE.US,5,20210922,204000,5.5882,5.5882,5.57,5.58,4443,0
REE.US,5,20210922,204500,5.56,5.57,5.52,5.55,16156,0
REE.US,5,20210922,205000,5.55,5.56,5.53,5.54,13719,0
REE.US,5,20210922,205500,5.54,5.58,5.54,5.57,10305,0
REE.US,5,20210922,210000,5.57,5.57,5.54,5.55,7266,0
REE.US,5,20210922,210500,5.54,5.56,5.51,5.5139,9710,0
REE.US,5,20210922,211000,5.52,5.58,5.52,5.55,6100,0
REE.US,5,20210922,211500,5.55,5.56,5.53,5.555,8048,0
REE.US,5,20210922,212000,5.56,5.56,5.55,5.555,1450,0
REE.US,5,20210922,212500,5.555,5.56,5.53,5.555,10004,0
REE.US,5,20210922,213000,5.55,5.55,5.52,5.53,6956,0
REE.US,5,20210922,213500,5.52,5.54,5.5,5.52,13021,0
REE.US,5,20210922,214000,5.52,5.525,5.49,5.495,10792,0
