<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFI.US,5,20210922,153000,17.02,17.04,16.955,16.98,2536,0
RFI.US,5,20210922,153500,16.96,16.96,16.94,16.94,400,0
RFI.US,5,20210922,160000,16.91,16.94,16.91,16.94,522,0
RFI.US,5,20210922,161500,16.8982,16.8982,16.8982,16.8982,118,0
RFI.US,5,20210922,162500,16.8965,16.8965,16.8965,16.8965,350,0
RFI.US,5,20210922,163000,16.95,16.95,16.95,16.95,300,0
RFI.US,5,20210922,163500,16.95,16.96,16.95,16.96,1317,0
RFI.US,5,20210922,164000,17.03,17.04,17.028,17.04,919,0
RFI.US,5,20210922,165500,17.0299,17.0299,17.0299,17.0299,164,0
RFI.US,5,20210922,170500,17.011,17.011,17.011,17.011,3000,0
RFI.US,5,20210922,172500,17.0214,17.0214,17.0214,17.0214,446,0
RFI.US,5,20210922,173000,17.011,17.011,17.011,17.011,2000,0
RFI.US,5,20210922,173500,16.975,16.975,16.975,16.975,275,0
RFI.US,5,20210922,175500,17.01,17.01,17.01,17.01,100,0
RFI.US,5,20210922,180000,16.92,16.92,16.92,16.92,100,0
RFI.US,5,20210922,182000,16.974,16.974,16.974,16.974,189,0
RFI.US,5,20210922,184000,16.9201,16.9201,16.9201,16.9201,111,0
RFI.US,5,20210922,185000,16.97,16.97,16.97,16.97,719,0
RFI.US,5,20210922,185500,16.9291,16.948,16.9291,16.948,626,0
RFI.US,5,20210922,193500,16.95,16.95,16.95,16.95,700,0
RFI.US,5,20210922,194000,17.01,17.01,17.01,17.01,585,0
RFI.US,5,20210922,195000,17.0299,17.03,17.0299,17.03,900,0
RFI.US,5,20210922,195500,17.0099,17.0099,16.9859,16.9859,486,0
RFI.US,5,20210922,200000,17,17,17,17,375,0
RFI.US,5,20210922,201000,17.0297,17.04,17.0297,17.04,2260,0
RFI.US,5,20210922,204500,17.0106,17.0106,17.0106,17.0106,200,0
RFI.US,5,20210922,205000,17.03,17.03,16.975,17.01,3200,0
RFI.US,5,20210922,210000,17.04,17.04,17.04,17.04,275,0
RFI.US,5,20210922,211000,17.03,17.03,17.03,17.03,200,0
RFI.US,5,20210922,213500,17.04,17.05,17.04,17.05,400,0
RFI.US,5,20210922,214500,17.04,17.05,17.04,17.05,300,0
RFI.US,5,20210922,215500,17.0249,17.07,17.0249,17.07,1765,0
RFI.US,5,20210923,153000,17.09,17.1,17.09,17.09,2885,0
RFI.US,5,20210923,154000,17.16,17.16,17.16,17.16,350,0
RFI.US,5,20210923,155500,17.09,17.09,17.09,17.09,1475,0
RFI.US,5,20210923,160000,17.11,17.11,17.11,17.11,404,0
RFI.US,5,20210923,161500,17.07,17.09,17.06,17.06,2804,0
RFI.US,5,20210923,163000,17.06,17.06,17.06,17.06,502,0
RFI.US,5,20210923,164500,17.08,17.08,17.01,17.01,403,0
RFI.US,5,20210923,173000,17.0046,17.0046,16.9673,16.9673,1700,0
RFI.US,5,20210923,174000,16.972,16.972,16.9501,16.9501,1200,0
RFI.US,5,20210923,175000,16.9811,16.9811,16.9811,16.9811,200,0
RFI.US,5,20210923,175500,17,17,17,17,5030,0
RFI.US,5,20210923,180000,17,17,17,17,100,0
RFI.US,5,20210923,182500,17.0016,17.0016,17.0016,17.0016,225,0
RFI.US,5,20210923,183000,17,17,16.9907,16.9907,500,0
RFI.US,5,20210923,185000,16.9977,16.9977,16.9977,16.9977,1000,0
RFI.US,5,20210923,190000,17.0002,17.0002,16.9675,16.9675,600,0
RFI.US,5,20210923,191500,16.97,16.97,16.97,16.97,100,0
RFI.US,5,20210923,192000,16.965,16.965,16.965,16.965,100,0
RFI.US,5,20210923,192500,16.965,16.9691,16.965,16.9691,255,0
RFI.US,5,20210923,194000,16.96,16.965,16.96,16.965,255,0
RFI.US,5,20210923,200500,17.0187,17.0187,16.9718,16.985,800,0
RFI.US,5,20210923,201000,16.99,16.99,16.96,16.9601,4968,0
RFI.US,5,20210923,202500,17.02,17.02,17.02,17.02,500,0
RFI.US,5,20210923,204500,16.9752,16.9752,16.9752,16.9752,268,0
RFI.US,5,20210923,205000,16.98,16.98,16.98,16.98,100,0
RFI.US,5,20210923,210000,16.96,16.975,16.96,16.975,300,0
RFI.US,5,20210923,210500,16.975,16.975,16.975,16.975,295,0
RFI.US,5,20210923,211500,16.95,16.95,16.93,16.93,275,0
RFI.US,5,20210923,212000,16.88,16.88,16.88,16.88,200,0
RFI.US,5,20210923,212500,16.88,16.88,16.871,16.88,2378,0
RFI.US,5,20210923,213000,16.92,16.93,16.88,16.88,1705,0
RFI.US,5,20210923,213500,16.94,16.949,16.89,16.89,1000,0
RFI.US,5,20210923,214000,16.89,16.92,16.89,16.89,530,0
RFI.US,5,20210923,214500,16.92,16.95,16.89,16.9499,2249,0
RFI.US,5,20210923,215000,16.915,16.915,16.89,16.89,200,0
RFI.US,5,20210923,215500,16.88,16.9,16.85,16.85,2738,0
RFI.US,5,20210924,153000,16.89,16.89,16.89,16.89,731,0
RFI.US,5,20210924,153500,16.87,16.87,16.86,16.86,300,0
RFI.US,5,20210924,154000,16.85,16.85,16.84,16.84,850,0
RFI.US,5,20210924,154500,16.85,16.85,16.81,16.81,1400,0
RFI.US,5,20210924,155000,16.8,16.8,16.8,16.8,100,0
RFI.US,5,20210924,155500,16.8,16.82,16.8,16.82,200,0
RFI.US,5,20210924,160000,16.8,16.8,16.8,16.8,1000,0
RFI.US,5,20210924,161000,16.8,16.858,16.8,16.81,2632,0
RFI.US,5,20210924,162000,16.8,16.805,16.8,16.8,1004,0
RFI.US,5,20210924,162500,16.8,16.8,16.79,16.79,1052,0
RFI.US,5,20210924,163000,16.78,16.78,16.78,16.78,462,0
RFI.US,5,20210924,164000,16.795,16.795,16.7624,16.7624,3319,0
RFI.US,5,20210924,164500,16.79,16.79,16.79,16.79,100,0
RFI.US,5,20210924,165000,16.75,16.79,16.75,16.79,400,0
RFI.US,5,20210924,165500,16.79,16.79,16.79,16.79,200,0
RFI.US,5,20210924,172000,16.78,16.795,16.78,16.78,602,0
RFI.US,5,20210924,172500,16.79,16.79,16.77,16.77,500,0
RFI.US,5,20210924,174000,16.79,16.79,16.79,16.79,100,0
RFI.US,5,20210924,175500,16.8029,16.8029,16.8029,16.8029,295,0
RFI.US,5,20210924,180000,16.768,16.81,16.768,16.81,3718,0
RFI.US,5,20210924,181500,16.785,16.79,16.78,16.79,1661,0
RFI.US,5,20210924,182500,16.79,16.79,16.79,16.79,100,0
RFI.US,5,20210924,184000,16.79,16.79,16.7836,16.7836,1100,0
RFI.US,5,20210924,185000,16.79,16.79,16.79,16.79,100,0
RFI.US,5,20210924,190000,16.77,16.78,16.75,16.75,2500,0
RFI.US,5,20210924,191000,16.77,16.77,16.76,16.76,200,0
RFI.US,5,20210924,191500,16.76,16.76,16.76,16.76,300,0
RFI.US,5,20210924,192000,16.76,16.76,16.76,16.76,1000,0
RFI.US,5,20210924,192500,16.76,16.77,16.76,16.76,1500,0
RFI.US,5,20210924,193000,16.77,16.77,16.76,16.76,1300,0
RFI.US,5,20210924,200500,16.73,16.73,16.73,16.73,400,0
RFI.US,5,20210924,202000,16.745,16.745,16.745,16.745,770,0
RFI.US,5,20210924,205000,16.7306,16.7306,16.7304,16.7304,709,0
RFI.US,5,20210924,214500,16.73,16.731,16.7295,16.7295,2059,0
RFI.US,5,20210924,215000,16.748,16.81,16.748,16.81,1131,0
RFI.US,5,20210924,215500,16.7711,16.78,16.7711,16.78,484,0
RFI.US,5,20210927,153000,16.74,16.74,16.74,16.74,927,0
RFI.US,5,20210927,154000,16.68,16.68,16.68,16.68,100,0
RFI.US,5,20210927,154500,16.6611,16.6611,16.6611,16.6611,400,0
RFI.US,5,20210927,155000,16.68,16.73,16.68,16.69,1750,0
RFI.US,5,20210927,155500,16.695,16.695,16.695,16.695,100,0
RFI.US,5,20210927,160000,16.6945,16.6945,16.6945,16.6945,500,0
RFI.US,5,20210927,161500,16.74,16.74,16.7388,16.7388,1000,0
RFI.US,5,20210927,163500,16.83,16.83,16.83,16.83,112,0
RFI.US,5,20210927,164000,16.85,16.85,16.85,16.85,400,0
RFI.US,5,20210927,165500,16.8,16.8,16.79,16.79,400,0
RFI.US,5,20210927,170000,16.795,16.795,16.795,16.795,100,0
RFI.US,5,20210927,170500,16.7919,16.8,16.7919,16.8,1832,0
RFI.US,5,20210927,171000,16.8005,16.8005,16.79,16.79,1906,0
RFI.US,5,20210927,171500,16.79,16.79,16.74,16.74,3358,0
RFI.US,5,20210927,174000,16.74,16.74,16.735,16.735,612,0
RFI.US,5,20210927,174500,16.735,16.735,16.735,16.735,312,0
RFI.US,5,20210927,175000,16.7516,16.7516,16.7516,16.7516,130,0
RFI.US,5,20210927,180000,16.735,16.735,16.735,16.735,143,0
RFI.US,5,20210927,181500,16.78,16.78,16.78,16.78,300,0
RFI.US,5,20210927,182500,16.79,16.79,16.7758,16.7758,312,0
RFI.US,5,20210927,183500,16.753,16.753,16.753,16.753,350,0
RFI.US,5,20210927,184000,16.79,16.79,16.79,16.79,100,0
RFI.US,5,20210927,185500,16.7789,16.78,16.7789,16.78,2428,0
RFI.US,5,20210927,192500,16.69,16.73,16.69,16.695,1400,0
RFI.US,5,20210927,193000,16.695,16.695,16.59,16.655,3217,0
RFI.US,5,20210927,195500,16.6838,16.6838,16.6838,16.6838,299,0
RFI.US,5,20210927,200500,16.67,16.67,16.67,16.67,601,0
RFI.US,5,20210927,201000,16.65,16.69,16.61,16.61,2500,0
RFI.US,5,20210927,202000,16.61,16.6395,16.61,16.6395,1100,0
