<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNAZ.US,5,20210922,153000,2.44,2.4401,2.43,2.43,5968,0
RNAZ.US,5,20210922,153500,2.44,2.5399,2.41,2.4639,4108,0
RNAZ.US,5,20210922,154000,2.475,2.5399,2.46,2.48,2800,0
RNAZ.US,5,20210922,154500,2.4928,2.4928,2.435,2.4724,1202,0
RNAZ.US,5,20210922,155000,2.5,2.5,2.4743,2.4743,1353,0
RNAZ.US,5,20210922,155500,2.47,2.499,2.47,2.47,2874,0
RNAZ.US,5,20210922,160000,2.4727,2.4727,2.47,2.47,1350,0
RNAZ.US,5,20210922,160500,2.475,2.48,2.47,2.475,621,0
RNAZ.US,5,20210922,161000,2.53,2.53,2.48,2.48,3400,0
RNAZ.US,5,20210922,161500,2.481,2.496,2.45,2.45,1100,0
RNAZ.US,5,20210922,162000,2.485,2.485,2.48,2.48,1100,0
RNAZ.US,5,20210922,162500,2.48,2.48,2.45,2.45,6260,0
RNAZ.US,5,20210922,163000,2.47,2.47,2.46,2.46,1100,0
RNAZ.US,5,20210922,163500,2.46,2.47,2.46,2.46,8188,0
RNAZ.US,5,20210922,164000,2.4683,2.4683,2.4683,2.4683,200,0
RNAZ.US,5,20210922,164500,2.46,2.47,2.45,2.46,2200,0
RNAZ.US,5,20210922,165000,2.4611,2.47,2.45,2.45,5620,0
RNAZ.US,5,20210922,165500,2.45,2.45,2.45,2.45,100,0
RNAZ.US,5,20210922,170000,2.47,2.52,2.46,2.52,17037,0
RNAZ.US,5,20210922,170500,2.52,2.52,2.51,2.52,1420,0
RNAZ.US,5,20210922,171000,2.4759,2.49,2.475,2.49,6623,0
RNAZ.US,5,20210922,171500,2.48,2.48,2.48,2.48,500,0
RNAZ.US,5,20210922,172000,2.48,2.49,2.48,2.49,603,0
RNAZ.US,5,20210922,172500,2.4999,2.4999,2.47,2.47,2884,0
RNAZ.US,5,20210922,173000,2.485,2.49,2.485,2.489,450,0
RNAZ.US,5,20210922,173500,2.4956,2.4956,2.4956,2.4956,200,0
