<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNERU.US,5,20211006,153000,10.06,10.06,10.06,10.06,1740,0
RNERU.US,5,20211006,153500,10.06,10.06,10.06,10.06,1000,0
RNERU.US,5,20211006,155000,10.05,10.05,10.05,10.05,2000,0
RNERU.US,5,20211006,162500,10.055,10.055,10.055,10.055,51000,0
RNERU.US,5,20211006,163500,10.05,10.07,10.05,10.07,78004,0
RNERU.US,5,20211006,165500,10.07,10.075,10.07,10.075,20973,0
RNERU.US,5,20211006,171000,10.076,10.076,10.07,10.07,1000,0
RNERU.US,5,20211006,172500,10.07,10.07,10.07,10.07,200,0
RNERU.US,5,20211006,173000,10.07,10.07,10.07,10.07,300,0
RNERU.US,5,20211006,173500,10.07,10.07,10.07,10.07,800,0
RNERU.US,5,20211006,174000,10.07,10.07,10.07,10.07,500,0
RNERU.US,5,20211006,174500,10.07,10.07,10.07,10.07,400,0
RNERU.US,5,20211006,175000,10.07,10.07,10.07,10.07,400,0
RNERU.US,5,20211006,175500,10.07,10.07,10.07,10.07,300,0
RNERU.US,5,20211006,180000,10.07,10.07,10.07,10.07,500,0
RNERU.US,5,20211006,180500,10.07,10.07,10.07,10.07,400,0
RNERU.US,5,20211006,181000,10.07,10.07,10.07,10.07,400,0
RNERU.US,5,20211006,181500,10.07,10.07,10.07,10.07,600,0
RNERU.US,5,20211006,182000,10.07,10.07,10.07,10.07,200,0
RNERU.US,5,20211006,182500,10.07,10.07,10.07,10.07,500,0
RNERU.US,5,20211006,183000,10.07,10.07,10.07,10.07,400,0
RNERU.US,5,20211006,183500,10.07,10.07,10.07,10.07,200,0
RNERU.US,5,20211006,184000,10.07,10.07,10.07,10.07,300,0
RNERU.US,5,20211006,184500,10.07,10.075,10.07,10.07,8300,0
RNERU.US,5,20211006,185000,10.07,10.07,10.07,10.07,300,0
RNERU.US,5,20211006,185500,10.07,10.07,10.07,10.07,500,0
RNERU.US,5,20211006,190000,10.07,10.07,10.07,10.07,300,0
RNERU.US,5,20211006,190500,10.07,10.07,10.07,10.07,200,0
RNERU.US,5,20211006,191000,10.07,10.075,10.07,10.07,15390,0
RNERU.US,5,20211006,191500,10.07,10.075,10.07,10.075,400,0
RNERU.US,5,20211006,192000,10.075,10.075,10.075,10.075,400,0
RNERU.US,5,20211006,192500,10.075,10.075,10.075,10.075,300,0
RNERU.US,5,20211006,193000,10.075,10.075,10.075,10.075,400,0
