<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHC.US,5,20210922,153000,25.42,25.55,25.375,25.49,3684,0
SHC.US,5,20210922,153500,25.45,25.53,25.28,25.39,5653,0
SHC.US,5,20210922,154000,25.355,25.46,25.355,25.4,1805,0
SHC.US,5,20210922,154500,25.33,25.47,25.295,25.42,4276,0
SHC.US,5,20210922,155000,25.39,25.41,25.31,25.41,8907,0
SHC.US,5,20210922,155500,25.36,25.39,25.36,25.39,1428,0
SHC.US,5,20210922,160000,25.37,25.38,25.3,25.32,2043,0
SHC.US,5,20210922,160500,25.28,25.38,25.27,25.38,5927,0
SHC.US,5,20210922,161000,25.4,25.45,25.39,25.42,2989,0
SHC.US,5,20210922,161500,25.435,25.49,25.435,25.47,2500,0
SHC.US,5,20210922,162000,25.44,25.44,25.37,25.39,3277,0
SHC.US,5,20210922,162500,25.38,25.42,25.38,25.42,2100,0
SHC.US,5,20210922,163000,25.44,25.56,25.44,25.535,2425,0
SHC.US,5,20210922,163500,25.56,25.59,25.56,25.59,1495,0
SHC.US,5,20210922,164000,25.59,25.71,25.59,25.68,4442,0
SHC.US,5,20210922,164500,25.66,25.75,25.66,25.75,2161,0
SHC.US,5,20210922,165000,25.75,25.75,25.65,25.65,1194,0
SHC.US,5,20210922,165500,25.67,25.69,25.66,25.69,2300,0
SHC.US,5,20210922,170000,25.64,25.71,25.64,25.7,13749,0
SHC.US,5,20210922,170500,25.71,25.71,25.69,25.71,1777,0
SHC.US,5,20210922,171000,25.685,25.7,25.57,25.57,4954,0
SHC.US,5,20210922,171500,25.58,25.65,25.57,25.635,4280,0
SHC.US,5,20210922,172000,25.635,25.64,25.635,25.635,1501,0
SHC.US,5,20210922,172500,25.64,25.72,25.64,25.71,3439,0
SHC.US,5,20210922,173000,25.72,25.77,25.7,25.7,3252,0
SHC.US,5,20210922,173500,25.7,25.7,25.63,25.63,1489,0
SHC.US,5,20210922,174000,25.64,25.72,25.64,25.72,3639,0
SHC.US,5,20210922,174500,25.69,25.69,25.66,25.68,2074,0
SHC.US,5,20210922,175000,25.68,25.7,25.6,25.625,4888,0
SHC.US,5,20210922,175500,25.635,25.67,25.635,25.655,2661,0
SHC.US,5,20210922,180000,25.65,25.69,25.65,25.69,5096,0
SHC.US,5,20210922,180500,25.67,25.67,25.62,25.62,1550,0
SHC.US,5,20210922,181000,25.635,25.67,25.62,25.62,3796,0
SHC.US,5,20210922,181500,25.61,25.63,25.58,25.62,2805,0
SHC.US,5,20210922,182000,25.61,25.62,25.61,25.62,1400,0
SHC.US,5,20210922,182500,25.61,25.63,25.61,25.63,994,0
SHC.US,5,20210922,183000,25.63,25.68,25.63,25.64,3000,0
SHC.US,5,20210922,183500,25.65,25.66,25.64,25.66,4493,0
SHC.US,5,20210922,184000,25.665,25.69,25.66,25.69,2093,0
SHC.US,5,20210922,184500,25.7,25.73,25.7,25.72,1447,0
SHC.US,5,20210922,185000,25.72,25.76,25.72,25.755,2915,0
SHC.US,5,20210922,185500,25.76,25.8,25.75,25.8,3042,0
SHC.US,5,20210922,190000,25.81,25.81,25.76,25.76,1500,0
SHC.US,5,20210922,190500,25.74,25.799,25.74,25.79,2584,0
SHC.US,5,20210922,191000,25.785,25.8,25.78,25.8,2062,0
SHC.US,5,20210922,191500,25.77,25.77,25.75,25.75,1309,0
SHC.US,5,20210922,192000,25.75,25.76,25.75,25.76,1285,0
SHC.US,5,20210922,192500,25.75,25.76,25.75,25.76,2296,0
SHC.US,5,20210922,193000,25.75,25.78,25.75,25.77,6141,0
SHC.US,5,20210922,193500,25.77,25.78,25.76,25.77,2797,0
SHC.US,5,20210922,194000,25.77,25.78,25.77,25.78,2899,0
SHC.US,5,20210922,194500,25.765,25.77,25.76,25.77,1700,0
SHC.US,5,20210922,195000,25.78,25.78,25.76,25.76,1000,0
SHC.US,5,20210922,195500,25.7799,25.78,25.76,25.78,2053,0
SHC.US,5,20210922,200000,25.76,25.91,25.75,25.86,6505,0
SHC.US,5,20210922,200500,25.86,25.86,25.79,25.79,2791,0
SHC.US,5,20210922,201000,25.81,25.87,25.81,25.87,2675,0
SHC.US,5,20210922,201500,25.88,25.92,25.87,25.87,4197,0
SHC.US,5,20210922,202000,25.89,25.89,25.82,25.88,3391,0
SHC.US,5,20210922,202500,25.87,25.93,25.87,25.93,3285,0
SHC.US,5,20210922,203000,25.96,25.98,25.92,25.97,4392,0
SHC.US,5,20210922,203500,25.93,25.95,25.87,25.91,3724,0
SHC.US,5,20210922,204000,25.87,25.87,25.82,25.85,3000,0
SHC.US,5,20210922,204500,25.82,25.84,25.75,25.76,4124,0
SHC.US,5,20210922,205000,25.75,25.83,25.725,25.83,3005,0
SHC.US,5,20210922,205500,25.79,25.79,25.72,25.77,3009,0
SHC.US,5,20210922,210000,25.765,25.8,25.74,25.75,4812,0
SHC.US,5,20210922,210500,25.765,25.81,25.75,25.81,4234,0
SHC.US,5,20210922,211000,25.79,25.82,25.78,25.8,4964,0
SHC.US,5,20210922,211500,25.795,25.8,25.78,25.8,3300,0
SHC.US,5,20210922,212000,25.8,25.83,25.77,25.78,5472,0
SHC.US,5,20210922,212500,25.76,25.81,25.76,25.8,3413,0
SHC.US,5,20210922,213000,25.795,25.82,25.79,25.81,8607,0
SHC.US,5,20210922,213500,25.82,25.905,25.82,25.905,4432,0
SHC.US,5,20210922,214000,25.9,25.92,25.86,25.87,6805,0
SHC.US,5,20210922,214500,25.86,25.88,25.85,25.85,5541,0
SHC.US,5,20210922,215000,25.85,25.85,25.78,25.82,11681,0
SHC.US,5,20210922,215500,25.82,25.84,25.76,25.81,47229,0
SHC.US,5,20210923,153000,25.86,25.91,25.85,25.91,2550,0
SHC.US,5,20210923,154000,25.98,25.98,25.96,25.96,400,0
SHC.US,5,20210923,154500,25.97,25.97,25.95,25.95,900,0
SHC.US,5,20210923,155500,25.96,26,25.96,25.97,600,0
SHC.US,5,20210923,160000,25.96,25.98,25.89,25.9,3667,0
SHC.US,5,20210923,160500,25.91,25.96,25.9,25.92,2400,0
SHC.US,5,20210923,161000,25.94,26.005,25.92,25.97,4054,0
SHC.US,5,20210923,161500,25.96,25.96,25.89,25.915,3500,0
SHC.US,5,20210923,162000,25.92,25.92,25.895,25.9,2700,0
SHC.US,5,20210923,162500,25.91,25.96,25.9,25.94,4278,0
SHC.US,5,20210923,163000,25.93,25.95,25.92,25.95,3100,0
SHC.US,5,20210923,163500,25.94,25.94,25.88,25.88,1500,0
SHC.US,5,20210923,164000,25.9,25.95,25.88,25.95,7551,0
SHC.US,5,20210923,164500,25.96,25.99,25.96,25.99,1044,0
SHC.US,5,20210923,165000,25.995,26.0681,25.995,26.0681,2576,0
SHC.US,5,20210923,165500,26.1,26.1,26.06,26.06,800,0
SHC.US,5,20210923,170000,26.06,26.06,26.02,26.02,911,0
SHC.US,5,20210923,170500,26.01,26.025,25.95,25.95,4100,0
SHC.US,5,20210923,171000,25.97,25.97,25.95,25.95,1300,0
SHC.US,5,20210923,171500,25.96,26.009,25.96,25.96,1553,0
SHC.US,5,20210923,172000,25.95,25.95,25.93,25.93,1843,0
SHC.US,5,20210923,172500,25.94,25.94,25.91,25.91,1000,0
SHC.US,5,20210923,173000,25.91,25.91,25.85,25.85,1400,0
SHC.US,5,20210923,173500,25.85,25.85,25.79,25.835,3445,0
SHC.US,5,20210923,174000,25.84,25.84,25.79,25.79,1500,0
SHC.US,5,20210923,174500,25.8,25.805,25.76,25.76,3545,0
SHC.US,5,20210923,175000,25.75,25.769,25.75,25.769,1200,0
SHC.US,5,20210923,175500,25.77,25.79,25.765,25.78,2450,0
SHC.US,5,20210923,180000,25.78,25.78,25.72,25.73,4202,0
SHC.US,5,20210923,180500,25.72,25.73,25.72,25.72,2100,0
SHC.US,5,20210923,181000,25.725,25.79,25.72,25.78,3534,0
SHC.US,5,20210923,181500,25.79,25.79,25.78,25.79,900,0
SHC.US,5,20210923,182000,25.78,25.78,25.755,25.755,1157,0
SHC.US,5,20210923,182500,25.75,25.759,25.71,25.759,2348,0
SHC.US,5,20210923,183000,25.75,25.75,25.73,25.73,1300,0
SHC.US,5,20210923,183500,25.73,25.74,25.72,25.74,1543,0
SHC.US,5,20210923,184000,25.76,25.77,25.75,25.765,1481,0
SHC.US,5,20210923,184500,25.77,25.82,25.77,25.82,2300,0
SHC.US,5,20210923,185000,25.829,25.83,25.82,25.825,600,0
SHC.US,5,20210923,185500,25.825,25.83,25.78,25.79,1400,0
SHC.US,5,20210923,190000,25.79,25.81,25.78,25.81,1900,0
SHC.US,5,20210923,190500,25.805,25.835,25.805,25.835,3581,0
SHC.US,5,20210923,191000,25.85,25.85,25.84,25.84,1060,0
SHC.US,5,20210923,191500,25.84,25.85,25.83,25.845,2203,0
SHC.US,5,20210923,192000,25.84,25.84,25.81,25.815,1400,0
SHC.US,5,20210923,192500,25.81,25.845,25.8075,25.83,2497,0
SHC.US,5,20210923,193000,25.83,25.85,25.825,25.85,4059,0
SHC.US,5,20210923,193500,25.85,25.86,25.835,25.84,3378,0
SHC.US,5,20210923,194000,25.84,25.85,25.815,25.83,2261,0
SHC.US,5,20210923,194500,25.82,25.825,25.82,25.825,2213,0
SHC.US,5,20210923,195000,25.825,25.84,25.82,25.84,3575,0
SHC.US,5,20210923,195500,25.86,25.86,25.85,25.85,800,0
SHC.US,5,20210923,200000,25.85,25.87,25.85,25.86,4194,0
SHC.US,5,20210923,200500,25.86,25.92,25.855,25.9,12918,0
SHC.US,5,20210923,201000,25.929,25.929,25.9,25.9,600,0
SHC.US,5,20210923,201500,25.89,25.89,25.85,25.86,3739,0
SHC.US,5,20210923,202000,25.87,25.88,25.87,25.88,2209,0
SHC.US,5,20210923,202500,25.88,25.915,25.875,25.915,8725,0
SHC.US,5,20210923,203000,25.9,25.9,25.77,25.77,6929,0
SHC.US,5,20210923,203500,25.77,25.78,25.76,25.775,3200,0
SHC.US,5,20210923,204000,25.775,25.82,25.75,25.81,5520,0
SHC.US,5,20210923,204500,25.8,25.82,25.79,25.79,4982,0
SHC.US,5,20210923,205000,25.79,25.81,25.78,25.79,6121,0
SHC.US,5,20210923,205500,25.79,25.85,25.78,25.84,6090,0
SHC.US,5,20210923,210000,25.84,25.86,25.81,25.82,8188,0
SHC.US,5,20210923,210500,25.82,25.83,25.81,25.82,5200,0
SHC.US,5,20210923,211000,25.81,25.865,25.8,25.85,5644,0
