<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNGX.US,5,20210922,153000,1,1.04,1,1.02,52182,0
SNGX.US,5,20210922,153500,1.03,1.03,1.0174,1.03,41625,0
SNGX.US,5,20210922,154000,1.035,1.05,1.035,1.0381,40883,0
SNGX.US,5,20210922,154500,1.0449,1.05,1.04,1.0499,18349,0
SNGX.US,5,20210922,155000,1.0401,1.05,1.04,1.048,20201,0
SNGX.US,5,20210922,155500,1.0448,1.06,1.0301,1.0385,33925,0
SNGX.US,5,20210922,160000,1.0301,1.05,1.03,1.045,20964,0
SNGX.US,5,20210922,160500,1.0401,1.05,1.04,1.0401,16576,0
SNGX.US,5,20210922,161000,1.0491,1.05,1.04,1.05,19230,0
SNGX.US,5,20210922,161500,1.04,1.05,1.04,1.0401,42964,0
SNGX.US,5,20210922,162000,1.041,1.05,1.04,1.0401,4676,0
SNGX.US,5,20210922,162500,1.04,1.04,1.025,1.0294,10667,0
SNGX.US,5,20210922,163000,1.0373,1.0373,1.02,1.022,18233,0
SNGX.US,5,20210922,163500,1.03,1.03,1.0201,1.0201,1358,0
SNGX.US,5,20210922,164000,1.03,1.0399,1.03,1.0399,2279,0
SNGX.US,5,20210922,164500,1.035,1.035,1.0306,1.0306,200,0
SNGX.US,5,20210922,165000,1.0301,1.0301,1.0201,1.0201,14900,0
SNGX.US,5,20210922,165500,1.02,1.025,1.02,1.02,1495,0
SNGX.US,5,20210922,170000,1.0201,1.0201,1.0201,1.0201,230,0
SNGX.US,5,20210922,171000,1.0257,1.03,1.025,1.03,10700,0
SNGX.US,5,20210922,171500,1.0219,1.025,1.02,1.025,2318,0
SNGX.US,5,20210922,172500,1.025,1.025,1.025,1.025,100,0
SNGX.US,5,20210922,173000,1.0292,1.0299,1.025,1.025,2100,0
SNGX.US,5,20210922,173500,1.03,1.03,1.0206,1.0206,5215,0
SNGX.US,5,20210922,174000,1.0213,1.03,1.0213,1.0296,2186,0
SNGX.US,5,20210922,174500,1.0238,1.0238,1.0238,1.0238,200,0
