<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPAQ-WS.US,5,20210922,163000,1.05,1.05,1.05,1.05,850,0
SPAQ-WS.US,5,20210922,165500,1.065,1.065,1.065,1.065,1000,0
SPAQ-WS.US,5,20210922,211000,1.04,1.04,1.04,1.04,219,0
SPAQ-WS.US,5,20210923,153000,1.17,1.17,1.17,1.17,1000,0
SPAQ-WS.US,5,20210923,160000,1.1099,1.11,1.1099,1.11,1934,0
SPAQ-WS.US,5,20210923,170500,1.05,1.05,1.05,1.05,502,0
SPAQ-WS.US,5,20210923,181000,1.08,1.08,1.08,1.08,400,0
SPAQ-WS.US,5,20210923,195000,1.08,1.11,1.07,1.11,53648,0
SPAQ-WS.US,5,20210923,195500,1.1,1.11,1.1,1.11,600,0
SPAQ-WS.US,5,20210923,211500,1.1,1.1,1.1,1.1,300,0
SPAQ-WS.US,5,20210923,212500,1.1,1.11,1.1,1.11,1400,0
SPAQ-WS.US,5,20210923,213500,1.11,1.11,1.1,1.105,55519,0
SPAQ-WS.US,5,20210923,214000,1.11,1.12,1.105,1.105,60137,0
SPAQ-WS.US,5,20210923,214500,1.095,1.095,1.095,1.095,484,0
SPAQ-WS.US,5,20210924,153000,1.2,1.2,1.2,1.2,1000,0
SPAQ-WS.US,5,20210924,160500,1.11,1.12,1.08,1.12,1800,0
SPAQ-WS.US,5,20210927,153000,1.12,1.17,1.03,1.12,1875,0
SPAQ-WS.US,5,20210927,154000,1.12,1.12,1.12,1.12,100,0
SPAQ-WS.US,5,20210927,155000,1.11,1.11,1.11,1.11,197,0
SPAQ-WS.US,5,20210927,160000,1.11,1.11,1.11,1.11,100,0
SPAQ-WS.US,5,20210927,162500,1.105,1.11,1.105,1.105,500,0
SPAQ-WS.US,5,20210927,174000,1.1,1.11,1.1,1.11,350,0
SPAQ-WS.US,5,20210927,191500,1.105,1.105,1.105,1.105,100,0
SPAQ-WS.US,5,20210927,215500,1.09,1.11,1.09,1.1,2000,0
SPAQ-WS.US,5,20210928,153000,1.3,1.3,1.17,1.17,1100,0
SPAQ-WS.US,5,20210928,170000,1.135,1.135,1.135,1.135,100,0
SPAQ-WS.US,5,20210928,172500,1.135,1.15,1.135,1.15,1100,0
SPAQ-WS.US,5,20210928,182500,1.1,1.15,1.1,1.15,900,0
SPAQ-WS.US,5,20210928,190000,1.1001,1.14,1.1,1.14,710,0
SPAQ-WS.US,5,20210928,205500,1.115,1.115,1.115,1.115,100,0
SPAQ-WS.US,5,20210928,211000,1.1,1.1,1.1,1.1,200,0
SPAQ-WS.US,5,20210928,212500,1.12,1.12,1.12,1.12,100,0
SPAQ-WS.US,5,20210929,153000,1.2,1.2,1.2,1.2,1000,0
