<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRSAW.US,5,20210922,204000,1.0225,1.0225,1.0225,1.0225,1000,0
SRSAW.US,5,20210930,195500,0.9101,0.9101,0.9,0.91,2089,0
SRSAW.US,5,20210930,200000,0.91,0.91,0.91,0.91,1200,0
SRSAW.US,5,20210930,200500,0.91,0.91,0.91,0.91,800,0
SRSAW.US,5,20210930,201500,0.91,0.91,0.91,0.91,400,0
SRSAW.US,5,20210930,202000,0.91,0.91,0.91,0.91,400,0
SRSAW.US,5,20210930,203500,0.91,0.91,0.91,0.91,200,0
SRSAW.US,5,20210930,204000,0.91,0.91,0.91,0.91,500,0
SRSAW.US,5,20210930,205500,0.91,0.91,0.91,0.91,200,0
SRSAW.US,5,20210930,210500,0.91,0.91,0.91,0.91,200,0
SRSAW.US,5,20210930,211500,0.90005,0.90005,0.90005,0.90005,1500,0
SRSAW.US,5,20210930,213500,0.91,0.91,0.91,0.91,200,0
SRSAW.US,5,20210930,215000,0.9101,0.9101,0.9052,0.9052,361,0
SRSAW.US,5,20210930,215500,0.9101,0.9101,0.9101,0.9101,400,0
SRSAW.US,5,20211001,161500,0.92,0.92,0.88,0.88,2900,0
SRSAW.US,5,20211001,162000,0.88,0.88,0.88,0.88,724,0
SRSAW.US,5,20211001,162500,0.9796,1,0.9796,1,700,0
SRSAW.US,5,20211004,213000,0.99,0.99,0.99,0.99,300,0
SRSAW.US,5,20211004,213500,0.99,0.99,0.99,0.99,600,0
SRSAW.US,5,20211004,215000,0.99,0.99,0.99,0.99,200,0
SRSAW.US,5,20211004,215500,1,1.03,1,1.03,3419,0
SRSAW.US,5,20211008,182500,0.95,0.95,0.95,0.95,100,0
SRSAW.US,5,20211008,192000,0.9501,0.9501,0.9501,0.9501,150,0
SRSAW.US,5,20211008,211500,1,1,1,1,1000,0
SRSAW.US,5,20211008,212500,1.07,1.085,1.07,1.085,300,0
SRSAW.US,5,20211013,163500,0.98,0.98,0.902,0.923475,911,0
SRSAW.US,5,20211013,164000,0.955,0.98,0.955,0.98,362,0
SRSAW.US,5,20211013,165000,0.98,0.98,0.98,0.98,200,0
SRSAW.US,5,20211013,165500,0.98,0.98,0.98,0.98,100,0
SRSAW.US,5,20211013,175000,0.98,0.98,0.98,0.98,200,0
SRSAW.US,5,20211013,200500,0.98,1,0.98,1,300,0
SRSAW.US,5,20211015,172500,1,1,1,1,291,0
SRSAW.US,5,20211015,185000,1,1,1,1,150,0
SRSAW.US,5,20211018,184000,0.8301,0.9001,0.8101,0.8101,1942,0
SRSAW.US,5,20211018,193000,0.883,1.05,0.883,1.04,2158,0
SRSAW.US,5,20211019,212500,0.9495,0.95,0.9495,0.95,2300,0
SRSAW.US,5,20211019,213000,1.05,1.17,1.05,1.17,4657,0
SRSAW.US,5,20211022,200000,1.05,1.05,1.05,1.05,291,0
SRSAW.US,5,20211022,211000,1.0501,1.0501,1.0501,1.0501,200,0
SRSAW.US,5,20211022,214000,1.0501,1.0501,1.0501,1.0501,100,0
SRSAW.US,5,20211027,213500,1.13,1.1397,1.12,1.1397,300,0
SRSAW.US,5,20211029,203500,1.23,1.24,1.23,1.23,1049,0
SRSAW.US,5,20211029,204500,1.27,1.27,1.27,1.27,500,0
SRSAW.US,5,20211029,211000,1.29,1.29,1.29,1.29,601,0
SRSAW.US,5,20211029,213500,1.3,1.3,1.3,1.3,812,0
SRSAW.US,5,20211029,215000,1.3,1.3,1.3,1.3,200,0
SRSAW.US,5,20211029,215500,1.3,1.3,1.25,1.3,11533,0
SRSAW.US,5,20211101,173000,1.14,1.15,1.13,1.13,300,0
SRSAW.US,5,20211101,173500,1.16,1.16,1.16,1.16,986,0
SRSAW.US,5,20211101,185500,1.16,1.16,1.16,1.16,926,0
SRSAW.US,5,20211102,181000,1.75,1.75,1.19,1.19,233,0
SRSAW.US,5,20211102,181500,1.42,1.42,1.42,1.42,170,0
SRSAW.US,5,20211104,162500,1.05,1.05,1.05,1.05,332,0
SRSAW.US,5,20211104,164500,1.04,1.05,1,1.02,2300,0
SRSAW.US,5,20211104,165000,1.05,1.05,1.05,1.05,201,0
SRSAW.US,5,20211104,174500,1.33,1.3899,1.33,1.3899,200,0
SRSAW.US,5,20211104,205500,1.27,1.27,1.27,1.27,100,0
SRSAW.US,5,20211105,145000,1.43,1.43,1.43,1.43,100,0
SRSAW.US,5,20211108,155500,1.43,1.45,1.43,1.45,300,0
SRSAW.US,5,20211108,160500,1.47,1.47,1.47,1.47,681,0
SRSAW.US,5,20211108,164000,1.47,1.47,1.47,1.47,226,0
SRSAW.US,5,20211108,190500,1.49,1.49,1.49,1.49,118,0
SRSAW.US,5,20211108,211000,1.39,1.39,1.39,1.39,100,0
SRSAW.US,5,20211108,212500,1.44,1.47,1.44,1.47,23302,0
SRSAW.US,5,20211108,213000,1.45,1.48,1.45,1.47,44716,0
SRSAW.US,5,20211108,213500,1.4843,1.4843,1.4843,1.4843,5000,0
SRSAW.US,5,20211108,215000,1.48,1.48,1.48,1.48,2406,0
