<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXTC.US,5,20210922,153000,1.07,1.07,1.07,1.07,3308,0
SXTC.US,5,20210922,154000,1.05,1.05,1.05,1.05,765,0
SXTC.US,5,20210922,155000,1.05,1.05,1.05,1.05,800,0
SXTC.US,5,20210922,160000,1.05,1.0625,1.0301,1.0625,3667,0
SXTC.US,5,20210922,161500,1.065,1.0664,1.055,1.055,935,0
SXTC.US,5,20210922,162000,1.04,1.04,1.04,1.04,100,0
SXTC.US,5,20210922,162500,1.0556,1.0556,1.0416,1.0416,342,0
SXTC.US,5,20210922,163000,1.03,1.0352,1.03,1.03,3602,0
SXTC.US,5,20210922,164500,1.0295,1.0295,1.0295,1.0295,225,0
SXTC.US,5,20210922,170000,1.0273,1.0273,1.0273,1.0273,826,0
SXTC.US,5,20210922,170500,1.0268,1.03,1.02,1.03,1210,0
SXTC.US,5,20210922,172000,1.025,1.06,1.025,1.06,400,0
SXTC.US,5,20210922,172500,1.0599,1.06,1.045,1.06,531,0
SXTC.US,5,20210922,173000,1.0349,1.0349,1.0349,1.0349,110,0
SXTC.US,5,20210922,174500,1.05,1.05,1.05,1.05,195,0
SXTC.US,5,20210922,181500,1.0401,1.0401,1.0401,1.0401,2000,0
SXTC.US,5,20210922,183500,1.04,1.05,1.04,1.04,2268,0
SXTC.US,5,20210922,184000,1.06,1.06,1.06,1.06,800,0
SXTC.US,5,20210922,191500,1.06,1.0611,1.06,1.0611,350,0
SXTC.US,5,20210922,192000,1.05,1.05,1.0206,1.03,1604,0
SXTC.US,5,20210922,192500,1.0317,1.0344,1.0317,1.0344,1121,0
SXTC.US,5,20210922,194000,1.0311,1.0311,1.0311,1.0311,331,0
SXTC.US,5,20210922,201000,1.04,1.04,1.04,1.04,100,0
SXTC.US,5,20210922,202000,1.04,1.0495,1.04,1.0495,700,0
SXTC.US,5,20210922,202500,1.04,1.05,1.04,1.05,2190,0
SXTC.US,5,20210922,205000,1.0499,1.0499,1.0499,1.0499,1000,0
SXTC.US,5,20210922,210000,1.0487,1.0487,1.0487,1.0487,100,0
SXTC.US,5,20210922,210500,1.05,1.05,1.0326,1.05,5568,0
SXTC.US,5,20210922,211500,1.07,1.07,1.07,1.07,250,0
SXTC.US,5,20210922,212500,1.04,1.04,1.04,1.04,600,0
SXTC.US,5,20210922,213000,1.04,1.05,1.04,1.05,982,0
SXTC.US,5,20210922,215000,1.04,1.04,1.04,1.04,300,0
SXTC.US,5,20210922,215500,1.04,1.04,1.04,1.04,104,0
SXTC.US,5,20210923,153000,1.02,1.06,1.02,1.06,1059,0
SXTC.US,5,20210923,153500,1.06,1.06,1.06,1.06,500,0
SXTC.US,5,20210923,154000,1.06,1.06,1.06,1.06,10470,0
SXTC.US,5,20210923,154500,1.0553,1.0553,1.0553,1.0553,460,0
SXTC.US,5,20210923,155000,1.04,1.04,1.04,1.04,100,0
SXTC.US,5,20210923,155500,1.0331,1.0331,1.0331,1.0331,100,0
SXTC.US,5,20210923,160500,1.0469,1.0469,1.0469,1.0469,419,0
SXTC.US,5,20210923,161000,1.05,1.06,1.05,1.06,1625,0
SXTC.US,5,20210923,161500,1.0569,1.0569,1.0569,1.0569,100,0
SXTC.US,5,20210923,162000,1.06,1.06,1.06,1.06,6605,0
SXTC.US,5,20210923,163000,1.06,1.06,1.06,1.06,3500,0
SXTC.US,5,20210923,165000,1.06,1.06,1.06,1.06,3000,0
SXTC.US,5,20210923,170000,1.05,1.05,1.05,1.05,100,0
SXTC.US,5,20210923,173000,1.05,1.05,1.05,1.05,400,0
SXTC.US,5,20210923,174000,1.0501,1.0501,1.0501,1.0501,100,0
SXTC.US,5,20210923,180500,1.06,1.06,1.06,1.06,500,0
SXTC.US,5,20210923,181500,1.06,1.06,1.06,1.06,314,0
SXTC.US,5,20210923,182500,1.05,1.05,1.05,1.05,100,0
SXTC.US,5,20210923,183500,1.0501,1.06,1.04,1.04,1550,0
SXTC.US,5,20210923,185500,1.0531,1.0531,1.0531,1.0531,811,0
SXTC.US,5,20210923,190000,1.06,1.06,1.06,1.06,500,0
SXTC.US,5,20210923,190500,1.06,1.06,1.05,1.06,800,0
SXTC.US,5,20210923,192500,1.05,1.05,1.05,1.05,7700,0
SXTC.US,5,20210923,193000,1.05,1.05,1.05,1.05,2428,0
SXTC.US,5,20210923,194000,1.0421,1.0421,1.0421,1.0421,100,0
SXTC.US,5,20210923,194500,1.0406,1.0406,1.0406,1.0406,100,0
SXTC.US,5,20210923,195000,1.0471,1.0497,1.0471,1.0497,200,0
SXTC.US,5,20210923,195500,1.04,1.04,1.04,1.04,100,0
SXTC.US,5,20210923,200500,1.04,1.05,1.04,1.05,6600,0
SXTC.US,5,20210923,201500,1.04,1.04,1.04,1.04,500,0
SXTC.US,5,20210923,204500,1.0337,1.0337,1.0337,1.0337,500,0
SXTC.US,5,20210923,205000,1.04,1.04,1.04,1.04,200,0
SXTC.US,5,20210923,210500,1.05,1.05,1.05,1.05,100,0
SXTC.US,5,20210923,211000,1.05,1.05,1.05,1.05,10200,0
SXTC.US,5,20210923,212000,1.05,1.05,1.05,1.05,100,0
SXTC.US,5,20210923,212500,1.0401,1.05,1.0401,1.05,1672,0
SXTC.US,5,20210923,213000,1.05,1.05,1.05,1.05,691,0
SXTC.US,5,20210923,213500,1.05,1.05,1.0431,1.0431,203,0
SXTC.US,5,20210923,215000,1.04,1.05,1.04,1.05,300,0
SXTC.US,5,20210923,215500,1.05,1.06,1.05,1.05,4620,0
SXTC.US,5,20210924,153000,1.04,1.04,1.04,1.04,1360,0
SXTC.US,5,20210924,153500,1.055,1.055,1.04,1.04,845,0
SXTC.US,5,20210924,161000,1.0501,1.0501,1.0495,1.0495,3694,0
SXTC.US,5,20210924,162500,1.0494,1.05,1.0401,1.0401,1475,0
SXTC.US,5,20210924,163000,1.0511,1.0511,1.0511,1.0511,181,0
SXTC.US,5,20210924,164500,1.06,1.06,1.06,1.06,400,0
SXTC.US,5,20210924,165500,1.0596,1.0596,1.0596,1.0596,480,0
SXTC.US,5,20210924,171500,1.05,1.05,1.05,1.05,1000,0
SXTC.US,5,20210924,172000,1.04,1.04,1.04,1.04,467,0
SXTC.US,5,20210924,173000,1.0409,1.05,1.0409,1.05,1203,0
SXTC.US,5,20210924,180500,1.0403,1.0403,1.0403,1.0403,291,0
SXTC.US,5,20210924,183000,1.04,1.0489,1.04,1.0489,693,0
SXTC.US,5,20210924,185500,1.049,1.05,1.049,1.05,1100,0
SXTC.US,5,20210924,191500,1.0553,1.0589,1.0553,1.0589,300,0
SXTC.US,5,20210924,194000,1.0504,1.0504,1.0504,1.0504,250,0
SXTC.US,5,20210924,202500,1.05,1.0592,1.05,1.0592,1123,0
SXTC.US,5,20210924,204500,1.0506,1.0506,1.0506,1.0506,450,0
SXTC.US,5,20210924,211500,1.06,1.09,1.058,1.09,65477,0
SXTC.US,5,20210924,212000,1.09,1.09,1.07,1.07,549,0
SXTC.US,5,20210924,212500,1.07,1.07,1.07,1.07,100,0
SXTC.US,5,20210924,213000,1.0701,1.09,1.07,1.07,1900,0
SXTC.US,5,20210924,213500,1.07,1.07,1.07,1.07,300,0
SXTC.US,5,20210924,214000,1.07,1.07,1.07,1.07,800,0
SXTC.US,5,20210924,214500,1.07,1.07,1.07,1.07,7535,0
SXTC.US,5,20210924,215000,1.07,1.07,1.07,1.07,100,0
SXTC.US,5,20210924,215500,1.06,1.08,1.06,1.08,3343,0
SXTC.US,5,20210927,153000,1.09,1.09,1.09,1.09,580,0
SXTC.US,5,20210927,154000,1.0765,1.0765,1.0765,1.0765,250,0
SXTC.US,5,20210927,160500,1.062,1.08,1.062,1.08,1917,0
SXTC.US,5,20210927,170000,1.07,1.0703,1.07,1.0703,612,0
SXTC.US,5,20210927,173000,1.06,1.06,1.06,1.06,1327,0
SXTC.US,5,20210927,173500,1.0592,1.0592,1.05,1.05,1681,0
SXTC.US,5,20210927,174500,1.05,1.05,1.05,1.05,2523,0
SXTC.US,5,20210927,181000,1.065,1.065,1.065,1.065,100,0
SXTC.US,5,20210927,193500,1.0607,1.0684,1.06,1.0684,1600,0
SXTC.US,5,20210927,200500,1.0698,1.0698,1.0698,1.0698,140,0
SXTC.US,5,20210927,202000,1.065,1.065,1.065,1.065,1000,0
SXTC.US,5,20210927,203000,1.06,1.06,1.06,1.06,100,0
SXTC.US,5,20210927,204500,1.06,1.06,1.06,1.06,200,0
SXTC.US,5,20210927,210000,1.0691,1.0691,1.0691,1.0691,357,0
SXTC.US,5,20210927,212000,1.0664,1.0664,1.05,1.05,566,0
SXTC.US,5,20210927,213000,1.0525,1.0525,1.0525,1.0525,167,0
SXTC.US,5,20210927,214000,1.05,1.0501,1.05,1.0501,403,0
SXTC.US,5,20210927,214500,1.0527,1.06,1.05,1.06,7198,0
SXTC.US,5,20210927,215500,1.05,1.0662,1.05,1.066,600,0
SXTC.US,5,20210928,153000,1.03,1.03,1.03,1.03,1510,0
SXTC.US,5,20210928,154500,1.0411,1.0411,1.0411,1.0411,940,0
SXTC.US,5,20210928,155000,1.0776,1.0776,1.04,1.0414,2790,0
SXTC.US,5,20210928,161500,1.0401,1.0401,1.0401,1.0401,6000,0
SXTC.US,5,20210928,162000,1.0585,1.0585,1.0585,1.0585,250,0
SXTC.US,5,20210928,162500,1.0445,1.0445,1.0445,1.0445,200,0
SXTC.US,5,20210928,165000,1.0427,1.0427,1.0427,1.0427,115,0
SXTC.US,5,20210928,170000,1.04,1.04,1.0322,1.0322,2510,0
SXTC.US,5,20210928,174000,1.035,1.035,1.035,1.035,150,0
SXTC.US,5,20210928,175000,1.04,1.04,1.035,1.04,8666,0
SXTC.US,5,20210928,180000,1.04,1.04,1.04,1.04,891,0
SXTC.US,5,20210928,182000,1.06,1.06,1.06,1.06,822,0
SXTC.US,5,20210928,191000,1.06,1.06,1.06,1.06,2000,0
SXTC.US,5,20210928,191500,1.03,1.0336,1.03,1.0336,500,0
SXTC.US,5,20210928,192000,1.0499,1.05,1.0499,1.05,800,0
SXTC.US,5,20210928,193000,1.05,1.05,1.05,1.05,410,0
SXTC.US,5,20210928,200500,1.0512,1.0513,1.0512,1.0513,790,0
SXTC.US,5,20210928,204000,1.05,1.05,1.05,1.05,900,0
SXTC.US,5,20210928,210000,1.048,1.05,1.048,1.05,2000,0
SXTC.US,5,20210928,210500,1.06,1.06,1.06,1.06,693,0
SXTC.US,5,20210928,212500,1.0572,1.0572,1.0572,1.0572,150,0
SXTC.US,5,20210929,153000,1.04,1.04,1.03,1.0328,374,0
SXTC.US,5,20210929,153500,1.04,1.04,1.04,1.04,500,0
SXTC.US,5,20210929,155000,1.0499,1.0499,1.0499,1.0499,200,0
SXTC.US,5,20210929,161500,1.05,1.05,1.04,1.04,5433,0
SXTC.US,5,20210929,162000,1.04,1.04,1.04,1.04,192,0
SXTC.US,5,20210929,164000,1.032,1.032,1.03,1.03,1100,0
SXTC.US,5,20210929,165500,1.035,1.07,1.035,1.0688,35240,0
SXTC.US,5,20210929,170000,1.06,1.06,1.06,1.06,275,0
SXTC.US,5,20210929,170500,1.0504,1.08,1.04,1.08,10325,0
SXTC.US,5,20210929,171500,1.07,1.08,1.06,1.06,66825,0
SXTC.US,5,20210929,172000,1.06,1.07,1.06,1.0698,110687,0
SXTC.US,5,20210929,172500,1.0658,1.0658,1.0658,1.0658,150,0
SXTC.US,5,20210929,173000,1.06,1.06,1.06,1.06,100,0
SXTC.US,5,20210929,174000,1.06,1.06,1.06,1.06,314,0
SXTC.US,5,20210929,175500,1.0601,1.0601,1.0601,1.0601,1000,0
SXTC.US,5,20210929,183000,1.04,1.04,1.04,1.04,5000,0
SXTC.US,5,20210929,183500,1.05,1.05,1.05,1.05,44568,0
SXTC.US,5,20210929,184000,1.04,1.0402,1.035,1.035,10799,0
SXTC.US,5,20210929,184500,1.03,1.03,1.03,1.03,300,0
SXTC.US,5,20210929,185000,1.0316,1.0316,1.0316,1.0316,106,0
SXTC.US,5,20210929,185500,1.0301,1.0301,1.0301,1.0301,100,0
SXTC.US,5,20210929,193000,1.0381,1.0381,1.0381,1.0381,3000,0
SXTC.US,5,20210929,193500,1.0335,1.0335,1.03,1.03,18644,0
SXTC.US,5,20210929,194000,1.0389,1.0389,1.0389,1.0389,400,0
SXTC.US,5,20210929,202000,1.0399,1.0399,1.0399,1.0399,100,0
SXTC.US,5,20210929,202500,1.03,1.0387,1.03,1.0387,600,0
SXTC.US,5,20210929,203000,1.04,1.04,1.0398,1.0398,200,0
SXTC.US,5,20210929,203500,1.0386,1.0386,1.0386,1.0386,100,0
SXTC.US,5,20210929,210000,1.0393,1.0393,1.0393,1.0393,2000,0
SXTC.US,5,20210929,210500,1.0301,1.0301,1.0301,1.0301,2135,0
SXTC.US,5,20210929,211500,1.04,1.04,1.0383,1.0383,1998,0
SXTC.US,5,20210929,212000,1.0342,1.0342,1.03,1.03,885,0
SXTC.US,5,20210929,212500,1.04,1.04,1.0126,1.0126,19242,0
SXTC.US,5,20210929,213000,1.02,1.02,1.01,1.02,9554,0
SXTC.US,5,20210929,214000,1.01,1.01,1.01,1.01,2430,0
SXTC.US,5,20210929,214500,1.01,1.01,1.01,1.01,3100,0
SXTC.US,5,20210929,215000,1.01,1.01,1.01,1.01,450,0
SXTC.US,5,20210929,215500,1.01,1.0275,1.01,1.0275,4900,0
SXTC.US,5,20210930,153000,1.02,1.02,1.02,1.02,732,0
SXTC.US,5,20210930,153500,1.0296,1.0296,1.0296,1.0296,500,0
SXTC.US,5,20210930,154000,1.0205,1.0205,1.0205,1.0205,500,0
SXTC.US,5,20210930,154500,1.025,1.0295,1.025,1.0295,3250,0
SXTC.US,5,20210930,155000,1.025,1.025,1.025,1.025,200,0
SXTC.US,5,20210930,160000,1.03,1.03,1.023,1.023,320,0
SXTC.US,5,20210930,160500,1.02,1.02,1.02,1.02,51930,0
