<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBCPU.US,5,20210922,153000,9.8,9.8,9.8,9.8,9910,0
TBCPU.US,5,20210922,203000,9.85,9.855,9.85,9.855,2854,0
TBCPU.US,5,20210922,204500,9.9,9.9,9.88,9.9,2939,0
TBCPU.US,5,20210922,211500,9.85,9.85,9.85,9.85,100,0
TBCPU.US,5,20210922,215500,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20210923,153000,9.84,9.84,9.84,9.84,800,0
TBCPU.US,5,20210923,191500,9.835,9.835,9.835,9.835,500,0
TBCPU.US,5,20210923,193500,9.85,9.85,9.85,9.85,2868,0
TBCPU.US,5,20210923,194500,9.83,9.83,9.83,9.83,200,0
TBCPU.US,5,20210923,211500,9.87,9.87,9.87,9.87,100,0
TBCPU.US,5,20210924,214000,9.855,9.855,9.855,9.855,1000,0
TBCPU.US,5,20210924,215500,9.855,9.855,9.855,9.855,100,0
TBCPU.US,5,20210927,160500,9.84,9.84,9.84,9.84,1124,0
TBCPU.US,5,20210927,162500,9.86,9.86,9.86,9.86,300,0
TBCPU.US,5,20210927,175500,9.86,9.86,9.86,9.86,556,0
TBCPU.US,5,20210927,193000,9.855,9.855,9.855,9.855,1101,0
TBCPU.US,5,20210927,211000,9.855,9.855,9.855,9.855,100,0
TBCPU.US,5,20210927,212500,9.88,9.88,9.88,9.88,10000,0
TBCPU.US,5,20210929,183500,9.83,9.83,9.83,9.83,495,0
TBCPU.US,5,20210929,191500,9.91,9.91,9.91,9.91,100,0
TBCPU.US,5,20210929,210500,9.84,9.84,9.84,9.84,300,0
TBCPU.US,5,20210930,172000,9.84,9.8412,9.8398,9.8398,1000,0
TBCPU.US,5,20210930,182500,9.84,9.85,9.82,9.85,42248,0
TBCPU.US,5,20210930,191500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,192500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,194000,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,195000,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,200500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,201000,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,201500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,203000,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,203500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,205000,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,205500,9.85,9.9,9.85,9.9,200,0
TBCPU.US,5,20210930,210500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,211500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,212500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,213000,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,213500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,214000,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,214500,9.9,9.9,9.9,9.9,100,0
TBCPU.US,5,20210930,215500,9.9,9.9,9.85,9.9,8566,0
TBCPU.US,5,20211001,190500,9.87,9.87,9.87,9.87,494,0
TBCPU.US,5,20211001,191000,9.87,9.87,9.87,9.87,699,0
TBCPU.US,5,20211004,162000,9.89,9.89,9.89,9.89,200,0
TBCPU.US,5,20211004,165000,9.89,9.89,9.89,9.89,200,0
TBCPU.US,5,20211004,170500,9.89,9.89,9.89,9.89,200,0
TBCPU.US,5,20211004,171000,9.89,9.89,9.89,9.89,773,0
TBCPU.US,5,20211004,171500,9.89,9.89,9.89,9.89,2000,0
TBCPU.US,5,20211004,174000,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,183500,9.9,9.9,9.89,9.89,200,0
TBCPU.US,5,20211004,185000,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,190500,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,191500,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,193000,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,194000,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,195500,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,200500,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,202000,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,203000,9.9,9.9,9.9,9.9,200,0
TBCPU.US,5,20211004,204000,9.9,9.9,9.9,9.9,200,0
