<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBSAW.US,5,20210922,190000,0.58,0.58,0.58,0.58,50000,0
TBSAW.US,5,20211005,153500,0.6199,0.6199,0.6199,0.6199,600,0
TBSAW.US,5,20211005,161500,0.65,0.65,0.65,0.65,750,0
TBSAW.US,5,20211005,195000,0.65,0.65,0.65,0.65,32193,0
TBSAW.US,5,20211005,202000,0.5199,0.5901,0.51,0.5901,14100,0
TBSAW.US,5,20211013,215500,0.59,0.59,0.59,0.59,2000,0
TBSAW.US,5,20211014,154500,0.4901,0.5399,0.4901,0.5398,304,0
TBSAW.US,5,20211014,155500,0.56,0.56,0.56,0.56,200,0
TBSAW.US,5,20211014,164500,0.5799,0.5799,0.575,0.575,400,0
TBSAW.US,5,20211014,200000,0.5899,0.59,0.5899,0.589901,2300,0
TBSAW.US,5,20211019,210000,0.5801,0.6,0.5801,0.6,1000,0
TBSAW.US,5,20211019,215500,0.5743,0.5743,0.5743,0.5743,300,0
TBSAW.US,5,20211021,211500,0.6101,0.6199,0.6101,0.6199,3000,0
TBSAW.US,5,20211027,170500,0.59,0.59,0.59,0.59,333,0
TBSAW.US,5,20211027,191500,0.62,0.65,0.6091,0.6091,7680,0
TBSAW.US,5,20211027,210500,0.6583,0.68,0.6583,0.68,941,0
TBSAW.US,5,20211027,214000,0.7009,0.7009,0.7009,0.7009,124,0
TBSAW.US,5,20211028,192500,0.6999,0.76,0.6999,0.7598,10428,0
TBSAW.US,5,20211028,193000,0.7699,0.7699,0.7699,0.7699,500,0
TBSAW.US,5,20211028,215500,0.73,0.78,0.7295,0.78,4934,0
TBSAW.US,5,20211029,165000,0.7699,0.7699,0.7601,0.7601,490,0
TBSAW.US,5,20211029,165500,0.53,0.53,0.5101,0.5101,450,0
TBSAW.US,5,20211029,170000,0.5706,0.5706,0.5701,0.5701,250,0
TBSAW.US,5,20211029,171000,0.6002,0.602,0.6002,0.602,954,0
TBSAW.US,5,20211029,173000,0.67,0.67,0.67,0.67,1000,0
TBSAW.US,5,20211029,174500,0.6701,0.6701,0.67,0.67,654,0
TBSAW.US,5,20211101,205000,0.73,0.73,0.73,0.73,1000,0
TBSAW.US,5,20211102,153500,0.7201,0.7201,0.7201,0.7201,200,0
TBSAW.US,5,20211102,203500,0.7701,0.7701,0.7701,0.7701,900,0
TBSAW.US,5,20211103,145000,0.7899,0.8,0.78,0.8,4230,0
TBSAW.US,5,20211111,213000,0.7401,0.800201,0.7401,0.8,6200,0
TBSAW.US,5,20211111,213500,0.8,0.8,0.7801,0.7801,6100,0
