<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEF.US,5,20210922,153000,4.77,4.78,4.76,4.78,21534,0
TEF.US,5,20210922,153500,4.78,4.78,4.7725,4.78,7621,0
TEF.US,5,20210922,154000,4.775,4.78,4.77,4.78,23201,0
TEF.US,5,20210922,154500,4.78,4.78,4.7744,4.775,12826,0
TEF.US,5,20210922,155000,4.78,4.78,4.7793,4.78,2400,0
TEF.US,5,20210922,155500,4.775,4.78,4.775,4.78,8452,0
TEF.US,5,20210922,160000,4.775,4.79,4.77,4.785,48302,0
TEF.US,5,20210922,160500,4.7899,4.79,4.785,4.785,8310,0
TEF.US,5,20210922,161000,4.785,4.79,4.78,4.785,15050,0
TEF.US,5,20210922,161500,4.785,4.79,4.78,4.785,7329,0
TEF.US,5,20210922,162000,4.79,4.79,4.775,4.78,50372,0
TEF.US,5,20210922,162500,4.78,4.79,4.7701,4.78,7098,0
TEF.US,5,20210922,163000,4.775,4.775,4.77,4.775,1300,0
TEF.US,5,20210922,163500,4.77,4.78,4.765,4.77,35299,0
TEF.US,5,20210922,164000,4.77,4.78,4.77,4.775,3189,0
TEF.US,5,20210922,164500,4.775,4.775,4.765,4.765,27498,0
TEF.US,5,20210922,165000,4.77,4.77,4.76,4.76,4833,0
TEF.US,5,20210922,165500,4.755,4.77,4.755,4.765,3414,0
TEF.US,5,20210922,170000,4.765,4.77,4.765,4.77,3800,0
TEF.US,5,20210922,170500,4.77,4.77,4.7633,4.765,2851,0
TEF.US,5,20210922,171000,4.77,4.77,4.765,4.765,11350,0
TEF.US,5,20210922,171500,4.765,4.7757,4.765,4.77,37483,0
TEF.US,5,20210922,172000,4.765,4.775,4.76,4.77,13986,0
TEF.US,5,20210922,172500,4.765,4.765,4.76,4.765,4030,0
TEF.US,5,20210922,173000,4.765,4.77,4.765,4.77,2100,0
TEF.US,5,20210922,173500,4.765,4.77,4.765,4.77,1200,0
TEF.US,5,20210922,174000,4.765,4.77,4.765,4.765,950,0
TEF.US,5,20210922,174500,4.77,4.77,4.765,4.765,501,0
TEF.US,5,20210922,175000,4.77,4.78,4.77,4.78,9973,0
TEF.US,5,20210922,175500,4.775,4.78,4.7743,4.78,540,0
TEF.US,5,20210922,180000,4.78,4.78,4.7701,4.78,1851,0
TEF.US,5,20210922,180500,4.775,4.78,4.775,4.7766,2500,0
TEF.US,5,20210922,181000,4.775,4.78,4.775,4.78,400,0
TEF.US,5,20210922,181500,4.778,4.78,4.775,4.78,6351,0
TEF.US,5,20210922,182000,4.78,4.78,4.775,4.775,2100,0
TEF.US,5,20210922,182500,4.7794,4.78,4.775,4.78,4829,0
TEF.US,5,20210922,183000,4.78,4.78,4.77,4.77,2725,0
TEF.US,5,20210922,183500,4.78,4.78,4.78,4.78,100,0
TEF.US,5,20210922,184000,4.775,4.78,4.77,4.775,4031,0
TEF.US,5,20210922,184500,4.775,4.78,4.775,4.78,5208,0
TEF.US,5,20210922,185000,4.775,4.78,4.775,4.78,1955,0
TEF.US,5,20210922,185500,4.78,4.78,4.775,4.78,800,0
TEF.US,5,20210922,190000,4.775,4.78,4.775,4.78,5201,0
TEF.US,5,20210922,190500,4.775,4.78,4.775,4.78,7900,0
TEF.US,5,20210922,191000,4.78,4.78,4.775,4.78,4895,0
TEF.US,5,20210922,191500,4.775,4.78,4.775,4.78,1700,0
TEF.US,5,20210922,192000,4.7799,4.78,4.775,4.78,13100,0
TEF.US,5,20210922,192500,4.78,4.78,4.775,4.78,10160,0
TEF.US,5,20210922,193000,4.78,4.78,4.775,4.78,13250,0
TEF.US,5,20210922,193500,4.78,4.78,4.775,4.78,3040,0
TEF.US,5,20210922,194000,4.78,4.78,4.778,4.78,2000,0
TEF.US,5,20210922,194500,4.78,4.78,4.7701,4.78,15247,0
TEF.US,5,20210922,195000,4.78,4.78,4.775,4.78,2200,0
TEF.US,5,20210922,195500,4.775,4.78,4.77,4.78,5600,0
TEF.US,5,20210922,200000,4.77,4.795,4.77,4.795,40832,0
TEF.US,5,20210922,200500,4.795,4.8,4.79,4.795,4497,0
TEF.US,5,20210922,201000,4.79,4.7982,4.79,4.79,7414,0
TEF.US,5,20210922,201500,4.795,4.795,4.795,4.795,600,0
TEF.US,5,20210922,202000,4.795,4.795,4.78,4.79,45519,0
TEF.US,5,20210922,202500,4.785,4.79,4.785,4.785,17513,0
TEF.US,5,20210922,203000,4.79,4.79,4.785,4.79,2041,0
TEF.US,5,20210922,203500,4.785,4.79,4.78,4.785,3900,0
TEF.US,5,20210922,204000,4.78,4.785,4.7633,4.765,5953,0
TEF.US,5,20210922,204500,4.765,4.7699,4.76,4.765,8165,0
TEF.US,5,20210922,205000,4.76,4.765,4.75,4.76,37446,0
TEF.US,5,20210922,205500,4.755,4.76,4.75,4.76,5542,0
TEF.US,5,20210922,210000,4.755,4.76,4.75,4.755,2223,0
TEF.US,5,20210922,210500,4.755,4.76,4.75,4.76,6914,0
TEF.US,5,20210922,211000,4.7599,4.77,4.75,4.765,39960,0
TEF.US,5,20210922,211500,4.765,4.78,4.76,4.78,17100,0
TEF.US,5,20210922,212000,4.78,4.78,4.77,4.775,2298,0
TEF.US,5,20210922,212500,4.775,4.78,4.775,4.775,5054,0
TEF.US,5,20210922,213000,4.775,4.78,4.77,4.77,26442,0
TEF.US,5,20210922,213500,4.775,4.78,4.77,4.775,10783,0
TEF.US,5,20210922,214000,4.78,4.78,4.77,4.77,21974,0
TEF.US,5,20210922,214500,4.775,4.78,4.77,4.775,4805,0
TEF.US,5,20210922,215000,4.77,4.78,4.76,4.76,50227,0
TEF.US,5,20210922,215500,4.765,4.77,4.75,4.75,117673,0
TEF.US,5,20210923,153000,4.76,4.76,4.745,4.75,79811,0
TEF.US,5,20210923,153500,4.75,4.765,4.75,4.762,13659,0
TEF.US,5,20210923,154000,4.76,4.7611,4.76,4.7611,946,0
TEF.US,5,20210923,154500,4.76,4.77,4.76,4.77,50818,0
TEF.US,5,20210923,155000,4.77,4.775,4.77,4.775,7840,0
TEF.US,5,20210923,155500,4.77,4.78,4.77,4.78,28921,0
TEF.US,5,20210923,160000,4.775,4.785,4.775,4.785,63683,0
TEF.US,5,20210923,160500,4.785,4.785,4.78,4.785,4500,0
TEF.US,5,20210923,161000,4.785,4.7857,4.78,4.785,13499,0
TEF.US,5,20210923,161500,4.78,4.78,4.77,4.78,29897,0
TEF.US,5,20210923,162000,4.7701,4.78,4.7701,4.775,4988,0
TEF.US,5,20210923,162500,4.775,4.78,4.775,4.775,24530,0
TEF.US,5,20210923,163000,4.78,4.78,4.775,4.78,4082,0
TEF.US,5,20210923,163500,4.775,4.79,4.775,4.79,8247,0
