<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT.US,5,20210922,153000,68.47,69.05,68.47,69.03,14800,0
TXT.US,5,20210922,153500,69.16,69.19,68.94,69.05,5385,0
TXT.US,5,20210922,154000,69.03,69.12,68.8,69.075,8487,0
TXT.US,5,20210922,154500,69.07,69.25,69.03,69.2,5300,0
TXT.US,5,20210922,155000,69.265,69.505,69.26,69.48,7946,0
TXT.US,5,20210922,155500,69.47,69.62,69.44,69.55,8132,0
TXT.US,5,20210922,160000,69.57,69.7,69.44,69.7,11584,0
TXT.US,5,20210922,160500,69.71,69.86,69.67,69.82,28728,0
TXT.US,5,20210922,161000,69.82,69.89,69.52,69.57,20415,0
TXT.US,5,20210922,161500,69.58,69.8,69.58,69.7,5411,0
TXT.US,5,20210922,162000,69.7,69.7,69.43,69.569,5264,0
TXT.US,5,20210922,162500,69.56,69.56,69.45,69.45,6135,0
TXT.US,5,20210922,163000,69.46,69.58,69.44,69.55,5103,0
TXT.US,5,20210922,163500,69.56,69.64,69.54,69.54,6465,0
TXT.US,5,20210922,164000,69.495,69.545,69.48,69.48,11773,0
TXT.US,5,20210922,164500,69.48,69.51,69.375,69.5,3885,0
TXT.US,5,20210922,165000,69.55,69.58,69.42,69.49,6044,0
TXT.US,5,20210922,165500,69.49,69.52,69.435,69.5,6029,0
TXT.US,5,20210922,170000,69.505,69.605,69.46,69.47,7638,0
TXT.US,5,20210922,170500,69.46,69.48,69.36,69.36,4907,0
TXT.US,5,20210922,171000,69.36,69.61,69.36,69.59,10975,0
TXT.US,5,20210922,171500,69.6,69.78,69.6,69.75,9619,0
TXT.US,5,20210922,172000,69.75,69.75,69.65,69.665,17326,0
TXT.US,5,20210922,172500,69.69,69.75,69.69,69.73,5876,0
TXT.US,5,20210922,173000,69.71,69.8,69.67,69.73,6577,0
TXT.US,5,20210922,173500,69.74,69.79,69.72,69.74,9119,0
TXT.US,5,20210922,174000,69.72,69.72,69.58,69.695,10792,0
TXT.US,5,20210922,174500,69.68,69.71,69.58,69.62,7751,0
TXT.US,5,20210922,175000,69.61,69.76,69.5,69.55,8545,0
TXT.US,5,20210922,175500,69.56,69.63,69.56,69.63,4100,0
TXT.US,5,20210922,180000,69.65,69.68,69.61,69.68,2370,0
TXT.US,5,20210922,180500,69.7,69.72,69.635,69.7,3508,0
TXT.US,5,20210922,181000,69.69,69.76,69.68,69.71,3504,0
TXT.US,5,20210922,181500,69.73,69.74,69.65,69.69,3810,0
TXT.US,5,20210922,182000,69.7,69.74,69.68,69.73,3642,0
TXT.US,5,20210922,182500,69.74,69.8,69.74,69.8,3027,0
TXT.US,5,20210922,183000,69.82,69.84,69.81,69.83,2993,0
TXT.US,5,20210922,183500,69.85,69.91,69.85,69.87,5153,0
TXT.US,5,20210922,184000,69.87,69.88,69.81,69.83,3851,0
TXT.US,5,20210922,184500,69.86,69.89,69.86,69.89,1900,0
TXT.US,5,20210922,185000,69.89,69.905,69.84,69.85,2397,0
TXT.US,5,20210922,185500,69.855,69.93,69.84,69.92,16555,0
TXT.US,5,20210922,190000,69.91,69.93,69.82,69.82,3880,0
TXT.US,5,20210922,190500,69.81,69.86,69.81,69.82,3743,0
TXT.US,5,20210922,191000,69.82,69.83,69.785,69.83,4494,0
TXT.US,5,20210922,191500,69.82,69.8608,69.79,69.86,2788,0
TXT.US,5,20210922,192000,69.85,69.87,69.83,69.85,5894,0
TXT.US,5,20210922,192500,69.83,69.89,69.83,69.87,8795,0
TXT.US,5,20210922,193000,69.855,69.855,69.8,69.805,8476,0
TXT.US,5,20210922,193500,69.81,69.86,69.76,69.86,7407,0
TXT.US,5,20210922,194000,69.86,69.96,69.85,69.96,4908,0
TXT.US,5,20210922,194500,69.97,69.97,69.92,69.94,2820,0
TXT.US,5,20210922,195000,69.94,69.96,69.89,69.94,5335,0
TXT.US,5,20210922,195500,69.92,69.9506,69.895,69.935,3149,0
TXT.US,5,20210922,200000,69.93,70.24,69.775,70.18,13232,0
TXT.US,5,20210922,200500,70.23,70.25,70.09,70.14,8097,0
TXT.US,5,20210922,201000,70.135,70.239,70.13,70.19,5845,0
TXT.US,5,20210922,201500,70.2,70.3,70.165,70.19,6701,0
TXT.US,5,20210922,202000,70.18,70.21,69.95,70.0433,7616,0
TXT.US,5,20210922,202500,70.04,70.2,70.01,70.2,4205,0
TXT.US,5,20210922,203000,70.19,70.255,70.12,70.215,7613,0
TXT.US,5,20210922,203500,70.2,70.27,70.06,70.105,11358,0
TXT.US,5,20210922,204000,70.06,70.06,69.635,69.67,40277,0
TXT.US,5,20210922,204500,69.66,69.73,69.56,69.63,8681,0
TXT.US,5,20210922,205000,69.58,69.83,69.49,69.79,8721,0
TXT.US,5,20210922,205500,69.79,69.86,69.7,69.83,9130,0
TXT.US,5,20210922,210000,69.83,69.91,69.74,69.86,10639,0
TXT.US,5,20210922,210500,69.855,69.94,69.75,69.94,7363,0
TXT.US,5,20210922,211000,69.9,70.085,69.89,70.06,7915,0
TXT.US,5,20210922,211500,70.07,70.14,70.03,70.14,10546,0
TXT.US,5,20210922,212000,70.12,70.15,70.051,70.07,10264,0
TXT.US,5,20210922,212500,70.09,70.13,70.03,70.12,13871,0
TXT.US,5,20210922,213000,70.095,70.1,69.9,69.945,8280,0
TXT.US,5,20210922,213500,69.93,70.09,69.92,70.06,9700,0
TXT.US,5,20210922,214000,70.05,70.06,69.835,69.885,9760,0
TXT.US,5,20210922,214500,69.89,69.93,69.745,69.77,9305,0
TXT.US,5,20210922,215000,69.74,69.779,69.69,69.695,12657,0
TXT.US,5,20210922,215500,69.685,69.7,69.55,69.66,166135,0
TXT.US,5,20210923,153000,70.06,70.27,70,70.235,9191,0
TXT.US,5,20210923,153500,70.19,70.28,70.07,70.25,14801,0
TXT.US,5,20210923,154000,70.21,70.39,70.13,70.39,13599,0
TXT.US,5,20210923,154500,70.38,70.72,70.38,70.715,12047,0
TXT.US,5,20210923,155000,70.71,70.79,70.58,70.79,6740,0
TXT.US,5,20210923,155500,70.8,71.03,70.8,70.905,21494,0
TXT.US,5,20210923,160000,70.92,71.175,70.885,71.11,12737,0
TXT.US,5,20210923,160500,71.125,71.18,71,71.04,5092,0
TXT.US,5,20210923,161000,71.06,71.255,71.06,71.21,12308,0
TXT.US,5,20210923,161500,71.3,71.35,71.15,71.185,14559,0
TXT.US,5,20210923,162000,71.18,71.235,71.02,71.02,14970,0
TXT.US,5,20210923,162500,71.03,71.14,71.03,71.06,9722,0
TXT.US,5,20210923,163000,71.09,71.15,71.06,71.14,5773,0
TXT.US,5,20210923,163500,71.14,71.22,71,71.09,7487,0
TXT.US,5,20210923,164000,71.14,71.16,71.02,71.11,7301,0
TXT.US,5,20210923,164500,71.14,71.21,71.06,71.17,12121,0
TXT.US,5,20210923,165000,71.27,71.45,71.24,71.45,5661,0
