<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPTD.US,5,20210922,153000,9.8,9.8,9.8,9.8,391,0
UPTD.US,5,20210924,191000,9.83,9.83,9.83,9.83,17100,0
UPTD.US,5,20210924,200500,9.84,9.84,9.83,9.83,4900,0
UPTD.US,5,20210924,202500,9.84,9.84,9.84,9.84,3000,0
UPTD.US,5,20210924,203000,9.84,9.84,9.83,9.83,600,0
UPTD.US,5,20210924,205500,9.83,9.83,9.83,9.83,7500,0
UPTD.US,5,20210924,210500,9.83,9.83,9.83,9.83,10000,0
UPTD.US,5,20210924,214000,9.83,9.83,9.83,9.83,14000,0
UPTD.US,5,20210924,214500,9.83,9.83,9.83,9.83,26000,0
UPTD.US,5,20210924,215000,9.83,9.83,9.83,9.83,10000,0
UPTD.US,5,20210924,215500,9.83,9.83,9.83,9.83,27500,0
UPTD.US,5,20210927,160000,9.83,9.83,9.83,9.83,2600,0
UPTD.US,5,20210927,161500,9.8325,9.8325,9.8325,9.8325,100,0
UPTD.US,5,20210927,164500,9.83,9.835,9.83,9.835,21100,0
UPTD.US,5,20210927,165000,9.83,9.83,9.83,9.83,6583,0
UPTD.US,5,20210927,165500,9.84,9.84,9.84,9.84,300,0
UPTD.US,5,20210927,193500,9.83,9.84,9.83,9.84,17090,0
UPTD.US,5,20210927,204000,9.83,9.83,9.83,9.83,249600,0
UPTD.US,5,20210928,154000,9.84,9.87,9.84,9.87,20000,0
UPTD.US,5,20210928,163000,9.87,9.89,9.87,9.89,1100,0
UPTD.US,5,20210928,163500,9.89,9.89,9.89,9.89,100,0
UPTD.US,5,20210928,164000,9.87,9.87,9.87,9.87,100,0
UPTD.US,5,20210928,205500,9.885,9.89,9.885,9.89,2100,0
UPTD.US,5,20210929,193500,9.9,9.9,9.9,9.9,100,0
UPTD.US,5,20210930,160500,9.9,9.9,9.87,9.9,6500,0
UPTD.US,5,20211004,160500,10.06,10.06,10.06,10.06,100,0
UPTD.US,5,20211004,163000,9.92,9.92,9.92,9.92,600,0
UPTD.US,5,20211004,165000,9.91,9.91,9.91,9.91,200,0
UPTD.US,5,20211004,170000,9.91,9.91,9.91,9.91,5000,0
UPTD.US,5,20211004,171000,9.9,9.9,9.9,9.9,7140,0
UPTD.US,5,20211004,175000,9.9,9.9,9.9,9.9,200,0
UPTD.US,5,20211004,184000,9.9,9.9,9.9,9.9,2500,0
UPTD.US,5,20211004,184500,9.9,9.9,9.9,9.9,4800,0
UPTD.US,5,20211004,185000,9.9,9.9,9.9,9.9,200,0
UPTD.US,5,20211004,190000,9.9,9.9,9.9,9.9,2300,0
UPTD.US,5,20211004,192500,9.9,9.9,9.9,9.9,2500,0
UPTD.US,5,20211004,194500,9.9,9.9,9.9,9.9,2500,0
UPTD.US,5,20211004,200000,9.9,9.9,9.9,9.9,22500,0
UPTD.US,5,20211004,201000,9.9,9.9,9.9,9.9,3700,0
UPTD.US,5,20211004,201500,9.9,9.9,9.9,9.9,3800,0
UPTD.US,5,20211004,215500,9.89,9.9,9.89,9.9,52700,0
UPTD.US,5,20211005,160500,9.9,9.9,9.9,9.9,600,0
UPTD.US,5,20211005,163000,9.9,9.9,9.9,9.9,7353,0
UPTD.US,5,20211005,180000,9.9,9.9,9.9,9.9,100,0
UPTD.US,5,20211005,180500,9.9,9.9,9.9,9.9,400,0
UPTD.US,5,20211005,215000,9.89,9.89,9.89,9.89,12700,0
UPTD.US,5,20211006,174500,9.91,9.91,9.9,9.9,102500,0
UPTD.US,5,20211006,175000,9.9,9.9,9.895,9.895,38998,0
UPTD.US,5,20211006,180500,9.9,9.9,9.9,9.9,100,0
UPTD.US,5,20211006,182000,9.9,9.9,9.9,9.9,100,0
