<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USNA.US,5,20210922,153000,88.18,88.18,87.4272,87.49,2327,0
USNA.US,5,20210922,160500,87.51,87.51,87.5,87.51,499,0
USNA.US,5,20210922,163500,87.53,87.53,87.49,87.49,400,0
USNA.US,5,20210922,164500,87.68,87.86,87.68,87.74,520,0
USNA.US,5,20210922,165000,88,88.04,88,88.04,200,0
USNA.US,5,20210922,171500,88.94,88.94,88.785,88.785,379,0
USNA.US,5,20210922,172500,88.63,88.63,88.63,88.63,100,0
USNA.US,5,20210922,173000,88.62,88.94,88.38,88.38,805,0
USNA.US,5,20210922,173500,88.4,88.4,88.4,88.4,100,0
USNA.US,5,20210922,174000,88.39,88.39,88.39,88.39,100,0
USNA.US,5,20210922,174500,88.43,88.43,88.43,88.43,200,0
USNA.US,5,20210922,175000,88.63,88.76,88.6222,88.6222,801,0
USNA.US,5,20210922,180000,88.64,88.64,88.64,88.64,1001,0
USNA.US,5,20210922,180500,88.52,88.76,88.33,88.49,1565,0
USNA.US,5,20210922,182000,88.53,88.56,88.47,88.47,484,0
USNA.US,5,20210922,183000,88.5,88.5,88.49,88.49,329,0
USNA.US,5,20210922,185000,88.73,88.73,88.73,88.73,100,0
USNA.US,5,20210922,185500,88.6,88.685,88.595,88.685,500,0
USNA.US,5,20210922,190500,88.48,88.48,88.44,88.44,400,0
USNA.US,5,20210922,191000,88.43,88.43,88.43,88.43,100,0
USNA.US,5,20210922,191500,88.365,88.365,88.365,88.365,100,0
USNA.US,5,20210922,192000,88.36,88.36,88.36,88.36,100,0
USNA.US,5,20210922,192500,88.36,88.46,88.36,88.46,500,0
USNA.US,5,20210922,193500,88.36,88.36,88.36,88.36,300,0
USNA.US,5,20210922,194000,88.585,88.585,88.585,88.585,100,0
USNA.US,5,20210922,200500,88.85,88.85,88.85,88.85,100,0
USNA.US,5,20210922,201000,88.9,89.185,88.9,89.185,600,0
USNA.US,5,20210922,201500,89.2,89.2,89.2,89.2,100,0
USNA.US,5,20210922,202000,89.16,89.16,89.04,89.04,530,0
USNA.US,5,20210922,202500,88.92,89.25,88.92,89.25,494,0
USNA.US,5,20210922,203000,89.26,89.48,89.07,89.07,1616,0
USNA.US,5,20210922,203500,89.05,89.05,89.05,89.05,200,0
USNA.US,5,20210922,204000,88.86,89.01,88.68,88.68,1900,0
USNA.US,5,20210922,205000,88.79,89.02,88.79,89,603,0
USNA.US,5,20210922,205500,88.955,89.07,88.84,89.05,765,0
USNA.US,5,20210922,210000,89.27,89.27,89.23,89.23,2148,0
USNA.US,5,20210922,210500,89.27,89.29,89.22,89.29,300,0
USNA.US,5,20210922,211000,89.37,89.41,89.35,89.41,700,0
USNA.US,5,20210922,211500,89.47,89.47,89.43,89.46,1304,0
USNA.US,5,20210922,212000,89.6,89.6,89.6,89.6,200,0
USNA.US,5,20210922,212500,89.58,89.66,89.51,89.54,2418,0
USNA.US,5,20210922,213000,89.49,89.49,89.22,89.22,802,0
USNA.US,5,20210922,213500,89.27,89.42,89.14,89.14,936,0
USNA.US,5,20210922,214000,89.16,89.19,88.825,88.825,1142,0
USNA.US,5,20210922,214500,88.55,88.55,88.55,88.55,100,0
USNA.US,5,20210922,215000,88.51,88.66,88.51,88.66,925,0
USNA.US,5,20210922,215500,88.79,88.79,88.32,88.41,10621,0
USNA.US,5,20210923,153000,88.86,88.86,88.86,88.86,571,0
USNA.US,5,20210923,155500,89.2,89.2,89.2,89.2,100,0
USNA.US,5,20210923,160500,89.26,89.26,89.1633,89.1633,400,0
USNA.US,5,20210923,162000,89.04,89.2,89.03,89.1,700,0
USNA.US,5,20210923,164500,89.22,89.22,88.72,88.72,2894,0
USNA.US,5,20210923,165000,88.62,88.62,88.62,88.62,100,0
USNA.US,5,20210923,165500,88.59,88.62,88.59,88.62,200,0
USNA.US,5,20210923,171000,88.71,88.76,88.62,88.76,945,0
USNA.US,5,20210923,172000,88.62,88.87,88.62,88.87,902,0
USNA.US,5,20210923,172500,89.01,89.19,89.01,89.16,413,0
USNA.US,5,20210923,173000,89.53,89.53,89.51,89.51,403,0
USNA.US,5,20210923,173500,89.39,89.665,89.39,89.665,200,0
USNA.US,5,20210923,174000,89.49,89.56,89.49,89.56,300,0
USNA.US,5,20210923,180000,89.21,89.21,89.21,89.21,200,0
USNA.US,5,20210923,180500,89.17,89.19,89.15,89.15,500,0
USNA.US,5,20210923,181000,89.25,89.28,89.25,89.28,300,0
