<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFCF.US,5,20210922,160000,13.77,13.82,12.7307,13.82,2150,0
WFCF.US,5,20210922,160500,13.75,13.75,13.75,13.75,500,0
WFCF.US,5,20210922,171500,13.2062,13.85,13.2062,13.2062,1600,0
WFCF.US,5,20210922,172000,13.85,13.85,13.1,13.13,2640,0
WFCF.US,5,20210922,175500,13.475,13.475,13.1075,13.475,890,0
WFCF.US,5,20210922,180000,13.17,13.17,13.1,13.1,790,0
WFCF.US,5,20210922,182500,13.85,13.85,13.85,13.85,152,0
WFCF.US,5,20210922,185000,13.85,13.89,13.68,13.89,2000,0
WFCF.US,5,20210922,185500,13.9,13.9,13.9,13.9,521,0
WFCF.US,5,20210922,202500,13.55,13.85,13.27,13.55,418,0
WFCF.US,5,20210923,153000,13.71,13.71,13.71,13.71,522,0
WFCF.US,5,20210923,153500,13.5,13.5,13.5,13.5,100,0
WFCF.US,5,20210923,160000,13.3559,13.3559,13.3559,13.3559,100,0
WFCF.US,5,20210923,160500,13.7,13.7,13.7,13.7,100,0
WFCF.US,5,20210923,180500,13.375,13.75,13.375,13.75,2400,0
WFCF.US,5,20210923,185000,13.85,13.85,13.85,13.85,100,0
WFCF.US,5,20210923,210500,13.85,13.85,13.85,13.85,1416,0
WFCF.US,5,20210924,154000,13.25,13.25,13,13,300,0
WFCF.US,5,20210924,161500,13.7,13.9,13.7,13.9,1500,0
WFCF.US,5,20210924,171500,14,14,14,14,100,0
WFCF.US,5,20210924,173500,14,14,14,14,100,0
WFCF.US,5,20210924,180500,14,14.25,14,14.2,1864,0
WFCF.US,5,20210924,182000,14.1,14.1,14.1,14.1,500,0
WFCF.US,5,20210924,182500,14.03,14.03,14.01,14.01,385,0
WFCF.US,5,20210924,185000,14.25,14.25,14.25,14.25,100,0
WFCF.US,5,20210924,192500,14.125,14.125,14.125,14.125,500,0
