<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WNC.US,5,20210922,153000,14.407,14.507,14.362,14.492,4018,0
WNC.US,5,20210922,153500,14.467,14.493,14.437,14.437,3331,0
WNC.US,5,20210922,154000,14.452,14.477,14.417,14.417,1300,0
WNC.US,5,20210922,154500,14.437,14.457,14.427,14.457,2299,0
WNC.US,5,20210922,155000,14.487,14.526,14.487,14.507,7946,0
WNC.US,5,20210922,155500,14.556,14.576,14.536,14.541,6891,0
WNC.US,5,20210922,160000,14.526,14.546,14.492,14.536,1417,0
WNC.US,5,20210922,160500,14.556,14.556,14.526,14.536,2426,0
WNC.US,5,20210922,161000,14.516,14.516,14.467,14.482,2147,0
WNC.US,5,20210922,161500,14.487,14.507,14.487,14.497,1055,0
WNC.US,5,20210922,162000,14.477,14.477,14.397,14.397,924,0
WNC.US,5,20210922,162500,14.402,14.407,14.402,14.407,704,0
WNC.US,5,20210922,163000,14.402,14.402,14.357,14.397,3406,0
WNC.US,5,20210922,163500,14.397,14.397,14.387,14.397,905,0
WNC.US,5,20210922,164000,14.397,14.437,14.397,14.432,2072,0
WNC.US,5,20210922,164500,14.407,14.407,14.397,14.397,1206,0
WNC.US,5,20210922,165000,14.437,14.437,14.427,14.427,1862,0
WNC.US,5,20210922,165500,14.427,14.427,14.426,14.427,503,0
WNC.US,5,20210922,170000,14.432,14.462,14.432,14.442,2613,0
WNC.US,5,20210922,170500,14.437,14.497,14.437,14.487,1830,0
WNC.US,5,20210922,171000,14.482,14.502,14.482,14.502,603,0
WNC.US,5,20210922,171500,14.512,14.536,14.512,14.536,1056,0
WNC.US,5,20210922,172000,14.526,14.526,14.502,14.502,854,0
WNC.US,5,20210922,172500,14.497,14.526,14.497,14.526,981,0
WNC.US,5,20210922,173000,14.516,14.541,14.516,14.541,507,0
WNC.US,5,20210922,173500,14.551,14.551,14.546,14.546,1206,0
WNC.US,5,20210922,174000,14.536,14.536,14.536,14.536,201,0
WNC.US,5,20210922,174500,14.536,14.536,14.507,14.508,957,0
WNC.US,5,20210922,175000,14.516,14.556,14.512,14.516,2389,0
WNC.US,5,20210922,175500,14.526,14.526,14.526,14.526,503,0
WNC.US,5,20210922,180000,14.526,14.526,14.526,14.526,503,0
WNC.US,5,20210922,180500,14.526,14.526,14.512,14.516,2230,0
WNC.US,5,20210922,181000,14.546,14.551,14.541,14.551,407,0
WNC.US,5,20210922,181500,14.556,14.556,14.546,14.546,1407,0
WNC.US,5,20210922,182000,14.546,14.561,14.536,14.561,2721,0
WNC.US,5,20210922,182500,14.581,14.581,14.566,14.566,1106,0
WNC.US,5,20210922,183000,14.571,14.576,14.541,14.546,2924,0
WNC.US,5,20210922,183500,14.536,14.556,14.536,14.546,311,0
WNC.US,5,20210922,184000,14.556,14.565,14.536,14.536,2111,0
WNC.US,5,20210922,184500,14.536,14.556,14.536,14.551,748,0
WNC.US,5,20210922,185000,14.556,14.556,14.526,14.526,2150,0
WNC.US,5,20210922,185500,14.516,14.536,14.516,14.531,995,0
WNC.US,5,20210922,190000,14.526,14.526,14.526,14.526,603,0
WNC.US,5,20210922,190500,14.526,14.536,14.526,14.526,830,0
WNC.US,5,20210922,191000,14.536,14.536,14.526,14.526,955,0
WNC.US,5,20210922,191500,14.526,14.526,14.487,14.526,4720,0
WNC.US,5,20210922,192000,14.516,14.556,14.516,14.546,2010,0
WNC.US,5,20210922,193000,14.551,14.556,14.551,14.556,804,0
WNC.US,5,20210922,193500,14.566,14.576,14.556,14.576,5121,0
WNC.US,5,20210922,194000,14.576,14.586,14.576,14.586,503,0
WNC.US,5,20210922,194500,14.576,14.576,14.576,14.576,503,0
WNC.US,5,20210922,195000,14.596,14.596,14.576,14.594,1307,0
WNC.US,5,20210922,195500,14.576,14.606,14.576,14.606,1901,0
WNC.US,5,20210922,200000,14.586,14.646,14.586,14.646,7096,0
WNC.US,5,20210922,200500,14.626,14.631,14.616,14.616,2861,0
WNC.US,5,20210922,201000,14.616,14.636,14.616,14.636,1250,0
WNC.US,5,20210922,201500,14.656,14.656,14.621,14.626,2376,0
WNC.US,5,20210922,202000,14.631,14.656,14.621,14.641,6060,0
WNC.US,5,20210922,202500,14.636,14.686,14.636,14.661,8858,0
WNC.US,5,20210922,203000,14.656,14.676,14.651,14.676,1822,0
WNC.US,5,20210922,203500,14.656,14.666,14.656,14.666,799,0
WNC.US,5,20210922,204000,14.656,14.656,14.606,14.606,2035,0
WNC.US,5,20210922,204500,14.606,14.606,14.546,14.566,2937,0
