<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPOA-U.US,5,20210922,160500,10,10,10,10,200,0
XPOA-U.US,5,20210922,161000,10,10,10,10,200,0
XPOA-U.US,5,20210922,163000,10,10,10,10,200,0
XPOA-U.US,5,20210922,163500,10,10,10,10,200,0
XPOA-U.US,5,20210922,164000,10,10,10,10,400,0
XPOA-U.US,5,20210922,164500,10,10,10,10,200,0
XPOA-U.US,5,20210922,165500,10,10,10,10,200,0
XPOA-U.US,5,20210922,170000,10,10,10,10,200,0
XPOA-U.US,5,20210922,170500,10,10,10,10,200,0
XPOA-U.US,5,20210922,171000,10,10,10,10,200,0
XPOA-U.US,5,20210922,171500,10,10,10,10,200,0
XPOA-U.US,5,20210922,181000,10,10,10,10,200,0
XPOA-U.US,5,20210922,181500,10,10,10,10,400,0
XPOA-U.US,5,20210922,182000,10,10,10,10,184,0
XPOA-U.US,5,20210922,182500,10,10,10,10,400,0
XPOA-U.US,5,20210922,183000,10,10,10,10,200,0
XPOA-U.US,5,20210922,183500,10,10,10,10,200,0
XPOA-U.US,5,20210922,184000,10,10,10,10,400,0
XPOA-U.US,5,20210922,184500,10,10,10,10,100,0
XPOA-U.US,5,20210922,185000,10,10,10,10,396,0
XPOA-U.US,5,20210922,185500,10,10,10,10,200,0
XPOA-U.US,5,20210922,190000,10,10,10,10,400,0
XPOA-U.US,5,20210922,190500,10,10,10,10,200,0
XPOA-U.US,5,20210922,191000,10,10,10,10,400,0
XPOA-U.US,5,20210922,191500,10,10,10,10,200,0
XPOA-U.US,5,20210922,192000,10,10,10,10,200,0
XPOA-U.US,5,20210922,200500,10,10,10,10,200,0
XPOA-U.US,5,20210922,203000,10,10,10,10,200,0
XPOA-U.US,5,20210922,215500,10,10,10,10,204,0
XPOA-U.US,5,20210927,172500,9.97,9.97,9.95,9.95,300,0
XPOA-U.US,5,20210930,154500,9.99,9.99,9.99,9.99,228,0
XPOA-U.US,5,20210930,155000,9.99,9.99,9.99,9.99,200,0
XPOA-U.US,5,20210930,155500,9.99,9.99,9.99,9.99,800,0
XPOA-U.US,5,20210930,160000,9.99,9.99,9.99,9.99,217,0
XPOA-U.US,5,20210930,160500,9.99,9.99,9.99,9.99,180,0
XPOA-U.US,5,20210930,161000,9.99,9.99,9.99,9.99,300,0
XPOA-U.US,5,20210930,161500,9.96,9.99,9.96,9.99,377,0
XPOA-U.US,5,20210930,162000,9.99,9.99,9.99,9.99,400,0
XPOA-U.US,5,20211001,203000,10,10,10,10,198,0
XPOA-U.US,5,20211004,171500,9.95,9.95,9.95,9.95,3125,0
XPOA-U.US,5,20211004,175500,9.98,9.98,9.98,9.98,500,0
XPOA-U.US,5,20211006,212500,10,10,9.98,9.98,600,0
XPOA-U.US,5,20211008,153000,9.96,9.96,9.95,9.95,600,0
XPOA-U.US,5,20211015,155000,9.97,9.97,9.97,9.97,200,0
XPOA-U.US,5,20211015,155500,9.99,9.99,9.99,9.99,1999,0
XPOA-U.US,5,20211015,180000,10,10,10,10,400,0
XPOA-U.US,5,20211015,181000,10,10,10,10,600,0
XPOA-U.US,5,20211015,195000,10,10,10,10,22519,0
XPOA-U.US,5,20211102,160500,10.04,10.04,10.03,10.04,1000,0
XPOA-U.US,5,20211102,174000,10.05,10.05,10.05,10.05,1000,0
XPOA-U.US,5,20211102,190500,10.07,10.07,10.07,10.07,100,0
XPOA-U.US,5,20211104,143000,10,10,10,10,100,0
XPOA-U.US,5,20211111,174000,10.07,10.07,10.07,10.07,2600,0
XPOA-U.US,5,20211111,175000,10.07,10.07,10.07,10.07,200,0
XPOA-U.US,5,20211111,185000,10.07,10.07,10.07,10.07,100,0
XPOA-U.US,5,20211111,204500,10.07,10.09,10.06,10.09,4994,0
